effective_rank,participation_ratio,mle_id_k20,bio_vs_nonbio_cos_top10,model,layer_idx,bootstrap,seed,n_items,frames_per_item
10.761971708236374,4.428117589599969,4.448258162675105,0.9290282250995181,eat_all,0,0,42,600,50
10.998408986574375,4.561230885182911,3.4610716660607226,0.8724645025009263,eat_all,0,1,1042,600,50
10.793322129839346,4.44787565805469,3.9493864711274727,0.8635350760389173,eat_all,0,2,2042,600,50
11.127518149061768,4.539837081858008,3.9066859423704816,0.8627731936960013,eat_all,0,3,3042,600,50
10.773391791719778,4.450195078698595,5.304035459133592,0.8883021330887837,eat_all,0,4,4042,600,50
10.959640273760233,4.468924461713427,5.138218729622592,0.8378131292817347,eat_all,0,5,5042,600,50
10.79565239212105,4.4613557931191865,4.1979366822192254,0.8855834976368024,eat_all,0,6,6042,600,50
10.908754015806448,4.474308785218257,4.1920552529220485,0.9083650344890687,eat_all,0,7,7042,600,50
10.859955219906743,4.439232253668299,4.242790621993636,0.8867156116617012,eat_all,0,8,8042,600,50
10.945540650556213,4.475521256066448,4.437705348275498,0.891142823588303,eat_all,0,9,9042,600,50
11.066340930940944,4.485433168092804,4.987637943564876,0.9046673429043424,eat_all,0,10,10042,600,50
10.890759736334537,4.470055552184141,4.432760377759121,0.8814364961708543,eat_all,0,11,11042,600,50
10.757874654666008,4.4526052373967255,4.760161411652888,0.8864951256202976,eat_all,0,12,12042,600,50
11.001870078831717,4.4797825544016705,4.919105018614761,0.9121226226128656,eat_all,0,13,13042,600,50
11.036886175519019,4.5273512977019585,4.133188709473812,0.8438437273606487,eat_all,0,14,14042,600,50
10.844797243287381,4.456939285609104,4.0133749790296935,0.9069811039207684,eat_all,0,15,15042,600,50
10.99896997267128,4.521753374288789,4.411181375758848,0.8817525842246013,eat_all,0,16,16042,600,50
10.990910041153818,4.538572596817759,4.010413325636769,0.8801505944420498,eat_all,0,17,17042,600,50
10.807968368841987,4.463990260754596,3.9642404087152228,0.9025058387778863,eat_all,0,18,18042,600,50
10.781293554992178,4.446504920988772,4.435537721405674,0.9005663939600292,eat_all,0,19,19042,600,50
10.824815294069454,4.475420412749902,3.8435678006281755,0.8824021845283341,eat_all,0,20,20042,600,50
11.034187994471782,4.528729336966506,4.487337010524762,0.894140610209555,eat_all,0,21,21042,600,50
11.082790322335084,4.5060702365908725,5.004589201871966,0.9146161823619774,eat_all,0,22,22042,600,50
11.00384357436712,4.495112309608478,4.586837272376246,0.9309441923771334,eat_all,0,23,23042,600,50
11.085693370954491,4.464444125348243,4.840324981148144,0.8970179848342935,eat_all,0,24,24042,600,50
10.789846224323497,4.413405848144589,5.33987880818806,0.9160687789719997,eat_all,0,25,25042,600,50
10.772693643444226,4.470004302049832,3.6618491457834557,0.8969046281533324,eat_all,0,26,26042,600,50
10.787333435119148,4.464600636081462,4.204932710672264,0.9025479308739209,eat_all,0,27,27042,600,50
10.964576584766476,4.4803480570446785,4.471355417641425,0.8950221863149126,eat_all,0,28,28042,600,50
10.84218192376135,4.471294469685388,4.739361751438092,0.8948303609647159,eat_all,0,29,29042,600,50
10.76184530904794,4.469893296180739,3.955856625058634,0.8749068840286472,eat_all,0,30,30042,600,50
10.954574455316198,4.476530581799592,5.0603394867695,0.8929375683939182,eat_all,0,31,31042,600,50
10.942230796409023,4.49773616238475,4.675146410740724,0.9151625250482477,eat_all,0,32,32042,600,50
10.608321848676342,4.41680614499072,4.308544473815781,0.8931718318371626,eat_all,0,33,33042,600,50
10.77551277268839,4.4558552821069295,4.611813518008334,0.9162180933916823,eat_all,0,34,34042,600,50
10.903667976381938,4.475371882258024,4.94044802067031,0.8932473240803699,eat_all,0,35,35042,600,50
10.837424058537987,4.449891633093848,4.53166684277455,0.9290986844731117,eat_all,0,36,36042,600,50
10.941257546107174,4.493625380050064,4.194850579723313,0.8890110816778216,eat_all,0,37,37042,600,50
10.950114148824692,4.497887179616159,4.670095062771692,0.8848103180889,eat_all,0,38,38042,600,50
10.99956410555695,4.480880414982179,4.817896744564517,0.883399001314608,eat_all,0,39,39042,600,50
11.099615003978341,4.550663852760746,4.657587133085509,0.9206714708852177,eat_all,0,40,40042,600,50
10.724642721366573,4.422431636991384,3.6985314181627,0.8844216990531875,eat_all,0,41,41042,600,50
10.741445468968251,4.4320145167925995,4.851008722970424,0.9181169922831209,eat_all,0,42,42042,600,50
10.875485975880904,4.4749953943282845,4.8217791666535685,0.888002891851003,eat_all,0,43,43042,600,50
10.79799720966651,4.419928893154752,4.740353009637625,0.8990616730978148,eat_all,0,44,44042,600,50
10.972222617970756,4.494110075716291,5.204359428311555,0.9291363077474968,eat_all,0,45,45042,600,50
10.929704898666591,4.49983206957225,4.006616930067105,0.8938181728091493,eat_all,0,46,46042,600,50
11.225766521697576,4.5419194629733655,4.469510736515852,0.8165262062588694,eat_all,0,47,47042,600,50
10.954422406414604,4.479714135582389,4.445588216854133,0.8816765849880589,eat_all,0,48,48042,600,50
11.045987917509718,4.516609062403953,4.544762417702368,0.8990553553785106,eat_all,0,49,49042,600,50
50.606864617093564,23.154600965314156,4.512147693145191,0.9439673027357076,eat_all,1,0,43,600,50
50.73290477363359,23.312056803456993,4.4151906403911285,0.9269334465900745,eat_all,1,1,1043,600,50
50.593581458726646,23.118003828302328,4.359165554681317,0.9321476181671808,eat_all,1,2,2043,600,50
51.291179586004965,23.23859887818214,3.6986879690889274,0.9246561184308403,eat_all,1,3,3043,600,50
50.598964944177986,23.08087493255424,4.1628686448663546,0.9405260506887692,eat_all,1,4,4043,600,50
50.64854093791376,23.15094026524521,4.506933025889429,0.9446714456027655,eat_all,1,5,5043,600,50
50.547353520574795,23.013068154359544,4.232639859773235,0.9426283116170078,eat_all,1,6,6043,600,50
50.446605358591746,23.11295728986283,4.430952522411031,0.9391686231718144,eat_all,1,7,7043,600,50
50.40010531890068,22.925474742138842,3.8202126273674426,0.9432511968085306,eat_all,1,8,8043,600,50
51.088837990583365,23.3602554481757,3.464339858704472,0.9207331440889481,eat_all,1,9,9043,600,50
50.46659736148222,23.043398677756972,3.3251964612064673,0.9158078887528409,eat_all,1,10,10043,600,50
50.745886125602276,23.007219252161637,4.325974362273638,0.9492140048018347,eat_all,1,11,11043,600,50
50.190342850323574,22.79300728068201,4.519977175170415,0.9370451047273424,eat_all,1,12,12043,600,50
50.277352610807256,22.899282656412453,4.442580829435322,0.9448844774705332,eat_all,1,13,13043,600,50
50.71508161319076,23.134244220024087,4.018082893650846,0.9271622876909291,eat_all,1,14,14043,600,50
51.18838946180546,23.240156346897948,3.8527457658361737,0.906627487604719,eat_all,1,15,15043,600,50
51.20909593094503,23.372602369604742,4.303789489644413,0.9521039137288387,eat_all,1,16,16043,600,50
50.22121765485736,22.884001376995826,4.17783896526292,0.9396875146703261,eat_all,1,17,17043,600,50
51.16805117173648,23.372341609877058,4.172429099464094,0.929516506462598,eat_all,1,18,18043,600,50
50.55108823863585,23.115476399099776,4.313200186291701,0.935181721297797,eat_all,1,19,19043,600,50
51.040921569547876,23.306244131495372,4.092741324237664,0.9506525961999435,eat_all,1,20,20043,600,50
