model,layer_idx,top1_share,top1_vs_bioaxis_abs_cos,cohens_d_top1,cohens_d_bioaxis,bio_proj_top1_mean,nonbio_proj_top1_mean,bio_proj_top1_std,nonbio_proj_top1_std,n_bio,n_nonbio
sl_eat_all_ssl_all,12,0.6249421464616427,0.7413441495145103,0.5206902957961014,0.8163758070273598,-0.3641921767285365,-1.8262150938501693,2.84188451765194,2.7734082330897953,600,200
sl_eat_bio_ssl_all,12,0.08302730668944612,0.04053816814207979,-0.060583925609158935,2.7654969753069727,7.6638970754142175,7.80457679869335,2.8588895188897796,1.6157687514781254,600,200
eat_all,12,0.2753658852748588,0.04783846990406789,-0.024313714016046904,1.7844784709832153,4.094235279634822,4.111516387768675,0.7569977365155465,0.6612877152862046,600,200
eat_bio,12,0.1616914808275554,0.25446085050799955,0.19272810840396476,1.0219878367096134,-3.5438571749941796,-3.652287188332175,0.4285700293681134,0.6703573845940034,600,200
random_init_eat_seed42,12,0.5654366430721435,0.06066318910812494,-0.01073705262544737,0.4571679182495955,-3.554440602529305,-3.3596422997649698,18.24908005593715,18.035538487406015,600,200
