model,layer_idx,id,file_name,source_dataset,class,is_bio,proj_top1,proj_top2,proj_bio_axis
sl_eat_bio_ssl_all,12,eefd2629-a65e-49b3-909e-48ac47128256,224940.flac,iNaturalist,Mammalia,True,7.155086131077035,2.1587423722001096,-2.412804270757431
sl_eat_bio_ssl_all,12,4c0ae147-a5a6-43fa-809e-aa266696c517,XC568103-Lechuza%20com%C3%BAn%2C%2004_09.flac,Xeno-canto,Aves,True,9.02320562263828,-0.9822819809287036,1.044741173252772
sl_eat_bio_ssl_all,12,ba8f95cd-ce04-4060-b948-e0818a6e8999,bass_synthetic_008-055-127.wav,NatureLM,,False,9.610743921393794,-0.18158688400963396,-2.3007380503565704
sl_eat_bio_ssl_all,12,f0a3a24c-c8ec-4819-9f20-acc0fe9092f0,XC201176-Glapas_Farges_20141102_edited.flac,Xeno-canto,Aves,True,10.322712857438395,-0.9987096358882999,-0.11614891278461581
sl_eat_bio_ssl_all,12,74bd235b-aa72-4d69-8b8b-7cee91fc12d7,72007015.flac,Watkins,Mammalia,True,7.498807337802557,-0.7068017749786393,-0.5391039227833923
sl_eat_bio_ssl_all,12,40155dc2-d3c9-498f-b34d-7e0bd7a8b981,352350.flac,iNaturalist,Mammalia,True,9.818350259096965,-1.198773621496076,0.17886581515052002
sl_eat_bio_ssl_all,12,59976ca1-3668-4a5d-a582-04dfa572d11a,894050E0.flac,Watkins,Mammalia,True,1.79726156397465,-5.8129188722420695,3.47002768069056
sl_eat_bio_ssl_all,12,632789f7-ea0d-4493-86b3-ddc6fe7de889,XC260279-himantopus%20himantopus%203%20corredor%20del%20guadaira%2007-03-2015.flac,Xeno-canto,Aves,True,10.183730210066607,-1.2910302093873978,0.8900129419166168
sl_eat_bio_ssl_all,12,56688b9f-09b2-41be-9708-f87b57fd7c3e,Panthera_tigris_S1423_03_short.flac,Animal Sound Archive,Mammalia,True,10.704840353297117,0.29154828889010376,-1.2732351481378288
sl_eat_bio_ssl_all,12,aa4a1377-c129-41d2-a6e3-1418dee8a958,SSW_114_20170429_180011Z.047_017.wav,NatureLM,,False,8.113683375975267,0.5878327364691348,-3.053058513247626
sl_eat_bio_ssl_all,12,66313538-a232-41c3-a867-1a788714745c,XC478558-Gull-billed%20Tern%20adult%20and%20chicks%20flight%20june%203%201411.flac,Xeno-canto,Aves,True,9.833927498542158,-3.3933834413988144,1.5721749941712622
sl_eat_bio_ssl_all,12,d29c730a-30c4-4285-9c49-85b0ce36c05b,882_123267_000037_0000011.wav,NatureLM,,False,4.8861010246233665,2.593425194493381,-4.057663762197462
sl_eat_bio_ssl_all,12,811f1467-3a96-402f-91b7-9b20956669a7,5601700A.flac,Watkins,Mammalia,True,3.638065259459947,-2.3219167270124528,0.7448272099368386
sl_eat_bio_ssl_all,12,8e43281c-412a-467c-a95b-c9889cb7cad0,394031.flac,iNaturalist,Aves,True,7.312145757615699,0.11651172340968174,0.4113310101082026
sl_eat_bio_ssl_all,12,7ca1f2b1-76b2-4493-9470-b763c1a6f099,guitar_electronic_014-050-075.wav,NatureLM,,False,9.106672545082626,0.8892782336616415,-2.5281467464762413
sl_eat_bio_ssl_all,12,01d41c46-5f66-44c3-8fa8-16f7f0b691c5,5600600B.flac,Watkins,Mammalia,True,6.471386471370453,-4.009092324903648,1.5576956442848793
sl_eat_bio_ssl_all,12,03bccf19-679f-4b04-b17b-23f9b46e0862,621681.flac,iNaturalist,Aves,True,9.7583125846525,0.11419355434286649,-0.5259180819104636
sl_eat_bio_ssl_all,12,e19ef301-d176-4954-9fc6-17a341852a27,XC548845-OCB_409914_D9_20190519_074500_HUGO.flac,Xeno-canto,Aves,True,5.285373806245285,-1.3543082751492586,0.04355772034948491
sl_eat_bio_ssl_all,12,cc585b0f-2f72-42ab-8d73-f0e3a4c233e5,9400901S.flac,Watkins,Mammalia,True,5.825084503634077,-3.3175009218806117,2.810163256196423
sl_eat_bio_ssl_all,12,6b95a6c1-5c50-4060-938d-0d24bbc7f9bf,p288_356_mic12.wav,NatureLM,,False,5.239772634132977,3.8280962078855625,-4.95109977645606
sl_eat_bio_ssl_all,12,6435cfdd-d051-46cc-8ce7-b66af67db8ca,XC688560-200402_1638-19.05_Afu-god-Nikn.flac,Xeno-canto,Aves,True,10.065990326961796,-2.5601261284660612,1.4071866124926677
sl_eat_bio_ssl_all,12,f466d0cb-9598-4122-86c6-97f876e8ec94,444c020l_0.75853_22go010b_-0.75853.wav,NatureLM,,False,8.740585270989325,2.4526415105840282,-4.167209005662528
sl_eat_bio_ssl_all,12,f0210edb-302b-4538-b9c5-39be5c0c1c9e,Yzat8mWJSJjo.flac,WavCaps,,False,9.15647793483645,1.4072222540518395,-2.631707285785211
sl_eat_bio_ssl_all,12,b0dc3b3a-53ea-40dc-9f22-c657e4eb4629,SSW_021_20170304_110008Z.045_009.wav,NatureLM,,False,6.294708418713454,2.2370320357564566,-4.174666527772799
sl_eat_bio_ssl_all,12,29bbc1a7-a86c-4e1b-92b0-409d0f220895,209a010i_0.056719_40gc020o_-0.056719.wav,NatureLM,,False,8.584630482860685,1.1739747020028255,-3.4567368311405353
sl_eat_bio_ssl_all,12,6728d88a-5871-4171-a98a-0bfe4dab821d,brass_acoustic_001-037-100.wav,NatureLM,,False,9.01628546105708,2.047142133738935,-3.647504899651996
sl_eat_bio_ssl_all,12,a8bc19d5-57d6-42d9-95ff-9335d32c0b68,bass_synthetic_106-087-127.wav,NatureLM,,False,5.552895538808993,0.8270812972441743,-2.7946311298426028
sl_eat_bio_ssl_all,12,fd449aca-8556-4fe0-9f5d-a9071978e31d,9775100D.flac,Watkins,Mammalia,True,0.9781860157338829,-5.909116633797529,3.7696004434398436
sl_eat_bio_ssl_all,12,e98e44c2-0f57-4e95-bc29-138900ff73cd,XC579617-Ryukyu%20Scops%20Owl%202%2020200728%20.flac,Xeno-canto,Aves,True,8.141748011298432,0.16021608524475184,-0.5725104913058094
sl_eat_bio_ssl_all,12,b7d147a3-5599-47c7-af07-c0785b51ad2c,XC339835-berf.flac,Xeno-canto,Aves,True,9.180858438362801,-0.157746644341884,-0.5925998039916573
