alpha,bio_axis_proj_mean,bio_axis_proj_std,energy_ratio_bio_mean,energy_ratio_bio_std,cos_to_bio_mean,cos_to_bio_std,cos_to_nonbio_mean,cos_to_nonbio_std
0.0,0.39925719355940303,0.40391511049789314,0.504259312397515,0.02040961191573605,0.5686655774559424,0.06956344105849831,0.46457560458872893,0.03245672160594723
0.025,-0.36740024424798823,0.8157115129701165,0.46487589043215544,0.0661239838738442,0.5315492146707951,0.08364346689569867,0.5273769861113178,0.08036937962487768
0.05,-0.4620976541705395,0.8676053717673682,0.4585558413920731,0.06699155488843009,0.5298036143989163,0.09078246180965038,0.5370924712037438,0.07921772490234602
0.075,-0.5041447300283773,0.8855957866906441,0.4560236569249428,0.06539120790918881,0.5307586070696353,0.0955132727908276,0.542182241219418,0.07873375092571773
0.1,-0.5252411220362062,0.8887802972949123,0.4533759156347149,0.06662058774277378,0.5305528394099759,0.09979262233974862,0.5437903359360895,0.07830061180008736
0.15,-0.5767056788235536,0.9005695552424946,0.4509901404847437,0.06531487081607683,0.5303063595841216,0.09906366239784051,0.5488834693346113,0.07644516478746984
0.2,-0.6184154633672825,0.8999659753723952,0.45020416718628636,0.06224549881425815,0.5287330798997509,0.0984202329020311,0.5513327354542157,0.07532288138689125
0.25,-0.6574949362193914,0.898172271677289,0.44765381221622147,0.060892766596678645,0.5274165766992571,0.09768278451432094,0.5540324134205593,0.07544452926883967
0.5,-0.7797215289636585,0.8747285534226916,0.4371259146592969,0.05957863275722157,0.5186145393816413,0.09427258479785225,0.558726035345236,0.07525925411964589
0.75,-0.9637403308498784,0.7679203724962317,0.4164290283788115,0.05613498014783201,0.500728067582506,0.08687548175311963,0.5622779324824394,0.07006028916320574
1.0,-1.3549462587744134,0.26362975628865687,0.36952988337335335,0.06879088366072962,0.4898751359267352,0.07766514667230318,0.5951890681189487,0.05292494537142524
