model,layer,n_rows,embedding_dim,effective_rank,participation_ratio,twonn_id,mle_id_k20
eat_all,0,40000,768,10.722931769374954,4.406673944809224,4.8346340267026395,8.931904812677637
eat_all,1,40000,768,50.1748674647482,22.705690228088987,6.270660512066503,8.300668754507573
eat_all,2,40000,768,94.05159735111526,50.09502865425146,9.504058122561265,11.334382904474532
eat_all,3,40000,768,115.70938732785582,60.32706711706368,11.529467139265881,11.75908731886254
eat_all,4,40000,768,162.60380291248407,77.074176981718,2.601968935329334,12.783833991811123
eat_all,5,40000,768,190.91397850658873,83.89680808326914,9.231891541075617,11.227560363880979
eat_all,6,40000,768,233.42093488456453,99.86663478056565,7.369353045134559,11.182088004048186
eat_all,7,40000,768,254.51745753338764,109.11544033644871,6.670450565651745,11.17860283575188
eat_all,8,40000,768,190.03742428725434,75.28603336612821,6.933223380184617,10.784498985434114
eat_all,9,40000,768,192.50988357500646,78.03984991880947,5.39260306416864,9.583873133855764
eat_all,10,40000,768,184.28199406453246,74.80974862155718,5.281962108325261,9.092169071586515
eat_all,11,40000,768,224.22399604125752,82.65364914705115,5.434936216155244,10.198912455447042
eat_all,12,40000,768,61.722983001094526,10.59404857244462,7.124938238661526,12.393484274151751
eat_bio,0,40000,768,25.777352228311283,10.071388342824257,4.818491087613719,8.736016224957293
eat_bio,1,40000,768,67.58957888849477,34.14362563464442,6.678072703613345,10.999169639539783
eat_bio,2,40000,768,54.87093068305827,32.127905523962575,7.578609006241173,7.246442219844318
eat_bio,3,40000,768,72.53184027766284,41.423609476849116,9.712558023677166,9.074522846333608
eat_bio,4,40000,768,117.21159413499682,59.37664197091612,10.010233790252522,10.91436274201333
eat_bio,5,40000,768,131.62356126056739,61.998293891870034,9.730955878891587,10.299449822117943
eat_bio,6,40000,768,185.7815399477971,76.68658834079595,8.013448468871676,11.395327728176342
eat_bio,7,40000,768,195.41247918309557,77.33993732734777,6.751598762665111,11.180704143466992
eat_bio,8,40000,768,161.4034433922167,63.254737871412075,6.1341271601368605,9.7858504210248
eat_bio,9,40000,768,159.53656829990567,65.76232903523955,5.533877330450115,9.12773040040904
eat_bio,10,40000,768,165.2255085788063,64.0800981143795,5.642933945465736,8.782957105406878
eat_bio,11,40000,768,178.9747465480966,59.75880096514051,5.849158167108976,9.661160950131672
eat_bio,12,40000,768,182.31251444657735,31.89308224351158,6.730793974705026,11.78144693937834
sl_eat_all_ssl_all,0,40000,768,43.40281226673074,19.479893036589715,4.071377935019915,8.267656464837458
sl_eat_all_ssl_all,1,40000,768,68.96584201513733,39.04382295131607,6.354101078125167,10.606043853532919
sl_eat_all_ssl_all,2,40000,768,82.37998179407259,46.88143741743302,8.126768165879982,11.16527260339983
sl_eat_all_ssl_all,3,40000,768,105.13596384159659,59.491414913626684,10.084442973386842,12.666306803468961
sl_eat_all_ssl_all,4,40000,768,131.7979893060855,66.40871945178372,0.727670504203305,13.179312214363069
sl_eat_all_ssl_all,5,40000,768,162.9439393542043,73.56131634341826,2.74348716343591,12.150380730191472
