layer,layer_label,target,mean_R2,std_R2,shuffle_R2,n_samples,alpha,fold_mean_R2
9,T8,spectral_centroid,0.80918,2.58771,-0.03885,2365,1000.0,-0.33392
9,T8,spectral_bandwidth,0.79037,2.02312,-0.04536,2365,1000.0,0.27446
9,T8,spectral_rolloff,0.75419,2.43012,-0.05659,2365,1000.0,-0.02473
9,T8,zero_crossing_rate,0.74813,1.17315,-0.04644,2365,1000.0,0.02746
9,T8,spectral_flatness,0.69952,59.04610,-0.04455,2365,1000.0,-11.94915
9,T8,f0,0.51044,5.55840,-0.04356,1446,1000.0,-1.16978
10,T9,rms_energy,0.66590,9.60510,-0.04142,2365,1000.0,-2.65784
10,T9,spectral_centroid,0.82416,2.22976,-0.03367,2365,1000.0,-0.14802
10,T9,spectral_bandwidth,0.80403,2.01376,-0.04821,2365,1000.0,0.31706
10,T9,spectral_rolloff,0.77889,1.96388,-0.04927,2365,1000.0,0.12400
10,T9,zero_crossing_rate,0.75784,1.09936,-0.03776,2365,1000.0,0.05737
10,T9,spectral_flatness,0.70832,33.46500,-0.06015,2365,1000.0,-7.43757
10,T9,f0,0.52146,4.41720,-0.04245,1446,1000.0,-0.93000
11,T10,rms_energy,0.66625,9.27720,-0.05476,2365,1000.0,-2.62357
11,T10,spectral_centroid,0.81202,2.29944,-0.05264,2365,1000.0,-0.30588
11,T10,spectral_bandwidth,0.76798,2.47318,-0.06661,2365,1000.0,0.15558
11,T10,spectral_rolloff,0.74595,2.62471,-0.04795,2365,1000.0,-0.07425
11,T10,zero_crossing_rate,0.74881,1.13655,-0.03891,2365,1000.0,-0.00179
11,T10,spectral_flatness,0.65544,51.13140,-0.06098,2365,1000.0,-10.97237
11,T10,f0,0.52033,4.65801,-0.04282,1446,1000.0,-1.05428
12,T11,rms_energy,0.63505,12.01018,-0.06877,2365,1000.0,-3.17032
12,T11,spectral_centroid,0.78156,1.42050,-0.05345,2365,1000.0,-0.32605
12,T11,spectral_bandwidth,0.73402,1.88606,-0.05958,2365,1000.0,0.18925
12,T11,spectral_rolloff,0.70998,2.41054,-0.07173,2365,1000.0,-0.08801
12,T11,zero_crossing_rate,0.72107,1.04135,-0.06002,2365,1000.0,-0.08366
12,T11,spectral_flatness,0.63692,66.17176,-0.04930,2365,1000.0,-14.06931
12,T11,f0,0.46214,8.43975,-0.07988,1446,1000.0,-1.86151
