model,layer_idx,level,group_a,group_b,k,mean_cos_principal_angles
sl_eat_bio_ssl_all,0,order,Passeriformes,other-Aves,10,0.9658181949833666
sl_eat_bio_ssl_all,1,class,Aves,Mammalia,10,0.7262982872567689
sl_eat_bio_ssl_all,1,order,Passeriformes,other-Aves,10,0.982091210776731
sl_eat_bio_ssl_all,2,class,Aves,Mammalia,10,0.7253707013091043
sl_eat_bio_ssl_all,2,order,Passeriformes,other-Aves,10,0.8820660552582347
sl_eat_bio_ssl_all,3,class,Aves,Mammalia,10,0.7107677215969886
sl_eat_bio_ssl_all,3,order,Passeriformes,other-Aves,10,0.9591073815365945
sl_eat_bio_ssl_all,4,class,Aves,Mammalia,10,0.7130703898736864
sl_eat_bio_ssl_all,4,order,Passeriformes,other-Aves,10,0.9366432059087966
sl_eat_bio_ssl_all,5,class,Aves,Mammalia,10,0.6368418372418116
sl_eat_bio_ssl_all,5,order,Passeriformes,other-Aves,10,0.9063699997291901
sl_eat_bio_ssl_all,6,class,Aves,Mammalia,10,0.5070513557662102
sl_eat_bio_ssl_all,6,order,Passeriformes,other-Aves,10,0.8886361779369112
sl_eat_bio_ssl_all,7,class,Aves,Mammalia,10,0.4180263749377756
sl_eat_bio_ssl_all,7,order,Passeriformes,other-Aves,10,0.8598189447820761
sl_eat_bio_ssl_all,8,class,Aves,Mammalia,10,0.5133885526723172
sl_eat_bio_ssl_all,8,order,Passeriformes,other-Aves,10,0.9101661795255918
sl_eat_bio_ssl_all,9,class,Aves,Mammalia,10,0.44502438079726814
sl_eat_bio_ssl_all,9,order,Passeriformes,other-Aves,10,0.8389833135737114
sl_eat_bio_ssl_all,10,class,Aves,Mammalia,10,0.5264100329168379
sl_eat_bio_ssl_all,10,order,Passeriformes,other-Aves,10,0.8679229398336469
sl_eat_bio_ssl_all,11,class,Aves,Mammalia,10,0.5808079951179291
sl_eat_bio_ssl_all,11,order,Passeriformes,other-Aves,10,0.9331314054594679
sl_eat_bio_ssl_all,12,class,Aves,Mammalia,10,0.6478138013206947
sl_eat_bio_ssl_all,12,order,Passeriformes,other-Aves,10,0.8212978255639405
random_init_eat_seed42,0,class,Aves,Mammalia,10,0.9031530958946217
random_init_eat_seed42,0,order,Passeriformes,other-Aves,10,0.9032214398054362
random_init_eat_seed42,1,class,Aves,Mammalia,10,0.9216967788967084
random_init_eat_seed42,1,order,Passeriformes,other-Aves,10,0.9866982150261474
random_init_eat_seed42,2,class,Aves,Mammalia,10,0.9253986423269396
random_init_eat_seed42,2,order,Passeriformes,other-Aves,10,0.9928265181476483
random_init_eat_seed42,3,class,Aves,Mammalia,10,0.9462766436656503
random_init_eat_seed42,3,order,Passeriformes,other-Aves,10,0.9816997610501164
random_init_eat_seed42,4,class,Aves,Mammalia,10,0.9416857375737478
random_init_eat_seed42,4,order,Passeriformes,other-Aves,10,0.971072840924019
random_init_eat_seed42,5,class,Aves,Mammalia,10,0.9179897451586667
random_init_eat_seed42,5,order,Passeriformes,other-Aves,10,0.9614173055232955
random_init_eat_seed42,6,class,Aves,Mammalia,10,0.9158779495822253
random_init_eat_seed42,6,order,Passeriformes,other-Aves,10,0.9447437067045665
random_init_eat_seed42,7,class,Aves,Mammalia,10,0.9275285311612631
