model,source,is_bio,eff_rank_L11,eff_rank_L12,delta,ratio_L12_over_L11
eat_all,Animal Sound Archive,True,174.347859094703,56.83671229309708,-117.51114680160593,0.3259960437037788
eat_all,NatureLM,False,147.65658745565617,47.78929902367144,-99.86728843198472,0.32365165582621497
eat_all,Watkins,True,124.1425140379576,38.08404607933207,-86.05846795862553,0.3067768231895768
eat_all,WavCaps,False,197.462697223897,58.557529429171055,-138.90516779472597,0.29654983068915763
eat_all,Xeno-canto,True,203.0442866348627,61.42983951462645,-141.61444712023624,0.3025440436307207
eat_all,iNaturalist,True,193.67278320524136,60.1382834035126,-133.53449980172877,0.3105148922230446
eat_bio,Animal Sound Archive,True,157.41002818325794,152.12094015714888,-5.289088026109056,0.9663992943324331
eat_bio,NatureLM,False,110.160687538736,107.65538490295116,-2.505302635784844,0.9772577432861074
eat_bio,Watkins,True,94.04821594155165,95.32575148683638,1.277535545284735,1.0135838360408527
eat_bio,WavCaps,False,151.17372994742155,155.6613463791911,4.487616431769538,1.029685160466242
eat_bio,Xeno-canto,True,181.9412882550425,190.94332848296895,9.002040227926443,1.0494777206112091
eat_bio,iNaturalist,True,169.08483805503664,181.46349534072857,12.37865728569193,1.0732097415006703
sl_eat_all_ssl_all,Animal Sound Archive,True,51.96399416882301,9.782497610271731,-42.181496558551274,0.18825530575055305
sl_eat_all_ssl_all,NatureLM,False,43.22064512537524,7.153915899846435,-36.0667292255288,0.16552080328959054
sl_eat_all_ssl_all,Watkins,True,71.92954822869604,21.514919357061647,-50.41462887163439,0.29911100357055137
sl_eat_all_ssl_all,WavCaps,False,56.80847147949766,10.869334494020151,-45.93913698547751,0.19133298627728304
sl_eat_all_ssl_all,Xeno-canto,True,47.45528031849259,9.64426328722888,-37.81101703126371,0.2032284547157265
sl_eat_all_ssl_all,iNaturalist,True,47.98342190423617,8.281538347363051,-39.70188355687311,0.17259165809164445
sl_eat_bio_ssl_all,Animal Sound Archive,True,186.7186503915476,151.38396499192402,-35.334685399623595,0.8107597429312657
sl_eat_bio_ssl_all,NatureLM,False,162.03495067223164,133.10409928061566,-28.930851391615988,0.8214530181816265
sl_eat_bio_ssl_all,Watkins,True,143.2253551508244,112.32749322791248,-30.89786192291193,0.7842710050160132
sl_eat_bio_ssl_all,WavCaps,False,213.26260993528004,163.6471647114446,-49.61544522383545,0.7673504734895042
sl_eat_bio_ssl_all,Xeno-canto,True,224.39659955633087,171.6159860188928,-52.78061353743806,0.7647887105161395
sl_eat_bio_ssl_all,iNaturalist,True,202.22605340981212,159.2130503681518,-43.01300304166031,0.7873023662559727
random_init_eat_seed42,Animal Sound Archive,True,16.283606608619777,15.864185806283766,-0.41942080233601153,0.9742427576140295
random_init_eat_seed42,NatureLM,False,7.279084956654469,6.868206609183111,-0.41087834747135776,0.9435535716483516
random_init_eat_seed42,Watkins,True,14.654349115830174,14.104042668604624,-0.5503064472255499,0.9624475680990097
random_init_eat_seed42,WavCaps,False,11.097985840903092,11.015350164590876,-0.08263567631221669,0.9925539933554743
random_init_eat_seed42,Xeno-canto,True,12.092184306417131,11.94082356922616,-0.15136073719097176,0.9874827629685856
random_init_eat_seed42,iNaturalist,True,11.099718773188917,10.39332806264593,-0.706390710542987,0.9363595848708117
