model,layer_idx,metric,p05,p50,p95,n_bootstraps
eat_all,12,top1_share,0.27260734167413847,0.2763904972648758,0.2790274826167689,30
eat_all,12,top1_vs_bioaxis_abs_cos,0.00574469686887486,0.0990022522977371,0.3391393460544284,30
eat_all,12,cohens_d_top1,-0.05907462498699978,0.020338550541306993,0.1558246565686414,30
eat_all,12,cohens_d_bioaxis,1.112008126967164,1.5923768600573092,1.9036311440538842,30
eat_bio,12,top1_share,0.1599542083393498,0.1612330291503893,0.1648024799092462,30
eat_bio,12,top1_vs_bioaxis_abs_cos,0.0554904393556088,0.2597163604591749,0.40041488083539484,30
eat_bio,12,cohens_d_top1,-0.24887486967877825,0.08543306169098103,0.32346178498173367,30
eat_bio,12,cohens_d_bioaxis,0.9186947946109146,1.0704999860433495,1.2529002888758458,30
sl_eat_all_ssl_all,12,top1_share,0.6177428833613069,0.6225251093856937,0.6285773363372312,30
sl_eat_all_ssl_all,12,top1_vs_bioaxis_abs_cos,0.6739558514455184,0.7430438293206448,0.7955665066274988,30
sl_eat_all_ssl_all,12,cohens_d_top1,-0.6059239362345936,0.4312352913377341,0.6739304300267426,30
sl_eat_all_ssl_all,12,cohens_d_bioaxis,0.7888703448153229,0.8594197663788604,0.9521278582425933,30
sl_eat_bio_ssl_all,12,top1_share,0.08070771921811869,0.08253897128453454,0.08430896623044866,30
sl_eat_bio_ssl_all,12,top1_vs_bioaxis_abs_cos,0.006859710213493942,0.03501917754194871,0.14868995839108046,30
sl_eat_bio_ssl_all,12,cohens_d_top1,-0.16839830325817828,0.019906057486637485,0.13019474358594535,30
sl_eat_bio_ssl_all,12,cohens_d_bioaxis,2.594314988098784,2.8242930656196483,3.057229228758753,30
random_init_eat_seed42,12,top1_share,0.5496292739292103,0.5639191636003535,0.575264376761263,30
random_init_eat_seed42,12,top1_vs_bioaxis_abs_cos,0.037153495241558344,0.2625931800090246,0.7561592219354292,30
random_init_eat_seed42,12,cohens_d_top1,-0.10447073046603814,0.014871880003653946,0.2291910190629444,30
random_init_eat_seed42,12,cohens_d_bioaxis,0.26674943835379306,0.4135824676309072,0.5640202439611377,30
