model,layer_idx,bootstrap,top1_share,top1_vs_bioaxis_abs_cos,cohens_d_top1,cohens_d_bioaxis
eat_all,12,0,0.27969073182942333,0.11745809624931784,-0.06268497718421782,1.7347655268851214
eat_all,12,1,0.27450635850299515,0.2385048442322538,0.13952855837872055,1.6551074728377793
eat_all,12,2,0.27315488877088495,0.34011663751855736,0.1691578278149404,1.2632480862648539
eat_all,12,3,0.27709974046989205,0.4614401635082418,0.25009801082349337,1.0382963597286363
eat_all,12,4,0.2739195727998032,0.08019038476522115,-0.046715517010505934,1.3179962166192016
eat_all,12,5,0.27832689562686674,0.01128797856565155,-0.005458454569692112,1.4198939767322387
eat_all,12,6,0.27349155538335124,0.10978523544273854,-0.05466197230151107,1.8959316272550797
eat_all,12,7,0.2727714234273879,0.03158384189000512,-0.016560908721862035,1.4265224013217122
eat_all,12,8,0.27699535348721877,0.0963829932921437,-0.049499467566063673,1.3302977041404955
eat_all,12,9,0.276804960282657,0.33794487870938195,-0.19527950947895648,1.0320123569640114
eat_all,12,10,0.2763149487632824,0.10776550075182394,0.0553736055565375,1.921984573493457
eat_all,12,11,0.2790641006329666,0.14859981338527017,0.07580073019681942,1.2274636395380631
eat_all,12,12,0.2789827272636384,0.00965051108402177,0.0051691449375046794,1.5564292342024788
eat_all,12,13,0.27664916390626076,0.005681498420200354,-0.0028319596599716023,1.6349972828410242
eat_all,12,14,0.27648931609649735,0.10102015061679495,0.04999561873630312,1.8569771079083384
eat_all,12,15,0.27234121036030423,0.13143592050368277,0.07419491362625236,1.760062950652964
eat_all,12,16,0.27748802694835106,0.1609613228656075,0.08478485698622085,1.2021002869253645
eat_all,12,17,0.2738188681486144,0.07727105230422879,0.041012754424874155,1.6503842953278003
eat_all,12,18,0.27405617411340216,0.15642459215258225,0.08345068350659444,1.6283244859121397
eat_all,12,19,0.2764660457664692,0.07544564439881848,0.03550795614510931,1.8133273037567323
eat_all,12,20,0.2728890558867478,0.046706493411784636,-0.023302304201293964,1.6905483015789993
eat_all,12,21,0.2724730929669344,0.19921218383055056,0.10857070825385778,1.9099307487074515
eat_all,12,22,0.2768883693627344,0.08119412919683659,0.042034576439824646,1.4512523921420322
eat_all,12,23,0.2767494421040856,0.09698435397867924,-0.04813856564234939,1.2206141990379515
eat_all,12,24,0.2789566623424546,0.09288736448861895,-0.05300529423276515,1.2799627285480306
eat_all,12,25,0.27584975043131854,0.21614975988282062,0.11310252365290806,1.7865305622306653
eat_all,12,26,0.27336319338819987,0.2357654523710856,0.12994703434303043,1.6793350930851083
eat_all,12,27,0.27460344693142985,0.005821939417254812,-0.0031322284552755325,1.7387977877062324
eat_all,12,28,0.27706795480259694,0.03550789047847815,-0.01812646383333961,1.5497360539843474
eat_all,12,29,0.27369172266284386,0.002300874823078461,0.0012394752647163722,1.5373648617753328
eat_bio,12,0,0.1640189199200262,0.29875180438908877,-0.2595888659392963,1.1078584825606057
eat_bio,12,1,0.1663940771400766,0.11094734061806778,-0.08452466768935953,1.245840246302591
eat_bio,12,2,0.1625946764848778,0.11569278509377844,-0.07237831253278021,1.1752517170246317
eat_bio,12,3,0.16082908041991187,0.12478515928483844,0.07880180637385278,1.2539395167258107
eat_bio,12,4,0.1592729136607724,0.27411215694648866,-0.23499883969051855,1.0388923540192112
eat_bio,12,5,0.16058322912491696,0.3936699481561367,-0.29919545766912786,0.8984340324904331
eat_bio,12,6,0.16216987284272136,0.04638988059984868,-0.03165795134360994,1.2516301215036665
eat_bio,12,7,0.16414782785606555,0.2678234714375497,0.22342012850314816,1.0823536337829047
eat_bio,12,8,0.16445387510998652,0.4059334621184243,0.3289306564881205,0.9482703622457005
eat_bio,12,9,0.16030734183346676,0.2574294154393205,-0.22411355208819878,1.0584290108040355
eat_bio,12,10,0.1650877020177314,0.06661334450153783,0.045306324191801535,1.2168377363422511
eat_bio,12,11,0.16332897835223595,0.305640855936846,-0.2357799853603673,1.0393822074580128
eat_bio,12,12,0.1635573899756621,0.37663769623359894,0.3167776086961499,0.9608899448627084
eat_bio,12,13,0.16212858627348545,0.1939415440285443,-0.14578243330052765,1.0804986249425113
eat_bio,12,14,0.16250345542014655,0.13460706415117313,0.08879539695152312,1.2381535968375024
eat_bio,12,15,0.16053328870898914,0.26314417973296617,-0.2096884527104451,1.0454240029875597
