model,layer_idx,id,source_dataset,is_bio,within_var,between_dist
sl_eat_bio_ssl_all,9,c49b970e-1400-4aa3-beb6-cf633967ed97,iNaturalist,True,33.98361729766814,4.677565575938907
sl_eat_bio_ssl_all,9,22a61408-3509-4067-b013-495622b188e4,NatureLM,False,36.21364684852183,4.028379673780518
sl_eat_bio_ssl_all,9,882cd8ad-9001-4ca0-b021-ae74d7aab5a7,Watkins,True,32.83932501002969,4.572464049303298
sl_eat_bio_ssl_all,9,a01ddadd-e47a-46db-bc20-dd11802ba8d0,Watkins,True,31.193579061177257,4.919722851056492
sl_eat_bio_ssl_all,9,26b4bba3-382b-4376-b3b9-09943c6f1e9a,NatureLM,False,40.60386859250124,3.80078830259023
sl_eat_bio_ssl_all,9,05894c3e-62cd-4e77-8895-5c8225dd4580,Xeno-canto,True,41.44264712438859,3.7877709960291885
sl_eat_bio_ssl_all,9,abe7afda-58f8-477c-a39e-9486e87e9c00,Xeno-canto,True,38.979836163765086,3.8552012908663595
sl_eat_bio_ssl_all,9,390cb16a-666f-46b4-a690-cc2599a5a8b5,NatureLM,False,29.75125907135794,4.90131859934329
sl_eat_bio_ssl_all,9,6a0689c9-4aed-4a8d-ac25-73527ade568f,NatureLM,False,36.95609011599967,4.012283442437247
sl_eat_bio_ssl_all,9,a0e3fbea-e4b8-48bd-91e6-84e0dbfdf5e0,NatureLM,False,36.086741617973786,4.3748336510150585
sl_eat_bio_ssl_all,9,0012aa9f-98de-425b-b851-c81c20e9edca,NatureLM,False,40.45143101504055,3.5286495422931057
sl_eat_bio_ssl_all,9,30198020-dcff-426d-b424-2fd58701ac6d,NatureLM,False,34.48732750742761,3.982172434336813
sl_eat_bio_ssl_all,9,acdc1409-e658-436a-8dc4-5b7f14bb4709,iNaturalist,True,43.36098436890655,3.349261189221258
sl_eat_bio_ssl_all,9,0dafdb09-cc1f-401b-83af-556ad2acf105,NatureLM,False,33.906582508462115,4.324617297751649
sl_eat_bio_ssl_all,9,dda3b2d6-3116-4c56-86c8-01af7a531181,Watkins,True,35.12970893720858,4.513015495378664
sl_eat_bio_ssl_all,9,e4a1ea08-a1ba-4abb-b487-8c4a1f8fe9cd,WavCaps,False,38.96433361715064,4.200153799578437
sl_eat_bio_ssl_all,9,ee619911-1276-4697-a07e-17d6f9c96366,NatureLM,False,34.842320618106186,4.763240472052101
sl_eat_bio_ssl_all,9,99613f62-eff5-46ae-8b4e-e9ed7d9e9b33,WavCaps,False,33.150050522570766,3.9774992239462112
sl_eat_bio_ssl_all,9,549c4f26-63c3-4741-8c3b-f2d0e59116bd,NatureLM,False,35.08736856883702,4.437879235556333
sl_eat_bio_ssl_all,9,3fbefbc5-6fe9-4bc6-bea9-fdd337eaec4d,NatureLM,False,39.612386900902614,3.3477287757479344
sl_eat_bio_ssl_all,9,d73a71b3-2456-4b25-8177-81409b63f3d7,iNaturalist,True,36.70793233738809,3.5296906828552155
sl_eat_bio_ssl_all,9,6e310798-3523-46a8-b024-2be3e87d1145,NatureLM,False,36.51664680039773,3.9042506154432846
sl_eat_bio_ssl_all,9,394c771c-5e40-48ae-85d4-6057168a2bed,Xeno-canto,True,38.51217288112861,3.563152081259164
sl_eat_bio_ssl_all,9,b3f6a3c1-1cbb-42b6-9821-560e328bde25,NatureLM,False,37.39863681807634,3.7175976328249365
sl_eat_bio_ssl_all,9,50fc75dc-3b06-4488-9d5c-4bbae116b96b,NatureLM,False,35.795990648371706,4.119974464219985
sl_eat_bio_ssl_all,9,d11f1efe-91c5-43a3-991d-bc056976381d,Watkins,True,32.030949949719094,4.838445701567384
sl_eat_bio_ssl_all,9,41fcdf68-9418-468c-842d-73340980ab31,WavCaps,False,35.353140008583935,3.9990648370462
