model,layer_idx,id,source_dataset,is_bio,within_var,between_dist
random_init_eat_seed42,9,ba915582-8962-485f-861d-84f87cba0e7f,iNaturalist,True,58.513437991674465,21.636061209207412
random_init_eat_seed42,9,ff6b23d4-3697-4b97-9746-ef7bafec7240,NatureLM,False,0.8852567817026907,23.430025216654332
random_init_eat_seed42,9,aca533a1-cdcb-4c13-860a-82c92bdde47d,iNaturalist,True,200.97646152003844,14.809575553464265
random_init_eat_seed42,9,7f9ca590-8228-412d-8945-04c2cd22beec,iNaturalist,True,208.77863309333472,18.594762143618006
random_init_eat_seed42,9,96a47dc8-1bdc-4246-a0fc-ba9fb3233336,Watkins,True,306.2404360245158,20.70307695811535
random_init_eat_seed42,9,ac564bbc-2243-4b3d-ae3b-088eaf4e65ff,iNaturalist,True,115.69178193653396,20.472538907456958
random_init_eat_seed42,9,088da057-5719-4d3b-9beb-e6baaec7206f,iNaturalist,True,67.85577517917795,21.136914216851313
random_init_eat_seed42,9,8a711d06-4747-4a99-bd49-891b9dae40aa,WavCaps,False,92.86604597485152,20.389243990228195
random_init_eat_seed42,9,9575c601-9417-4f6e-b9f6-373c3ac12cf0,iNaturalist,True,136.01029064648313,19.601719777239165
random_init_eat_seed42,9,8f3ff8f0-9d15-4c7e-bec7-e1b8d9338f96,Watkins,True,334.2020519774791,16.607574505833036
random_init_eat_seed42,9,734c9e30-160b-45a1-8e19-0cdb8bea7327,NatureLM,False,155.4074219848227,20.733461309407147
random_init_eat_seed42,9,516da4a0-75bb-427d-b12d-e4a97dce00f5,NatureLM,False,34.19109198924789,22.480799693663876
random_init_eat_seed42,9,f07da3dc-c385-450d-9ad2-f09f3db64967,iNaturalist,True,232.51079466858232,16.330034355919608
random_init_eat_seed42,9,9740dd80-2577-44da-b97e-7c34fe86126e,NatureLM,False,273.95816115405364,16.7853249104623
random_init_eat_seed42,9,b2636c9f-22f2-410f-9357-4ca5399c2688,iNaturalist,True,625.1726312535052,6.720497970650946
random_init_eat_seed42,9,c1aca1af-5595-4d72-a1d8-71c8b4da3fc5,iNaturalist,True,98.66147908172915,20.63864628112535
random_init_eat_seed42,9,553090a2-13b2-442c-9013-2f23ebfc492e,iNaturalist,True,430.168327462005,10.74267207054957
random_init_eat_seed42,9,a39e86af-800c-48cb-a4c6-71a747614bd0,NatureLM,False,34.339948576943044,22.933977602311877
random_init_eat_seed42,9,5d08b01d-eae0-478b-8980-7bd94f971b2a,iNaturalist,True,63.15563828269481,22.330549217872996
random_init_eat_seed42,9,4c60c3b3-9c2b-493b-ab73-a8bb8c34becc,iNaturalist,True,406.3468187320952,10.98647774927464
