model,layer_idx,split,n,mean_within_clip_var,mean_between_clip_var,within_total_ratio
eat_all,0,all,600,0.32287259185012496,0.032527176803931634,0.9084772144700146
eat_all,0,bio,400,0.32353928372611124,0.026112721149007798,0.9253179710542939
eat_all,0,nonbio,200,0.32153920809815234,0.0453560881137793,0.8763786601189348
eat_all,1,all,600,24.09797228148765,1.7153614069065468,0.9335474670721132
eat_all,1,bio,400,24.06252844757626,1.411921387684387,0.9445749997815432
eat_all,1,nonbio,200,24.168859949310434,2.322241445350867,0.9123388110311313
eat_all,2,all,600,24.763386586772484,2.517865980132261,0.9077070976137395
eat_all,2,bio,400,24.874211812177208,2.002001442957146,0.9255102858445027
eat_all,2,nonbio,200,24.541736135963024,3.5495950544824915,0.8736409097020725
eat_all,3,all,600,25.16633447789579,2.8771749373558055,0.897403178227364
eat_all,3,bio,400,25.365096001820994,2.427009979040977,0.9126726855204046
eat_all,3,nonbio,200,24.76881143004539,3.7775048539854623,0.8676710221942492
eat_all,4,all,600,46.06455830397659,5.762574222002047,0.8888116331901341
eat_all,4,bio,400,46.57180425953763,5.001877088227616,0.9030149301443195
eat_all,4,nonbio,200,45.050066392854504,7.283968489550908,0.8608177545278519
eat_all,5,all,600,53.32901697967048,7.719850641301388,0.873546374533417
eat_all,5,bio,400,53.971943628114744,6.961420062349511,0.8857535569886988
eat_all,5,nonbio,200,52.04316368278196,9.23671179920514,0.8492700625359426
eat_all,6,all,600,43.67293872595369,8.142777426328657,0.8428512036310052
eat_all,6,bio,400,44.28313666702092,7.436474023714376,0.8562155839071988
eat_all,6,nonbio,200,42.452542843819245,9.555384231557223,0.8162706193286967
eat_all,7,all,600,58.64908390007057,11.04423559666127,0.8415309289841019
eat_all,7,bio,400,59.60031928118197,10.144121586350671,0.8545529728223408
eat_all,7,nonbio,200,56.746613137847795,12.84446361728247,0.8154294456101289
eat_all,8,all,600,54.06895127629408,8.411306975140864,0.8653765651657227
eat_all,8,bio,400,54.75398579515213,7.524789099768102,0.8791757045243056
eat_all,8,nonbio,200,52.69888223857799,10.184342725886381,0.8380435683500392
eat_all,9,all,600,36.61063210589245,6.123965595171879,0.856697712752322
eat_all,9,bio,400,37.08266966496974,5.571875994727802,0.8693720467876784
