model,layer_idx,species,n_clips,within_var,centroid_norm,cos_to_global_bio_centroid,class
eat_all,2,Strix uralensis,5,21.980249588139902,2.4712287245604783,0.8894992642027961,Aves
eat_all,2,Strix varia,6,26.11611766264613,1.9158036237420024,0.949489741987433,Aves
eat_all,2,Calidris alpina,5,25.15457583007899,2.076633606287964,0.9612747152558511,Aves
eat_all,2,Colaptes auratus,6,25.747741555715667,2.041412443919767,0.9329631927703224,Aves
eat_all,2,Dryobates pubescens,5,25.54323150789411,1.9634484741726987,0.9610790026919865,Aves
eat_all,2,Canis latrans,6,25.747582215518868,2.017320701280122,0.9163715972339018,Mammalia
eat_all,2,Dendrocopos major,11,26.213493809627828,1.969260305777024,0.94286740955261,Aves
eat_all,2,Stenella coeruleoalba,5,22.970209992492208,2.2801193704716805,0.9032445747840948,Mammalia
eat_all,2,Stenella attenuata,6,24.227610196331483,2.1898474263175967,0.8706157299915838,Mammalia
eat_all,2,Tyto alba,5,24.402760865646915,2.2196519898308784,0.9443559074701336,Aves
eat_all,2,Megaptera novaeangliae,10,25.451944354732476,1.9927523682429178,0.9436340074482847,Mammalia
eat_all,2,Picus viridis,5,26.46586405760878,1.9517110267459128,0.940909296511639,Aves
eat_all,2,Athene noctua,7,25.945371754263064,1.9728131001889624,0.9208048091625709,Aves
eat_all,2,Bubo virginianus,5,24.98865471824662,2.068674931345279,0.9239634980813201,Aves
eat_all,2,Sciurus carolinensis,7,25.255255353164618,2.134778142779746,0.9376880067732276,Mammalia
eat_all,2,Pseudorca crassidens,8,24.55014339863604,2.1672122520417085,0.8681648833931918,Mammalia
eat_all,2,Globicephala macrorhynchus,9,24.828538770761984,2.0206541208496245,0.9064646590864905,Mammalia
eat_all,2,Globicephala melaena,8,23.711747359274458,2.1812128736567047,0.915078870892406,Mammalia
eat_all,2,Sterna paradisaea,5,27.642902653446153,1.8028120988947502,0.9032740455685547,Aves
eat_all,2,Strix aluco,7,25.7206288761175,2.0259113063947702,0.9367970337205181,Aves
eat_all,2,Balaenoptera physalus,12,25.815962547357426,2.3945344354100118,0.6345260706781568,Mammalia
eat_all,3,Delphinus delphis,9,25.232311868499185,2.446070008419634,0.8910797212498309,Mammalia
eat_all,3,Eubalaena glacialis,7,26.200800668509505,2.2965242806068322,0.88417228546064,Mammalia
eat_all,3,Aegolius funereus,5,26.60914664075779,2.428891839287693,0.9283418937472395,Aves
eat_all,3,Physeter catodon,8,21.911428137313628,2.782296102032127,0.8512604997440415,Mammalia
eat_all,3,Orcinus orca,28,26.447645348974234,2.2348526249531924,0.8870442214063929,Mammalia
eat_all,3,Erignathus barbatus,7,26.443119232334617,2.365187903739777,0.897117129445289,Mammalia
eat_all,3,Lagenorhynchus acutus,7,23.722895402774867,2.6336654785401725,0.9195142862495708,Mammalia
eat_all,3,Strix uralensis,5,22.733114253982748,3.0041163190077276,0.8806831388246577,Aves
eat_all,3,Strix varia,6,26.479972813286583,2.3328845983931044,0.9419294639266165,Aves
eat_all,3,Calidris alpina,5,26.39022560506273,2.369967125104948,0.9602573790386053,Aves
eat_all,3,Colaptes auratus,6,26.727955199491227,2.375680341486889,0.9293417232629493,Aves
eat_all,3,Dryobates pubescens,5,26.737560061211735,2.265915425652803,0.9633774165888053,Aves
eat_all,3,Canis latrans,6,26.41775793739743,2.419476265853716,0.9130079075691548,Mammalia
eat_all,3,Dendrocopos major,11,27.1445788160537,2.2829699752573753,0.9381350085328369,Aves
eat_all,3,Stenella coeruleoalba,5,23.636315357198104,2.618783028550091,0.906943913553103,Mammalia
eat_all,3,Stenella attenuata,6,24.70937188803297,2.540937309058967,0.8829187606432584,Mammalia
eat_all,3,Tyto alba,5,26.126788573592364,2.48276197477401,0.9486274884150826,Aves
eat_all,3,Megaptera novaeangliae,10,26.197547593726608,2.2763991709537295,0.9304614109333392,Mammalia
eat_all,3,Picus viridis,5,26.99833566165597,2.313432473538402,0.9380010930876339,Aves
eat_all,3,Athene noctua,7,27.349091474802947,2.268994304416381,0.9123633028488156,Aves
eat_all,3,Bubo virginianus,5,25.967437305144454,2.4964690055992302,0.9320572058784479,Aves
eat_all,3,Sciurus carolinensis,7,26.426627605399414,2.435158389742846,0.9293120860196705,Mammalia
eat_all,3,Pseudorca crassidens,8,24.450378392845074,2.507417722082356,0.8145238071866311,Mammalia
eat_all,3,Globicephala macrorhynchus,9,24.74600367231263,2.443576260780453,0.8960286103660934,Mammalia
eat_all,3,Globicephala melaena,8,24.36456493179112,2.5272033503124693,0.9100336582432665,Mammalia
eat_all,3,Sterna paradisaea,5,28.570060857866636,2.1150800905217415,0.9088106434888374,Aves
eat_all,3,Strix aluco,7,26.772962880849647,2.3912511731328303,0.9324947645626196,Aves
eat_all,3,Balaenoptera physalus,12,25.0855848595405,2.6938447985904443,0.6201389227272825,Mammalia
eat_all,4,Delphinus delphis,9,47.109678914250956,3.195245178865366,0.8653236199883433,Mammalia
eat_all,4,Eubalaena glacialis,7,48.30831816396967,3.0429733040176132,0.8415028734436562,Mammalia
eat_all,4,Aegolius funereus,5,48.36522093720274,3.1037403538690396,0.8918986478342913,Aves
eat_all,4,Physeter catodon,8,40.47534345735434,3.713794393673627,0.8119685645920449,Mammalia
eat_all,4,Orcinus orca,28,48.680703429835,2.956219213724982,0.8496705584907733,Mammalia
eat_all,4,Erignathus barbatus,7,48.2444360071991,3.1320467055618217,0.8564517592984591,Mammalia
eat_all,4,Lagenorhynchus acutus,7,43.53985801976369,3.444744623542612,0.9059629676610372,Mammalia
eat_all,4,Strix uralensis,5,41.774727547403955,3.866573649588906,0.8398919336335193,Aves
eat_all,4,Strix varia,6,49.082201485720546,2.9603666837115874,0.9217453688278134,Aves
eat_all,4,Calidris alpina,5,48.69833305147884,2.9806388725666118,0.9377711904701949,Aves
eat_all,4,Colaptes auratus,6,49.73072260397131,2.9813726679366743,0.9014597900651092,Aves
