model,layer_idx,n_species,between_var,mean_within_var,separability_ratio
eat_all,0,28,0.012458516774994714,0.33283001447186783,0.036081467084846414
eat_all,1,28,0.49363546223967436,24.248353403171844,0.01995132505009492
eat_all,2,28,0.8323378121645203,25.06367267418933,0.03214154599617175
eat_all,3,28,1.1680250563269452,25.7356993943003,0.043414994770349345
eat_all,4,28,2.4933861762345444,47.4397014732295,0.04993454828466345
eat_all,5,28,3.654189101986843,56.023960857296466,0.06123160829348648
eat_all,6,28,4.003563749902196,46.73318196999446,0.07890856406133474
eat_all,7,28,5.3245127564550625,63.724867173116216,0.07711166648977677
eat_all,8,28,3.9796318164333533,57.86993608691713,0.06434372868460583
eat_all,9,28,2.8623241672450175,39.66477301289916,0.06730589099745476
eat_all,10,28,1.8086438018000472,24.957634866390812,0.06757173173831514
eat_all,11,28,2.0679496379275024,32.258795623111396,0.06024310263619952
eat_all,12,28,0.8762311392556608,16.771526256458134,0.04965113241348309
eat_bio,0,28,0.015499672893953141,0.24135742100698268,0.060343565593211475
eat_bio,1,28,0.22668335148258523,5.086101050239134,0.04266752315585798
eat_bio,2,28,0.6961236415941071,22.052120134943266,0.03060120369872514
eat_bio,3,28,0.8089011351439092,21.14309987213028,0.036848628736661795
eat_bio,4,28,1.3728164813986008,25.553224560834103,0.0509847132463821
eat_bio,5,28,2.0446189813719826,33.97227340940795,0.05676833412466573
eat_bio,6,28,2.044287357261132,31.009508425430255,0.06184727983136994
eat_bio,7,28,2.6389894127664064,36.218009008781635,0.06791542115880196
eat_bio,8,28,2.049658756079083,29.96172225420609,0.06402906377017813
eat_bio,9,28,1.4579090462252364,21.691726208372113,0.06297762492545723
eat_bio,10,28,1.310953134728996,16.537021002485407,0.07345108888271439
eat_bio,11,28,1.1281481852954414,16.088701822595727,0.06552581829883519
eat_bio,12,28,0.6026023515633954,12.125090942652347,0.0473457631036103
sl_eat_all_ssl_all,0,28,0.052535155933208066,0.9853745586156882,0.05061630621309933
sl_eat_all_ssl_all,1,28,0.7828331195924365,27.145327983936987,0.028030242187820877
sl_eat_all_ssl_all,2,28,1.1421093982085577,32.56507435547673,0.033883263774110293
sl_eat_all_ssl_all,3,28,1.5183912419425323,31.238129596197023,0.046353861859913095
sl_eat_all_ssl_all,4,28,3.8533332842851205,60.62893997249234,0.05975802479761449
sl_eat_all_ssl_all,5,28,4.655989006487768,62.03580255140307,0.06981352423927815
sl_eat_all_ssl_all,6,28,4.67341838480702,54.62594371801312,0.07881060131310728
sl_eat_all_ssl_all,7,28,6.216665640162615,61.71372056219737,0.09151524064125738
sl_eat_all_ssl_all,8,28,5.3041472939051655,60.72261868517961,0.08033328931459818
sl_eat_all_ssl_all,9,28,3.4587567122775638,37.33976300201921,0.08477652465085511
sl_eat_all_ssl_all,10,28,1.8893904838397095,22.47815525136154,0.07753716785315097
sl_eat_all_ssl_all,11,28,1.061333571777681,9.915830298479277,0.09668559058804871
sl_eat_all_ssl_all,12,28,11.529371147425563,115.86872887337462,0.09049876839248844
sl_eat_bio_ssl_all,0,28,0.020708367374222252,0.3753496368700943,0.05228619836551916
sl_eat_bio_ssl_all,1,28,0.6941947057846356,24.454624196585403,0.027603471498185816
sl_eat_bio_ssl_all,2,28,1.044544476316442,29.497640636130768,0.03420005714950344
sl_eat_bio_ssl_all,3,28,1.3620894188333206,30.66359128124679,0.04253116215043856
sl_eat_bio_ssl_all,4,28,3.0569831199000923,56.75085967087514,0.05111341551967079
sl_eat_bio_ssl_all,5,28,4.359654684598795,63.311798286067486,0.06442383742652197
sl_eat_bio_ssl_all,6,28,5.743971272402841,53.587133914958635,0.09681214017948728
sl_eat_bio_ssl_all,7,28,9.98131477195078,73.06936512966654,0.12018342033773388
sl_eat_bio_ssl_all,8,28,9.577525322075871,65.02944014922163,0.12837307162372624
sl_eat_bio_ssl_all,9,28,9.370177814143942,44.29265024817795,0.17461207604007772
sl_eat_bio_ssl_all,10,28,5.632733731634998,26.27386571894373,0.17653820302472423
sl_eat_bio_ssl_all,11,28,4.971520502588807,24.615171430128914,0.168032320541081
sl_eat_bio_ssl_all,12,28,46.35530593419674,202.11875121311695,0.1865599429831571
random_init_eat_seed42,0,28,85.55179495613645,557.775984616469,0.13298321271463298
random_init_eat_seed42,1,28,104.89589509268198,537.1966612372833,0.1633656924668923
random_init_eat_seed42,2,28,119.75468312553865,518.5652704599614,0.18760918008729904
random_init_eat_seed42,3,28,136.83002799861893,507.58802521378595,0.21233115260586677
random_init_eat_seed42,4,28,153.02143747790893,485.0743106146733,0.23980952378279535
random_init_eat_seed42,5,28,171.76398668527148,464.3214427570462,0.2700328898208905
random_init_eat_seed42,6,28,182.97255836452172,449.63548788867695,0.2892352688971134
random_init_eat_seed42,7,28,195.1383893459484,438.3048029107686,0.3080598098319508
random_init_eat_seed42,8,28,203.9350615144804,419.4106066461412,0.32716207383979246
random_init_eat_seed42,9,28,216.73374924585863,403.7025795067975,0.34932472391097136
random_init_eat_seed42,10,28,223.6348129999444,393.6424473303665,0.36229232368008324
random_init_eat_seed42,11,28,234.64797539065066,377.216420615975,0.3834966978338602
random_init_eat_seed42,12,28,242.19997593778066,370.1446284618548,0.3955288806296281
