model,layer_idx,n_samples,eff_rank_pooled,pr_pooled,twonn_pooled,n_rows,eff_rank_frame,pr_frame,twonn_frame,mle_id_frame,eff_rank_ratio_frame_over_pooled,twonn_ratio_frame_over_pooled
eat_all,0,600,2.997962456225172,1.8581181617655365,8.651049049143083,30000,10.962142211736234,4.486992055599846,5.3092899968009855,8.216945799674374,3.656530851136478,0.6137163211815206
eat_all,1,600,15.555899668349454,7.317298299871154,10.236182518919165,30000,50.899266795406646,23.205135107924963,6.079289586505009,8.398841927993153,3.2720233403772827,0.5939020308859165
eat_all,2,600,25.078107249036425,10.86306635992647,9.979318990330343,30000,95.16887474091304,50.63874899243655,8.658927935981353,12.121658990558103,3.7948986259547044,0.8676872584563727
eat_all,3,600,34.09518447463177,13.992853413577532,9.547836743305956,30000,116.7488186962996,60.86001158406521,10.063188341017531,12.129950737000955,3.424202581545366,1.0539757446180562
eat_all,4,600,45.822470929278246,16.868125912745484,9.346876882511738,30000,165.2905387185469,78.5216292750077,0.9481477603305711,13.26857358319325,3.6071939239953688,0.10144006091538249
eat_all,5,600,61.70127355736868,21.701695753193317,9.418792990461796,30000,194.25614460660543,85.4956321901018,8.637747951276642,12.280735624934822,3.148332820488539,0.9170758886010022
eat_all,6,600,76.4386106625738,26.983249401154872,9.16591046889205,30000,237.85504886902865,102.01117059946694,7.524760068276249,11.761122274572616,3.1117133972908313,0.820950640289837
eat_all,7,600,87.08750624433915,29.406035918449145,8.830200725055882,30000,259.5483798150383,111.6078202862359,6.899569012727639,11.391028832239556,2.9803170512981523,0.7813603821201897
eat_all,8,600,65.5276156669544,20.89902803660079,8.175823824373193,30000,192.63951441756842,76.2370710556791,6.784610998098693,11.161383428436515,2.9398218210267735,0.8298382088264777
eat_all,9,600,69.88856364539738,22.954777019754804,8.051009482621177,30000,192.39513622220989,77.68452096095874,5.375641459466058,9.697311973090631,2.752884394625563,0.6676978174066072
eat_all,10,600,58.75801687175305,17.896736211962878,7.960372294308599,30000,184.61187742661207,75.04240853358948,5.153094384645824,9.45270686626995,3.1419010929104587,0.647343389746999
eat_all,11,600,40.55727870708803,9.64342374710432,7.891006976786683,30000,224.36246906482492,83.19507458952425,5.352218366165111,10.104967324520937,5.531990217716801,0.6782681072149555
eat_all,12,600,16.537823252792606,4.349322272352453,9.195634255744787,30000,62.61805369972722,10.899070524154086,6.796976331823962,13.132831460734831,3.7863540287355186,0.739152530732471
eat_bio,0,600,2.9240071191402577,1.6827379830179174,8.711137319469717,30000,26.01748886912973,10.173747977526862,5.28015095299898,7.9756324199647315,8.897888346037824,0.6061379541334568
eat_bio,1,600,9.11518226692472,4.598330651714269,9.51050647598144,30000,67.58537183793321,33.59967805225825,6.997943229249301,11.055912165756343,7.41459357134009,0.735811835775775
eat_bio,2,600,15.674392057358377,7.3377348502086415,8.710656829908638,30000,55.37184760372183,32.599766961682256,7.9457353933605335,7.715826544140226,3.5326312753372404,0.9121855617223154
eat_bio,3,600,18.961436791703505,8.563393447437225,8.940043163123585,30000,73.23022254708965,41.9187444027155,9.049533980717197,9.444299532211,3.862060842305538,1.0122472359020867
eat_bio,4,600,25.45333210338718,10.319972427786034,8.681579831006257,30000,118.22742601463777,60.0199425414501,9.418697464598182,11.534343213181401,4.644870287882849,1.0849059327841817
eat_bio,5,600,32.86106702100916,12.18386042251543,8.431292840513125,30000,133.52633942034106,63.17711945099808,9.325647215097149,11.526818821288208,4.063359821364695,1.1060755914308384
eat_bio,6,600,41.73254676602987,14.55504979995425,8.531867242930058,30000,190.92042960362573,79.58687158243241,7.787058261331987,12.182400888160728,4.5748569018326535,0.9127026991406532
