model,layer_idx,layer_name,n_rows,embedding_dim,effective_rank,participation_ratio,twonn_id,mle_id_k20,var_explained_top1,var_explained_top10
sl_eat_all_ssl_all,0,layer_00,30000,768,43.63819992640808,19.74473977650773,4.334892276384507,7.62412482707333,0.1612725170470113,0.5457806126707142
sl_eat_all_ssl_all,1,layer_01,30000,768,69.44970173222181,39.030699193805425,5.992128155831166,10.741457181911052,0.08359259144782792,0.413126362558827
sl_eat_all_ssl_all,2,layer_02,30000,768,83.59128333003346,47.669001560173136,7.511058832139231,12.021037054086362,0.06135096195242659,0.36465391430020255
sl_eat_all_ssl_all,3,layer_03,30000,768,106.73555161815561,60.60537367309028,8.669215027620767,13.235418876339034,0.04994064383330404,0.31068353300576496
sl_eat_all_ssl_all,4,layer_04,30000,768,134.45431102568728,68.2463926708488,1.6676137632387598,13.686030828080321,0.054545250180355,0.28802505944025075
sl_eat_all_ssl_all,5,layer_05,30000,768,166.77550129398284,76.5297554352435,8.713850357805017,13.516410808824267,0.05793107576361194,0.27072334739063425
sl_eat_all_ssl_all,6,layer_06,30000,768,187.728288239088,82.22531939861231,8.318708303990649,13.076875564241293,0.05508663358616115,0.2630606188550267
sl_eat_all_ssl_all,7,layer_07,30000,768,210.14042316287237,90.87100233400409,6.847967568992357,13.087447263013145,0.05173801913369385,0.2522038111789599
sl_eat_all_ssl_all,8,layer_08,30000,768,158.05226528913875,66.774609119273,5.149676413588321,10.582198417809156,0.05641316180753328,0.30684901911666757
sl_eat_all_ssl_all,9,layer_09,30000,768,185.06159038342395,80.18498995892965,3.15011828300118,8.75502228707483,0.043847403405465925,0.279471576083482
sl_eat_all_ssl_all,10,layer_10,30000,768,160.4684325067904,60.59067743083833,2.859769678560883,8.482777999094148,0.06784781446267582,0.32969108985280776
sl_eat_all_ssl_all,11,layer_11,30000,768,62.37036057259305,12.0075402365317,2.4991232130623744,8.751639564479929,0.2620214605210018,0.5451385560417368
sl_eat_all_ssl_all,12,layer_12,30000,768,11.170621191924326,2.590809697619994,2.393677014620089,9.139513124338228,0.6183124731530765,0.7551057844959413
