model,layer_idx,layer_name,n_rows,embedding_dim,effective_rank,participation_ratio,twonn_id,mle_id_k20,var_explained_top1,var_explained_top10
eat_all,0,layer_00,30000,768,10.962142211736234,4.486992055599846,5.3092899968009855,8.216945799674374,0.3531258533251804,0.8458182350061463
eat_all,1,layer_01,30000,768,50.899266795406646,23.205135107924963,6.079289586505009,8.398841927993153,0.11130831436223265,0.5566143188388785
eat_all,2,layer_02,30000,768,95.16887474091304,50.63874899243655,8.658927935981353,12.121658990558103,0.049573277691106296,0.3580246500290633
eat_all,3,layer_03,30000,768,116.7488186962996,60.86001158406521,10.063188341017531,12.129950737000955,0.04819794230696295,0.319830531750309
eat_all,4,layer_04,30000,768,165.2905387185469,78.5216292750077,0.9481477603305711,13.26857358319325,0.04609035235376486,0.27918819503752823
eat_all,5,layer_05,30000,768,194.25614460660543,85.4956321901018,8.637747951276642,12.280735624934822,0.04508773500657418,0.2703084883475819
eat_all,6,layer_06,30000,768,237.85504886902865,102.01117059946694,7.524760068276249,11.761122274572616,0.04295685328477916,0.24131621913228524
eat_all,7,layer_07,30000,768,259.5483798150383,111.6078202862359,6.899569012727639,11.391028832239556,0.0392481669142765,0.23180855004717604
eat_all,8,layer_08,30000,768,192.63951441756842,76.2370710556791,6.784610998098693,11.161383428436515,0.05169238266394981,0.28945689971331867
eat_all,9,layer_09,30000,768,192.39513622220989,77.68452096095874,5.375641459466058,9.697311973090631,0.04963550828957973,0.2884613325534808
eat_all,10,layer_10,30000,768,184.61187742661207,75.04240853358948,5.153094384645824,9.45270686626995,0.05391775229480093,0.29336766779704604
eat_all,11,layer_11,30000,768,224.36246906482492,83.19507458952425,5.352218366165111,10.104967324520937,0.05764940343608951,0.27342913712258776
eat_all,12,layer_12,30000,768,62.61805369972722,10.899070524154086,6.796976331823962,13.132831460734831,0.2699207470608952,0.5585132975809448
