model,layer_idx,layer_name,n_rows,embedding_dim,effective_rank,participation_ratio,twonn_id,mle_id_k20,var_explained_top1,var_explained_top10
eat_all,0,layer_00,30000,768,10.962142211736234,4.486992055599846,5.3092899968009855,8.216945799674374,0.3531258533251804,0.8458182350061463
eat_all,1,layer_01,30000,768,50.899266795406646,23.205135107924963,6.079289586505009,8.398841927993153,0.1113083143622326,0.5566143188388785
eat_all,2,layer_02,30000,768,95.16887474091304,50.63874899243655,8.658927935981353,12.121658990558103,0.0495732776911062,0.3580246500290633
eat_all,3,layer_03,30000,768,116.7488186962996,60.86001158406521,10.063188341017533,12.129950737000955,0.0481979423069629,0.319830531750309
eat_all,4,layer_04,30000,768,165.2905387185469,78.5216292750077,0.9481477603305712,13.26857358319325,0.0460903523537648,0.2791881950375282
eat_all,5,layer_05,30000,768,194.25614460660543,85.4956321901018,8.637747951276642,12.280735624934822,0.0450877350065741,0.2703084883475819
eat_all,6,layer_06,30000,768,237.85504886902865,102.01117059946694,7.524760068276249,11.761122274572616,0.0429568532847791,0.2413162191322852
eat_all,7,layer_07,30000,768,259.5483798150383,111.6078202862359,6.899569012727639,11.391028832239556,0.0392481669142765,0.231808550047176
eat_all,8,layer_08,30000,768,192.6395144175684,76.2370710556791,6.784610998098693,11.161383428436515,0.0516923826639498,0.2894568997133186
eat_all,9,layer_09,30000,768,192.39513622220989,77.68452096095874,5.375641459466058,9.697311973090631,0.0496355082895797,0.2884613325534808
eat_all,10,layer_10,30000,768,184.61187742661207,75.04240853358948,5.153094384645824,9.45270686626995,0.0539177522948009,0.293367667797046
eat_all,11,layer_11,30000,768,224.3624690648249,83.19507458952425,5.352218366165111,10.104967324520937,0.0576494034360895,0.2734291371225877
eat_all,12,layer_12,30000,768,62.61805369972722,10.899070524154086,6.796976331823962,13.132831460734833,0.2699207470608952,0.5585132975809448
eat_bio,0,layer_00,30000,768,26.01748886912973,10.173747977526862,5.28015095299898,7.9756324199647315,0.2097150155752331,0.6985829809623848
eat_bio,1,layer_01,30000,768,67.58537183793321,33.59967805225825,6.997943229249301,11.055912165756345,0.099040281678637,0.4429734658113952
eat_bio,2,layer_02,30000,768,55.37184760372183,32.599766961682256,7.945735393360533,7.715826544140226,0.0692533254965168,0.4705377258326666
eat_bio,3,layer_03,30000,768,73.23022254708965,41.9187444027155,9.049533980717197,9.444299532211,0.0544922414395344,0.404386568021501
eat_bio,4,layer_04,30000,768,118.22742601463776,60.0199425414501,9.418697464598182,11.5343432131814,0.0497073336072512,0.3240246363517233
eat_bio,5,layer_05,30000,768,133.52633942034106,63.17711945099808,9.325647215097147,11.526818821288208,0.0445080960473531,0.3274388662652251
eat_bio,6,layer_06,30000,768,190.9204296036257,79.58687158243241,7.787058261331987,12.182400888160728,0.0466838960784424,0.2832733944138782
eat_bio,7,layer_07,30000,768,199.52786417102763,79.63306048368345,6.8742073637827925,11.508530049487488,0.0466296062154963,0.2859040498773916
eat_bio,8,layer_08,30000,768,162.62024507039368,64.0439236425539,5.962593673965934,10.1804146487557,0.0565090259718576,0.3200854446769722
eat_bio,9,layer_09,30000,768,158.88546337582076,65.899103331525,5.645590710081065,9.276912021204271,0.0534998578553887,0.3156730058129295
eat_bio,10,layer_10,30000,768,165.57509354415276,65.51193061747517,5.527283738607655,9.200338038063148,0.0523824704123644,0.319603405029941
eat_bio,11,layer_11,30000,768,180.5087710684352,61.66717927497064,5.889186455712318,9.6544659216257,0.0606740366225613,0.3292045430195998
eat_bio,12,layer_12,30000,768,180.3673692499394,31.82242595534092,6.903900847557416,12.524252048431563,0.161915625733325,0.3184019753548872
sl_eat_all_ssl_all,0,layer_00,30000,768,43.63819992640808,19.74473977650773,4.334892276384507,7.62412482707333,0.1612725170470113,0.5457806126707142
sl_eat_all_ssl_all,1,layer_01,30000,768,69.44970173222181,39.03069919380543,5.992128155831166,10.741457181911052,0.0835925914478279,0.413126362558827
sl_eat_all_ssl_all,2,layer_02,30000,768,83.59128333003346,47.669001560173136,7.511058832139231,12.021037054086362,0.0613509619524265,0.3646539143002025
sl_eat_all_ssl_all,3,layer_03,30000,768,106.7355516181556,60.60537367309028,8.669215027620767,13.235418876339034,0.049940643833304,0.3106835330057649
sl_eat_all_ssl_all,4,layer_04,30000,768,134.45431102568728,68.2463926708488,1.6676137632387598,13.68603082808032,0.054545250180355,0.2880250594402507
sl_eat_all_ssl_all,5,layer_05,30000,768,166.77550129398284,76.5297554352435,8.713850357805017,13.516410808824268,0.0579310757636119,0.2707233473906342
sl_eat_all_ssl_all,6,layer_06,30000,768,187.728288239088,82.22531939861231,8.318708303990649,13.076875564241291,0.0550866335861611,0.2630606188550267
sl_eat_all_ssl_all,7,layer_07,30000,768,210.1404231628724,90.87100233400407,6.847967568992357,13.087447263013145,0.0517380191336938,0.2522038111789599
sl_eat_all_ssl_all,8,layer_08,30000,768,158.05226528913877,66.774609119273,5.149676413588321,10.582198417809156,0.0564131618075332,0.3068490191166675
sl_eat_all_ssl_all,9,layer_09,30000,768,185.06159038342395,80.18498995892965,3.15011828300118,8.75502228707483,0.0438474034054659,0.279471576083482
sl_eat_all_ssl_all,10,layer_10,30000,768,160.4684325067904,60.59067743083833,2.859769678560883,8.482777999094148,0.0678478144626758,0.3296910898528077
sl_eat_all_ssl_all,11,layer_11,30000,768,62.37036057259305,12.0075402365317,2.4991232130623744,8.751639564479929,0.2620214605210018,0.5451385560417368
sl_eat_all_ssl_all,12,layer_12,30000,768,11.170621191924326,2.590809697619994,2.393677014620089,9.139513124338228,0.6183124731530765,0.7551057844959413
sl_eat_bio_ssl_all,0,layer_00,30000,768,17.46525978515167,6.533456398395942,5.051570172801218,8.125440048423178,0.2892276124062278,0.7786640911987968
sl_eat_bio_ssl_all,1,layer_01,30000,768,61.89061258507913,29.947390255740935,6.067544447653579,9.439848767146946,0.0859788052058317,0.4913735944120984
sl_eat_bio_ssl_all,2,layer_02,30000,768,103.01875117641336,56.28206086941367,8.809750202182178,12.849960632320258,0.0555442940914662,0.3278970760399006
sl_eat_bio_ssl_all,3,layer_03,30000,768,134.5539461144895,72.22850958452118,10.159235492128522,13.500773265950874,0.0464960006859315,0.2805377953325624
