model,layer_idx,layer_name,mean_cos_principal_angles_frame,min_cos_principal_angles_frame,max_cos_principal_angles_frame,k,n_bio_frames,n_nonbio_frames
eat_all,0,layer_00,0.8987691355533146,0.159112527500803,0.9999521578225824,10,20000,10000
eat_all,1,layer_01,0.947146347314346,0.6532767533285668,0.9995284917854772,10,20000,10000
eat_all,2,layer_02,0.8400483898411991,0.1260662040118847,0.9972322137309524,10,20000,10000
eat_all,3,layer_03,0.8344884374151826,0.1831153563420063,0.9954566766424704,10,20000,10000
eat_all,4,layer_04,0.8002578819620725,0.2131697431105744,0.9923530329614488,10,20000,10000
eat_all,5,layer_05,0.8073074191997733,0.1737197410301184,0.994020664332846,10,20000,10000
eat_all,6,layer_06,0.784596077602103,0.2965315413704954,0.9813528800822308,10,20000,10000
eat_all,7,layer_07,0.7522526113143815,0.1604786244357274,0.973873693456302,10,20000,10000
eat_all,8,layer_08,0.8044561442604243,0.2026455365407784,0.9738952060786468,10,20000,10000
eat_all,9,layer_09,0.8104629576201161,0.2786166982886524,0.965845784850807,10,20000,10000
eat_all,10,layer_10,0.8106032760193985,0.1685865594035821,0.9665249572613772,10,20000,10000
eat_all,11,layer_11,0.8157485964603722,0.02796817970443,0.9616475574370758,10,20000,10000
eat_all,12,layer_12,0.8353165741759152,0.0101531509341836,0.9989719195592562,10,20000,10000
eat_bio,0,layer_00,0.8187144684760905,0.024899582186842,0.999750275933056,10,20000,10000
eat_bio,1,layer_01,0.8467961165839046,0.103732606298982,0.9954294933211016,10,20000,10000
eat_bio,2,layer_02,0.9224485924967472,0.6225790088155895,0.999001546296966,10,20000,10000
eat_bio,3,layer_03,0.921494436146784,0.7114077314099806,0.9972378584281876,10,20000,10000
eat_bio,4,layer_04,0.7635050778465093,0.026396915297947,0.9860176205345964,10,20000,10000
eat_bio,5,layer_05,0.869406301312033,0.3776802828603873,0.9961596458928884,10,20000,10000
eat_bio,6,layer_06,0.743732494714304,0.0793264196244497,0.9684956879231252,10,20000,10000
eat_bio,7,layer_07,0.7549494944404053,0.1466334062048536,0.9712184346256976,10,20000,10000
eat_bio,8,layer_08,0.7304454847055052,0.1223132714585816,0.9701628613870252,10,20000,10000
eat_bio,9,layer_09,0.8003524640941816,0.3214715138869684,0.9611016508219704,10,20000,10000
eat_bio,10,layer_10,0.8093773436242635,0.2380242646381768,0.9612003279513728,10,20000,10000
eat_bio,11,layer_11,0.8017312206668399,0.1851387343233352,0.9717603318275893,10,20000,10000
eat_bio,12,layer_12,0.7074242966667017,0.0123064540304279,0.9967952778536904,10,20000,10000
sl_eat_all_ssl_all,0,layer_00,0.7688002967549489,0.0560521120510306,0.9995547765192996,10,20000,10000
