model,layer_idx,layer_name,n_samples,embedding_dim,effective_rank,participation_ratio,twonn_id,var_explained_top1,var_explained_top10
random_init_eat_seed42,0,layer_00,600,768,1.3325662743212754,1.094217347368681,8.929175147693748,0.9557917149279879,0.994460387478548
random_init_eat_seed42,1,layer_01,600,768,1.6874918618706516,1.2547933656118866,7.863820554032397,0.8898900965752097,0.9928194313062378
random_init_eat_seed42,2,layer_02,600,768,1.871290269685597,1.3741754410249984,7.730539714040483,0.8452697566254013,0.9919313508123694
random_init_eat_seed42,3,layer_03,600,768,1.9794695008319996,1.4593402079981046,7.595262612890721,0.8148999447827697,0.9916670748805956
random_init_eat_seed42,4,layer_04,600,768,2.0441812067855,1.5033012643224821,7.515982026551508,0.8000579338943133,0.9911683189099925
random_init_eat_seed42,5,layer_05,600,768,2.073855344218423,1.5236198654065851,7.377220707393078,0.7933248852456499,0.9909997687728496
random_init_eat_seed42,6,layer_06,600,768,2.089413498787548,1.5353864798472756,7.270525008070729,0.789470208600442,0.9910725804092341
random_init_eat_seed42,7,layer_07,600,768,2.103821077672206,1.5409396314517703,7.186305678287093,0.7880250477802897,0.9910804733138057
random_init_eat_seed42,8,layer_08,600,768,2.105529277478083,1.5368927819187688,7.148877364758597,0.7897165706097053,0.9910858182664232
random_init_eat_seed42,9,layer_09,600,768,2.124055888144443,1.5415729750349236,7.0745238693302905,0.7886931396955131,0.9909058418428597
random_init_eat_seed42,10,layer_10,600,768,2.099424271630305,1.5146290728667764,6.9731374938886965,0.7982158859819194,0.9910755507795731
random_init_eat_seed42,11,layer_11,600,768,2.1190550962228056,1.5170836469269755,6.978620026037708,0.7980619809895536,0.9908495485004594
random_init_eat_seed42,12,layer_12,600,768,2.0907627378461275,1.4904091628754323,6.9287572450387565,0.8072046573725834,0.9909286782181533
