effective_rank,participation_ratio,mle_id_k20,bio_vs_nonbio_cos_top10,n_rows,model,layer_idx,frames_per_item,n_items
17.4232059317225,6.523734672228407,11.111545084054175,0.8777791451200783,6000,sl_eat_bio_ssl_all,0,10,600
17.432687156713317,6.533791127320047,8.663584227418283,0.8895846429996317,18000,sl_eat_bio_ssl_all,0,30,600
17.465259785151684,6.5334563983959475,8.300958908227779,0.8993564526313651,30000,sl_eat_bio_ssl_all,0,50,600
17.422871873012582,6.509146640034435,6.6600967008250125,0.8920285271769692,60000,sl_eat_bio_ssl_all,0,100,600
17.435645610474175,6.518854921127591,5.627199557369084,0.8886938616079014,120000,sl_eat_bio_ssl_all,0,200,600
61.29480096409686,29.73223810124629,11.325920315644876,0.892050420014048,6000,sl_eat_bio_ssl_all,1,10,600
61.6641951188212,29.8477659121827,9.381059318901565,0.8839639240056198,18000,sl_eat_bio_ssl_all,1,30,600
61.89061258507902,29.94739025574095,9.420789039388046,0.8845547158248757,30000,sl_eat_bio_ssl_all,1,50,600
61.86007511998371,29.896504615369924,7.098919027613027,0.8922183801759485,60000,sl_eat_bio_ssl_all,1,100,600
61.938187022586355,29.94446790380838,6.0085717884096,0.8862204438013498,120000,sl_eat_bio_ssl_all,1,200,600
101.63195486157379,55.66861751020147,16.050148908557297,0.8089987309614031,6000,sl_eat_bio_ssl_all,2,10,600
102.59212311084666,56.07602591722788,12.841130546367186,0.8218569274533948,18000,sl_eat_bio_ssl_all,2,30,600
103.01875117641336,56.28206086941368,12.98389433630063,0.8141742184510555,30000,sl_eat_bio_ssl_all,2,50,600
102.98116924682402,56.15256703433298,8.793980925236239,0.8229815985531694,60000,sl_eat_bio_ssl_all,2,100,600
103.1617535554855,56.25998320517055,7.180841059465321,0.8165551005795859,120000,sl_eat_bio_ssl_all,2,200,600
132.55963836464898,71.35946567542996,17.33816985161251,0.759162886335091,6000,sl_eat_bio_ssl_all,3,10,600
133.92706685622827,71.93931397904055,13.633378015867718,0.7826400784574157,18000,sl_eat_bio_ssl_all,3,30,600
