cos_class_aves_vs_mammalia,cos_order_passer_vs_other_aves,abs_cos_veitch_class_vs_passer_subord,species_separability_ratio,species_n_with_data,top1_share,top10_share,mean_l2_norm,model,layer_idx,bootstrap,seed
0.7218719262961918,0.8827982587990764,0.04478609259145796,0.07016735153122784,28,0.044704801218135,0.2743720071118665,8.257676051863065,eat_all,5,0,47
0.6951203476821137,0.9467239272133587,0.05234799508299131,0.07229304807757472,28,0.04406953443007457,0.2727536989760752,8.257022298787605,eat_all,5,1,1047
0.717994486242868,0.9215268336687605,0.03965361737457458,0.07499473808240126,28,0.04416237616917301,0.2760199624925285,8.260577257375637,eat_all,5,2,2047
0.722951685969311,0.9487291169516914,0.044352028345436445,0.07548335980816388,28,0.04417114814401037,0.2742851218907861,8.25779123850784,eat_all,5,3,3047
0.7432897562956313,0.9335278849610893,0.09948265774376665,0.07664332138310267,28,0.04440315234559949,0.2759654486407922,8.260519569076848,eat_all,5,4,4047
0.7257413165859534,0.9237617077408455,0.14682416947355614,0.07450920544469522,28,0.04366522108635414,0.276200451607593,8.254878083693821,eat_all,5,5,5047
0.7445614781199646,0.9195224700726865,0.048326584368486,0.07102667441098974,28,0.04292219822553262,0.27537106485218127,8.260725430300955,eat_all,5,6,6047
0.6996866828634085,0.9076916156905511,0.014854685470484926,0.06972487499689346,28,0.04396732322907844,0.2733474624877608,8.257665108563247,eat_all,5,7,7047
0.706247104121943,0.951831131032787,0.10518899255399118,0.07235974841141335,28,0.04472447568269095,0.27693848408669736,8.258646176553636,eat_all,5,8,8047
0.6948472720661539,0.8693695331781145,0.07281168893675437,0.075460903513279,28,0.044525967457685396,0.27394377706654516,8.25959793861655,eat_all,5,9,9047
0.7058137696125932,0.9064364958413819,0.061480741631255616,0.07274462707438605,28,0.04426572731921566,0.2743549915669863,8.258655692461994,eat_all,5,10,10047
0.7253373867810946,0.9372450648613591,0.07640271839096342,0.07076685457824636,28,0.04351463024079318,0.2730150067818287,8.257502913986805,eat_all,5,11,11047
0.7168719397168303,0.9370773525824753,0.1701548397882516,0.08604978421115667,28,0.043519082847754874,0.27269340982999474,8.261544350479806,eat_all,5,12,12047
0.7196261523128091,0.9118778547193793,0.11862450055935199,0.07709570692804188,28,0.04445907088919173,0.27351214618836195,8.258661891968698,eat_all,5,13,13047
0.7104911496005883,0.9526860783083324,0.10739834168020383,0.06836895888827713,28,0.04353548978808498,0.2752138704773003,8.256154181251702,eat_all,5,14,14047
0.7098850748508057,0.9538820658863644,0.07271020309029122,0.06811866329362183,28,0.043160342181191746,0.2746442416650899,8.25887223619574,eat_all,5,15,15047
0.7279254766427652,0.8867395360105361,0.0025889679527627994,0.07413058094003062,28,0.04375518648733279,0.2763791404583626,8.258709584996193,eat_all,5,16,16047
0.6870985504008206,0.893827348963226,0.030235579261042676,0.07211244609775799,28,0.04291909244042956,0.27387501644969636,8.257722956805754,eat_all,5,17,17047
0.7283890093036698,0.9288100471925513,0.2662240810575771,0.06874590951709654,28,0.04425772664797281,0.2741343491525759,8.259717043556016,eat_all,5,18,18047
0.6743653690228232,0.9588803817302051,0.08098716157442863,0.07572893694120388,28,0.043567747592471576,0.27344600093228494,8.259072218637089,eat_all,5,19,19047
0.710405502105966,0.9334120343428134,0.09100174458350388,0.07255248828378039,27,0.04408226664585467,0.2744438166018907,8.255683488431421,eat_all,5,20,20047
0.7210669659052297,0.9385111135660804,0.03858188286185069,0.07111462099812618,28,0.044395283347647634,0.2761437240836007,8.25844155823602,eat_all,5,21,21047
0.6946226139426381,0.9390502095754416,0.12558291078270384,0.0766407066481063,28,0.043018971216748046,0.27149525457210477,8.25515799696604,eat_all,5,22,22047
0.7291958890123166,0.9110602586968815,0.07908857890708773,0.07094261773421782,28,0.04449656773671151,0.27397505534378086,8.255594727209784,eat_all,5,23,23047
0.719727605545638,0.8913441771324934,0.11163346904475037,0.07858033848100122,28,0.044089582118416994,0.2738100248245186,8.257958800908268,eat_all,5,24,24047
0.6810308943268674,0.9513335676454103,0.00028519662892253367,0.07265116807025979,28,0.04311979246905323,0.2757986449994929,8.255289013392122,eat_all,5,25,25047
0.720747875801752,0.9556538741986571,0.18226615619177874,0.07630544784874493,27,0.04429575539321479,0.27561785111859294,8.257597333153909,eat_all,5,26,26047
0.6864586748470947,0.936709717509675,0.10981464776768034,0.07122464158877713,28,0.042845428734299536,0.2755248862924423,8.260618140635001,eat_all,5,27,27047
0.7427784515449616,0.9501448000905925,0.00033764074732132803,0.07453959777539657,28,0.04455178709783663,0.27391143879444,8.260736164528119,eat_all,5,28,28047
0.6974728054961934,0.8744178194690907,0.025173828132831626,0.07325179454008461,28,0.044032364139571456,0.27474047544812674,8.256302604900975,eat_all,5,29,29047
0.5860212294672806,0.8989687509116322,0.14726557977010482,0.09012174581396203,28,0.038557597837993916,0.2371187758047431,9.14553094213592,eat_all,7,0,49
0.5741795332001266,0.8999530470703322,0.015904770142539663,0.08890634684450474,28,0.038426143247777246,0.23702616119079126,9.145851478399477,eat_all,7,1,1049
0.5541833414674955,0.8843071727409273,0.05335329611585919,0.09206141437380819,28,0.03844550183492662,0.23266943498185347,9.148072652099032,eat_all,7,2,2049
0.5848706666273997,0.9118258883134764,0.12012896759127772,0.0899430399889784,28,0.038743622499947755,0.23542183417281898,9.146917288754842,eat_all,7,3,3049
0.5480748773553666,0.9026006704953395,0.09975815555041641,0.09898668456301661,28,0.038350667503393235,0.23646560921327178,9.148250634115193,eat_all,7,4,4049
0.5798719739311827,0.8970203706472759,0.02034606934094094,0.087994892213369,28,0.038947445579263024,0.2355250075181444,9.145871998518015,eat_all,7,5,5049
0.5969135477355041,0.896431492515878,0.0016233982905967262,0.08742517392791785,28,0.03857604359030526,0.23852650985527785,9.146574866124418,eat_all,7,6,6049
0.5640856573588541,0.8521758689033907,0.18617894820625916,0.09239732210916689,28,0.03850132424398292,0.23769084699991622,9.14244632223062,eat_all,7,7,7049
0.5634768635427204,0.8465527495798447,0.09009244074811062,0.09188027891156418,28,0.038041980698932255,0.2353171061886836,9.147877564475525,eat_all,7,8,8049
0.5569794690288452,0.8649234954847358,0.019823497687273067,0.0940019754546923,28,0.03897263674020364,0.2366959618567465,9.144727214842806,eat_all,7,9,9049
0.5772450364773049,0.869162662986127,0.10455139779874416,0.09279302129165955,28,0.03885698665960601,0.23521488387085693,9.147118991125966,eat_all,7,10,10049
0.5917450244951632,0.8566528891165983,0.053623002779895894,0.08650135598384735,28,0.03737694943925957,0.23145698366837328,9.153176409855115,eat_all,7,11,11049
0.5977557298295979,0.8401353756563189,0.09105291784664862,0.09817929838957494,28,0.037743025581210794,0.23517692637067641,9.14539233487899,eat_all,7,12,12049
0.582869803159052,0.8513264011974206,0.013221576694105406,0.09347577052825462,28,0.03918718294188387,0.23707224479908262,9.144744310444391,eat_all,7,13,13049
0.5681662767121441,0.8564655405105237,0.002919266335316475,0.09052279398400523,28,0.03777660246466927,0.23482924881145684,9.149419748733527,eat_all,7,14,14049
0.5738375730015611,0.8739989240409398,0.034092748635891304,0.09896861909242252,28,0.03887398562905937,0.23714145342136628,9.147251062952316,eat_all,7,15,15049
0.5829184848750636,0.8864643140268134,0.0641954290653554,0.08682266225248626,28,0.03816147129727591,0.23625224315393267,9.148228296833498,eat_all,7,16,16049
0.566438750340644,0.8743310672492045,0.12708493868289839,0.0877370697297515,27,0.038682366107529245,0.23619491721096972,9.146480089123008,eat_all,7,17,17049
0.5569052680372021,0.8519019466475684,0.04254440518940931,0.09208161186980135,28,0.03873579140435393,0.23386338724629346,9.146122480121418,eat_all,7,18,18049
0.5526400142139166,0.9116657224498687,0.1716284410135245,0.09196457173638438,28,0.03837612761137593,0.23514766862574127,9.146725604755494,eat_all,7,19,19049
0.536664630690014,0.8985742701726549,0.07731057080019431,0.09457951740478177,28,0.03820679676045805,0.23403453876975153,9.150536505563712,eat_all,7,20,20049
0.5872611290308661,0.8923055848522754,0.04534617746083767,0.09175426513304265,28,0.037833420236415685,0.2350431771854855,9.148567980280628,eat_all,7,21,21049
0.6017220759129571,0.9126942004481107,0.0377062383548294,0.08997912541819784,28,0.038832750268168896,0.23384426202762806,9.148326214396036,eat_all,7,22,22049
0.5631102184684382,0.8838148903754988,0.030928456475396042,0.09638735427171416,28,0.038498575689539904,0.23604392405366392,9.148004953486375,eat_all,7,23,23049
0.5694910831588473,0.9139633157266589,0.07037732149172095,0.09511335814715635,28,0.03847303312262117,0.23739509114075444,9.146620428098062,eat_all,7,24,24049
0.5826763549329355,0.8465419307730345,0.02282859323684212,0.08458705647411525,28,0.03838889586036169,0.2374269924658473,9.14743665632972,eat_all,7,25,25049
0.5416537109237952,0.874275475280348,0.1679065923231425,0.09186997672015444,28,0.03758898865085942,0.23293174198558095,9.149707598921813,eat_all,7,26,26049
0.5624699321623686,0.8571447201587914,0.06839454490395576,0.09846417479768348,28,0.038950801592711276,0.23477795398261248,9.148434775639291,eat_all,7,27,27049
0.5877849009639482,0.8430446660671421,0.018134597286398987,0.08799635644095513,28,0.03846640602126123,0.23752930038300904,9.145102680807538,eat_all,7,28,28049
0.5855490093679773,0.8887645230980572,0.012729635934292242,0.09692203045248676,28,0.03788719305661207,0.2339720295729743,9.1464859400376,eat_all,7,29,29049
0.6135971505445303,0.9246870192804467,0.04809011848817514,0.08090494988315478,28,0.04845794941383953,0.28815943604945954,7.294308572352689,eat_all,9,0,51
0.6309674602064663,0.9136784383733364,0.1247928562210381,0.07868354646664284,28,0.049393334771605166,0.2887104864679625,7.292466030748557,eat_all,9,1,1051
0.6597492579254073,0.9020265891477589,0.1203348696100163,0.07621747598052626,28,0.04859133583837407,0.28834678832557575,7.295080307064441,eat_all,9,2,2051
0.6602822172399121,0.9285603814952733,0.05673663200885839,0.08855806931051599,28,0.0487378186810907,0.28816584819340313,7.294548230812079,eat_all,9,3,3051
0.658027365332057,0.9130876882593999,0.10234592737766035,0.08196774365142964,28,0.047869118112521584,0.2879093950485748,7.2968135275939465,eat_all,9,4,4051
0.5937440682929871,0.9253855513542459,0.001327990105280815,0.08004228018076677,28,0.04859384713530608,0.2881646641033503,7.293762683381076,eat_all,9,5,5051
0.5992664218700877,0.9320861530202524,0.014106447096676078,0.08358638563457618,28,0.048854063090213416,0.28803000854738553,7.295411901512157,eat_all,9,6,6051
0.6236016716811861,0.8692039227702069,0.11178080003274124,0.07578162770995231,28,0.0484605400872793,0.287495239928985,7.294836885210749,eat_all,9,7,7051
0.6224669993436075,0.895355038150543,0.01766981519071818,0.08652393760646304,28,0.04839919859424893,0.28969871788197077,7.29721420708985,eat_all,9,8,8051
0.5985603485060952,0.8645433430403022,0.07706677045582658,0.07823999561900558,28,0.04854451147777024,0.2865366951671624,7.29720031525017,eat_all,9,9,9051
0.6051567192349261,0.9285511043593925,0.08526341475024661,0.08212835974124719,28,0.04891318028657987,0.2900788504795112,7.289635695701663,eat_all,9,10,10051
0.5720984222411204,0.9190649327596653,0.10497202682839442,0.07648813033786979,28,0.04796196122635498,0.2889747192467708,7.295908148304753,eat_all,9,11,11051
0.6457605789515627,0.8701816949840427,0.19924073568839176,0.07904269277482388,28,0.047915749838750556,0.28845743770017485,7.295613351811142,eat_all,9,12,12051
0.638794202519122,0.8966396421231803,0.03231039076084813,0.08462947603780137,28,0.04788730524740981,0.2875997485008049,7.297808506892773,eat_all,9,13,13051
0.6738708123931267,0.9099382313844371,0.05645133189131176,0.07703749996398823,28,0.04753553784210432,0.2868054824043247,7.296004986790528,eat_all,9,14,14051
0.6328342515306096,0.9000022506499159,0.15611858134864184,0.08204215024473259,28,0.048630434582727866,0.2882446375079437,7.292950721223974,eat_all,9,15,15051
0.656896565958283,0.9184839340243357,0.07271038393273169,0.08574158434011106,28,0.0481173808708062,0.28969321936602405,7.2930052480927845,eat_all,9,16,16051
0.6690487201502848,0.8828307343386352,0.07509488173851041,0.07496350553194168,28,0.048816374401410303,0.2889339179095816,7.290636633505824,eat_all,9,17,17051
0.6743883956447594,0.9096115240174456,0.04740431641441753,0.0816042282292712,28,0.04804286249900498,0.28812828767354776,7.2938567415602185,eat_all,9,18,18051
0.6515788023991397,0.9310894604509266,0.01560232909155885,0.0844132316101525,28,0.047788553402339506,0.28701942281504833,7.296188258415023,eat_all,9,19,19051
0.6108757354101014,0.8808728473914534,0.07862582599436212,0.08129578049208448,28,0.04831094507039118,0.2877594981461479,7.294149612203424,eat_all,9,20,20051
0.6182502923024995,0.9362084738018716,0.07388557411956567,0.0850288668125279,28,0.04912226646716478,0.2880711110225711,7.295073443935334,eat_all,9,21,21051
0.6319308582564572,0.9288300544792193,0.06931169338416811,0.08051629284007145,28,0.04805152860956302,0.2863291192265163,7.297656543700004,eat_all,9,22,22051
0.6005019656551285,0.8325432517563256,0.0837481150469033,0.08435042241052222,28,0.048737617074953145,0.2904512904679966,7.289872979366164,eat_all,9,23,23051
0.5943598354854454,0.908680091054767,0.12052156098637226,0.07560291949911746,28,0.04922552470063346,0.2907012217560087,7.293389947735666,eat_all,9,24,24051
0.6441803177078229,0.9030042120047561,0.07408181282824645,0.08349563185525473,28,0.047801438489116395,0.28805258921169924,7.296980464293051,eat_all,9,25,25051
0.59312059034719,0.8882274774389287,0.19965619326294962,0.07692270065162465,28,0.04909121684032681,0.2907272082710342,7.291363687795731,eat_all,9,26,26051
0.6228879030445204,0.9109758518345407,0.13094039829268378,0.07978903474820832,28,0.049528756972248046,0.2902579526802711,7.292054700766824,eat_all,9,27,27051
0.6754479544066215,0.9180029777186076,0.05169202200017551,0.0805749771006014,28,0.04846960803022545,0.2875224536719577,7.294550967195064,eat_all,9,28,28051
0.6531823652607507,0.9134490971036355,0.1321065949487262,0.08728854062316632,28,0.04947346652559168,0.2900760740780834,7.291190324364164,eat_all,9,29,29051
0.6223665083982587,0.9130977282457444,0.01928474671069674,0.08478654170132971,28,0.053388492973453855,0.2952987026053196,5.723073500094466,eat_all,10,0,52
0.6820238853886866,0.9141409918982009,0.11819703681418116,0.08419058963444112,28,0.053477281371428195,0.2950182147692109,5.723295121197369,eat_all,10,1,1052
0.6760348240456897,0.9232193725558817,0.1351802814734399,0.07689792277174468,28,0.05268387086331242,0.292492719864583,5.724821326013925,eat_all,10,2,2052
0.6460842707565857,0.9065334501740463,0.11258984498420446,0.07853410447876824,28,0.05292325757817131,0.2945130846296049,5.723583462857678,eat_all,10,3,3052
0.6175259379456965,0.9121201529531471,0.0005422513461658155,0.07931264281967443,28,0.05383074958272953,0.2967655399716011,5.723995723908685,eat_all,10,4,4052
0.6701381472915168,0.925381327242493,0.18191853112041462,0.07745208001639343,28,0.05386205190731123,0.29564951486265945,5.7228781964868904,eat_all,10,5,5052
0.6897769782255379,0.9236442859057531,0.04146454724625661,0.08097146967144564,28,0.053259170082213945,0.29527139832543975,5.724213064829394,eat_all,10,6,6052
0.6169400821189978,0.919807028478394,0.10005911044879785,0.07831334438796868,27,0.053155258211232334,0.29549654691271204,5.7236564359633455,eat_all,10,7,7052
0.6791661102008559,0.9082858990997401,0.0699761556774798,0.07559657284825723,28,0.0526926859182052,0.29662945156303877,5.7254572989359644,eat_all,10,8,8052
0.6273165488047804,0.907139095470612,0.06519281753094153,0.08644742643068669,28,0.053394824708932045,0.2964512096450651,5.725766679173301,eat_all,10,9,9052
0.6280933399971669,0.9103004970397096,0.021160257789337344,0.08464974262028688,27,0.05360271204892664,0.29620540418790403,5.72314309439976,eat_all,10,10,10052
0.6115387575009169,0.9180504981037247,0.04120878931919053,0.08059127450437073,28,0.053353200903549135,0.29662246336480785,5.724696420375395,eat_all,10,11,11052
0.64690818804186,0.9007585908156388,0.26612854474218484,0.07736085749559,28,0.05400213626622629,0.2968118924755871,5.725501698711836,eat_all,10,12,12052
0.6134227767061827,0.9044838380634485,0.051790207121571105,0.07838983900826466,28,0.05376573936809622,0.29703178861632723,5.721853278543739,eat_all,10,13,13052
0.6661415116789938,0.9095790495982937,0.1684280856172624,0.07229522329077243,28,0.052505561421676596,0.2955908888740156,5.72451747330658,eat_all,10,14,14052
0.6500214479540939,0.9396745896384392,0.17510556954157086,0.07462633554626082,28,0.05343197842583681,0.29724399969747206,5.722795912713792,eat_all,10,15,15052
0.6243859242058913,0.9232241304198496,0.0708589661517323,0.08063728534808402,28,0.053389647445549686,0.2962769934071305,5.723173306220799,eat_all,10,16,16052
0.6672395969732764,0.8914295081678105,0.11598321382081961,0.07982955506487834,28,0.052874440339864,0.2955628302159962,5.723273556874247,eat_all,10,17,17052
0.6917149317731077,0.9007357320409044,0.09454119722007155,0.08073573456955026,28,0.05347184841031686,0.29371647354378416,5.7224107125199515,eat_all,10,18,18052
0.6563042266560783,0.9248217518607538,0.15737212055156166,0.08567331051692716,28,0.053286792297509065,0.2949077411949836,5.724234292395468,eat_all,10,19,19052
0.611796260384709,0.8970298015440807,0.17196422865369493,0.08267993091647251,28,0.05257018046972162,0.2956194403752811,5.72398172853761,eat_all,10,20,20052
0.6151342379116131,0.9213173389280083,0.018082682924745772,0.08448373195088543,28,0.05327776353258964,0.2961791023166953,5.723071094574133,eat_all,10,21,21052
0.6025460291637164,0.904756923568331,0.05620045088834525,0.08447587819293036,28,0.05314541513355688,0.2977449219691963,5.725572393502031,eat_all,10,22,22052
0.624036721262291,0.9249291385891445,0.017552210010858035,0.08332519323821268,28,0.05333825975944061,0.2950901429585645,5.7249979308338235,eat_all,10,23,23052
0.6186591420602925,0.9440643665211,0.017648076624549914,0.08237515736605852,28,0.05270538692921582,0.2932241135554362,5.725293403953408,eat_all,10,24,24052
0.6345906637868192,0.9295607543373869,0.04512172080382417,0.08375412358971927,28,0.05336206604354603,0.2946866596482731,5.725673144909898,eat_all,10,25,25052
0.6401443677002245,0.9152051651744285,0.03274430172970568,0.07659491211672222,28,0.05221651837058116,0.29202213562989665,5.725363010977575,eat_all,10,26,26052
0.6179504015772065,0.9311194085411992,0.09060413709517083,0.07419518283034669,28,0.05333360829425048,0.29480391889132457,5.7244209798054015,eat_all,10,27,27052
0.6131434345783097,0.9022266519860063,0.10482844344549182,0.07410948737651832,28,0.053296482878748545,0.29358801721043404,5.725306895504283,eat_all,10,28,28052
0.6132072742637299,0.9361738641115336,0.12207065178158652,0.07859646958546944,28,0.05267707401468268,0.2932065842732055,5.725542488765767,eat_all,10,29,29052
0.6610004397625995,0.8818581846367237,0.03727845176890516,0.06531537786602189,28,0.057112246677550646,0.27341727079708794,6.462531247130563,eat_all,11,0,53
0.66070365383,0.8653181287238769,0.053810199963871555,0.06885886013682108,28,0.05624386422386873,0.2719664454909586,6.462278960349242,eat_all,11,1,1053
0.6453819190334675,0.9122690528257426,0.32031732871151186,0.07503767151721537,28,0.057186623301374986,0.2784868365441421,6.461870882882715,eat_all,11,2,2053
0.6794044026311606,0.9196290132571502,0.272743332197136,0.0791874666237755,28,0.05699333989129562,0.27516888424004154,6.462469961693595,eat_all,11,3,3053
0.6711710354177179,0.9198037145887488,0.1337151386596254,0.06531509528483702,28,0.05649162725712229,0.2734783720003664,6.461998149149339,eat_all,11,4,4053
0.6819714958562589,0.9278107750389124,0.26993067038588164,0.06866712805570438,27,0.056585002371084034,0.27539687936499874,6.45999434553519,eat_all,11,5,5053
0.669477505809372,0.8785749128073123,0.2440089566144788,0.07227394797604676,28,0.057145087799195866,0.27665858915036196,6.463094752744006,eat_all,11,6,6053
0.6376083155502308,0.9000381597311801,0.06228664612627231,0.07386832261055334,28,0.057788430321244325,0.2752490499077263,6.4610718213341665,eat_all,11,7,7053
0.636439146840537,0.8646340674767036,0.2935673226324209,0.07308265970622102,27,0.05740126009826091,0.27747551641362683,6.462504726079802,eat_all,11,8,8053
0.6413807868884709,0.8543583347929363,0.1535849366696301,0.06481277961066267,28,0.0571234993217369,0.2736511281605352,6.460486484808111,eat_all,11,9,9053
0.6741642968535987,0.9201818788205817,0.309794730249208,0.07666619731483278,28,0.05705476600081326,0.2751572713486087,6.4616970141557415,eat_all,11,10,10053
