model,layer_idx,metric,n_bootstraps,p05,p50,p95,mean,std
eat_all,5,cos_class_aves_vs_mammalia,30,0.6834733955609696,0.7174332129798491,0.74305966915783,0.7127207737672332,0.017964453275270256
eat_all,5,cos_order_passer_vs_other_aves,30,0.8781890171675842,0.9334699596519513,0.9548565604581254,0.9251527425877303,0.025687830518904414
eat_all,5,abs_cos_veitch_class_vs_passer_subord,30,0.0013507379897699904,0.0746072036638589,0.1768160638101915,0.08064005675253533,0.05818580470958635
eat_all,5,species_separability_ratio,30,0.06853858667124586,0.07269789757232292,0.07791225428216951,0.07347763720326851,0.0035706568077099976
eat_all,5,top1_share,30,0.04292049004372594,0.04407590053796462,0.04463594486400073,0.04390660311073759,0.0005646766544497212
eat_all,5,top10_share,30,0.272720539945731,0.2743634993394264,0.2762987304755163,0.2745308941598099,0.0012624579608010505
eat_all,5,mean_l2_norm,30,8.255216954357776,8.258200179572144,8.260731334125895,8.25816973506802,0.00182730038647644
eat_all,7,cos_class_aves_vs_mammalia,30,0.5445432358180023,0.5740085531008439,0.5973767478872557,0.5725854055489524,0.016601739213016577
eat_all,7,cos_order_passer_vs_other_aves,30,0.8446184351847937,0.8790729788123517,0.9123034599875253,0.8779329309165597,0.023261047292085824
eat_all,7,abs_cos_veitch_class_vs_passer_subord,30,0.007333932654855572,0.05348814944787754,0.1699536091028526,0.06703506585842592,0.05233699580402675
eat_all,7,species_separability_ratio,30,0.08664594380473487,0.09192242532397428,0.09874161915978995,0.09201396214398186,0.003877266523291931
eat_all,7,top1_share,30,0.037658305269517536,0.0384697195719412,0.038962810923832074,0.03841534380573197,0.0004433717000594307
eat_all,7,top10_share,30,0.23278747313353085,0.23547342084548167,0.237618151022308,0.23559354055094348,0.0016465043442561954
eat_all,7,mean_l2_norm,30,9.14473490786352,9.147018139940403,9.150163497574857,9.147200134136012,0.001990160014365487
eat_all,9,cos_class_aves_vs_mammalia,30,0.5934011554227987,0.6314491592314617,0.6741554831815247,0.6308476083280603,0.028258420747925138
eat_all,9,cos_order_passer_vs_other_aves,30,0.8666406039187593,0.9104570416094888,0.9316376413640558,0.9051933989522615,0.023565299387580292
eat_all,9,abs_cos_veitch_class_vs_passer_subord,30,0.014779593994373326,0.07608082609716849,0.17983576623550418,0.08446634699653992,0.04884716474262176
eat_all,9,species_separability_ratio,30,0.07568333819399314,0.08110036518761962,0.08694446926564985,0.08111540126293838,0.0036796277598378536
eat_all,9,top1_share,30,0.047794351691389104,0.04850705975399784,0.04943740723629775,0.04851078087266504,0.0005336739017978968
eat_all,9,top10_share,30,0.28665764942388544,0.28816525614837674,0.2905887526764033,0.2885033840616616,0.0012038293609581338
eat_all,9,mean_l2_norm,30,7.290216623729011,7.294549599003571,7.297457492225434,7.2943177874889935,0.002265081234637716
eat_all,10,cos_class_aves_vs_mammalia,30,0.6116546337986234,0.6277049444009737,0.6862880864489548,0.6391450842451027,0.02671170490546652
eat_all,10,cos_order_passer_vs_other_aves,30,0.8986974702676513,0.9146730785363146,0.9380992631513316,0.9160936977024602,0.01268740705530215
eat_all,10,abs_cos_veitch_class_vs_passer_subord,30,0.01759534998701938,0.08073155162345157,0.1788526984099349,0.08945997263952844,0.06242767496330218
eat_all,10,species_separability_ratio,30,0.07414805033074108,0.08021041478462454,0.0852742645499083,0.0800627306629677,0.003815922571087087
eat_all,10,top1_share,30,0.052534639993296856,0.053315045586499514,0.053847965861249465,0.05320914851836249,0.0004266932719273498
eat_all,10,top10_share,30,0.2928139588484631,0.29552968856435413,0.2971485047109569,0.295324063185185,0.0014053751914459075
eat_all,10,mean_l2_norm,30,5.722584052607179,5.7242236786124305,5.725627806776358,5.724185454229551,0.001100857955368311
eat_all,11,cos_class_aves_vs_mammalia,30,0.6370444855192267,0.6619329645785921,0.6946967992104933,0.663910366364363,0.017458784320672775
eat_all,11,cos_order_passer_vs_other_aves,30,0.8548086393188594,0.8920784463824915,0.9200117049162568,0.8900745826207693,0.022823802526476387
eat_all,11,abs_cos_veitch_class_vs_passer_subord,30,0.033577859490774783,0.1370920165185124,0.3155821594034751,0.16332011162394508,0.10063319998486873
eat_all,11,species_separability_ratio,30,0.06531522244637021,0.0719485232328276,0.07675635688176817,0.07125811504854242,0.0038299802412190683
eat_all,11,top1_share,30,0.056312312867596116,0.057134293560466384,0.0577867407520436,0.05709867872839971,0.0005203015719808631
eat_all,11,top10_share,30,0.27303157876786616,0.2753229646363625,0.2785472319717313,0.27548443957085683,0.0018360321103590795
eat_all,11,mean_l2_norm,30,6.459646778833973,6.461783948519228,6.4630413092689345,6.461639193701829,0.0010718994553590403
eat_all,12,cos_class_aves_vs_mammalia,30,0.7735897457719674,0.8023149073563361,0.8192666796168928,0.7993621461968329,0.015260942653674983
eat_all,12,cos_order_passer_vs_other_aves,30,0.8488947139641942,0.8945226432699916,0.9267598563802725,0.8884270222573427,0.02470369467920053
eat_all,12,abs_cos_veitch_class_vs_passer_subord,30,0.0318932399817497,0.2421241162880095,0.609629607029568,0.2710909357049153,0.1871724084443549
eat_all,12,species_separability_ratio,30,0.04923222242385674,0.05402717046751199,0.06034436701467216,0.05450963119121833,0.0036771894521227914
eat_all,12,top1_share,30,0.2726073416741384,0.27639049726487586,0.27902748261676896,0.2756988251153204,0.002172066335197917
eat_all,12,top10_share,30,0.5603528614361967,0.5621218924942245,0.5659958943504627,0.5627134824901723,0.001911132154232782
eat_all,12,mean_l2_norm,30,6.37831266412804,6.402197855559101,6.423934946094439,6.401416308513425,0.016123835846452064
eat_bio,5,cos_class_aves_vs_mammalia,30,0.7239532499083257,0.7416136825808276,0.7617733343217262,0.7422306386768306,0.012269288083229595
eat_bio,5,cos_order_passer_vs_other_aves,30,0.8850908192896122,0.9436450353968108,0.9690676526336979,0.9379126845489958,0.02826299275610747
eat_bio,5,abs_cos_veitch_class_vs_passer_subord,30,0.015237595029253143,0.09739195199886361,0.1711737231811255,0.09510264355208128,0.06341109180094226
eat_bio,5,species_separability_ratio,30,0.06358909186843405,0.06733977143089218,0.07450917452199245,0.0683069397820745,0.0036077612063074357
eat_bio,5,top1_share,30,0.04472893617232058,0.045528631984473905,0.04622877789032525,0.04552407017134565,0.0004722784660375735
eat_bio,5,top10_share,30,0.3300636346013558,0.3318457292248954,0.3353894617123689,0.3321120321836934,0.0015561641766436763
eat_bio,5,mean_l2_norm,30,6.453908509584614,6.4566606948895835,6.458270167271507,6.456227388200816,0.0014651150262876295
eat_bio,7,cos_class_aves_vs_mammalia,30,0.6144476879884895,0.6441664184550423,0.6787310229090217,0.6446523564702413,0.0210155510367932
eat_bio,7,cos_order_passer_vs_other_aves,30,0.8720589489576153,0.9080235438093415,0.9388896984539483,0.9100392431614224,0.021145923649401804
eat_bio,7,abs_cos_veitch_class_vs_passer_subord,30,0.015835585561381264,0.07165463614002371,0.21358640445035745,0.09346886406316224,0.0710652681743814
eat_bio,7,species_separability_ratio,30,0.07524825177604974,0.08131478955749138,0.08742743403801073,0.08101905021176861,0.004394768775757931
