model,layer_idx,n_species,between_var,mean_within_var,separability_ratio
eat_all,0,12,0.012498234551865592,0.3377865047668376,0.03568021426265594
eat_all,1,12,0.6086231128533943,24.33004071362269,0.02440480039701351
eat_all,2,12,0.9752231527175269,25.29206896602871,0.03712690095000315
eat_all,3,12,1.2951878625869384,25.784335779720394,0.047829048977928515
eat_all,4,12,2.7310530036648006,47.62490976043133,0.05423494763587344
eat_all,5,12,3.7891999758766457,56.103770762351246,0.06326618848876116
eat_all,6,12,4.188424467772616,46.75756608241888,0.08221303428473214
eat_all,7,12,5.627173639968337,63.87203790479007,0.0809674457435288
eat_all,8,12,4.269255893728613,57.98351851728214,0.06857936749198817
eat_all,9,12,3.1812936897588515,39.512000219424955,0.07451506778853727
eat_all,10,12,1.9036494856939619,24.77505213830501,0.0713546525810481
eat_all,11,12,2.307580782056648,31.978971795311747,0.06730279391167926
eat_all,12,12,0.9358616315081051,16.539318090212838,0.053553762903211434
eat_bio,0,12,0.015304227697327954,0.25019241209397963,0.057643771722685935
eat_bio,1,12,0.31489192866607413,5.107324374189449,0.05807439450546878
eat_bio,2,12,0.7654907925618164,21.974239617249108,0.033663142823870784
eat_bio,3,12,0.9000585960838275,21.014769475645846,0.04107075780552759
eat_bio,4,12,1.6187880484304884,25.466040660032846,0.05976733564959182
eat_bio,5,12,2.1778373567083786,33.93806917681488,0.060301334390895626
eat_bio,6,12,2.130942123222645,30.95450744858743,0.06440722888161132
eat_bio,7,12,2.9060056551358002,36.01899945577281,0.07465652597490159
eat_bio,8,12,2.2690109852681224,29.711139699575185,0.07095060331730794
eat_bio,9,12,1.664621601198724,21.506116562141802,0.07184154382411198
eat_bio,10,12,1.4576329639543977,16.30827825254021,0.08204661985482563
eat_bio,11,12,1.2477404029377073,15.798340298500973,0.07319808141189461
eat_bio,12,12,0.6861626075683946,12.29896436004568,0.05284219471089387
sl_eat_all_ssl_all,0,12,0.048663281074655944,1.0501053756953382,0.04428892358257209
sl_eat_all_ssl_all,1,12,1.035072633945793,27.590058475856363,0.036159577050507034
sl_eat_all_ssl_all,2,12,1.544772663583517,32.56419423231913,0.04528934189938887
sl_eat_all_ssl_all,3,12,1.895382161100895,30.957015642021545,0.057693875876563605
sl_eat_all_ssl_all,4,12,4.78309213624121,59.8199429412581,0.07403819542693663
sl_eat_all_ssl_all,5,12,5.413282059700527,61.220682362515596,0.0812390813999899
sl_eat_all_ssl_all,6,12,5.256401212753627,53.779541496464496,0.08903730458991689
sl_eat_all_ssl_all,7,12,6.8756283826092846,60.6069974784802,0.1018873864920789
sl_eat_all_ssl_all,8,12,5.751065699825523,59.62414115342755,0.08797013388783277
sl_eat_all_ssl_all,9,12,3.771567103285856,36.840193921625094,0.09286883917622563
sl_eat_all_ssl_all,10,12,2.045619642807697,22.11982576467608,0.08465060785406034
sl_eat_all_ssl_all,11,12,1.0403151114225138,9.606889706976686,0.09770781431993028
sl_eat_all_ssl_all,12,12,12.073968586159614,112.49224105040814,0.09692812056645476
sl_eat_bio_ssl_all,0,12,0.020465016216415468,0.38663097339017355,0.05027073893835766
sl_eat_bio_ssl_all,1,12,0.8893960737700771,24.542051639601397,0.03497229429461112
sl_eat_bio_ssl_all,2,12,1.2392125401257912,29.581460741807252,0.04020718589727151
sl_eat_bio_ssl_all,3,12,1.5696303630662516,30.558639897659518,0.04885511576964508
sl_eat_bio_ssl_all,4,12,3.4926411970756384,56.45765270197689,0.058258950372398075
sl_eat_bio_ssl_all,5,12,4.627643719484411,63.12483306412522,0.06830220737559577
sl_eat_bio_ssl_all,6,12,5.960079606571102,53.233180636362654,0.1006884834879912
sl_eat_bio_ssl_all,7,12,10.594842984652486,71.7944429506836,0.12859491212204227
sl_eat_bio_ssl_all,8,12,10.28357731741616,64.54904023792012,0.13742105586259432
sl_eat_bio_ssl_all,9,12,9.914677247192751,43.51026470172713,0.1855814322956511
sl_eat_bio_ssl_all,10,12,6.150619580654457,25.36983857771065,0.19513103362115852
sl_eat_bio_ssl_all,11,12,5.128046301558701,24.53166622993567,0.17289602170328783
sl_eat_bio_ssl_all,12,12,45.86604689761672,201.8377955740671,0.18516485832414853
random_init_eat_seed42,0,12,64.73005072533466,631.054295051491,0.09303177215501321
random_init_eat_seed42,1,12,79.16124538818136,604.3081896541815,0.11582265618545862
random_init_eat_seed42,2,12,92.74069033161169,580.7369600787791,0.1377041840588162
random_init_eat_seed42,3,12,108.51167458711198,554.0731655608853,0.16377023440933883
random_init_eat_seed42,4,12,116.04332458655718,536.1680861017402,0.17792286777701902
random_init_eat_seed42,5,12,123.57870982966098,515.4231743372354,0.19339334185340856
random_init_eat_seed42,6,12,134.1921869284485,491.2288524349503,0.21456295596489577
random_init_eat_seed42,7,12,148.2461407977958,471.7421586293171,0.23911119118663893
random_init_eat_seed42,8,12,159.77713696476908,450.7682396378782,0.26169576101589964
random_init_eat_seed42,9,12,163.7909470482963,438.80106534658006,0.2718106839772785
random_init_eat_seed42,10,12,174.53695845735626,415.90634211213325,0.2956032497769269
random_init_eat_seed42,11,12,181.48795335015632,399.8860174367096,0.31217075835803154
random_init_eat_seed42,12,12,191.47274649181006,381.86059924859796,0.3339640854912076
