model,layer_idx,layer_name,n_samples,embedding_dim,effective_rank,participation_ratio,twonn_id,var_explained_top1,var_explained_top10
eat_all,0,model.pos_drop,600,768,2.997962456225172,1.8581181617655365,8.651049049143083,0.7128563280783698,0.9748377323247377
eat_all,1,model.blocks.0,600,768,15.555899668349454,7.317298299871154,10.236182518919163,0.2861959738531661,0.8161405702608621
eat_all,2,model.blocks.1,600,768,25.078107249036425,10.86306635992647,9.979318990330343,0.22166275829905552,0.7271063718645414
eat_all,3,model.blocks.2,600,768,34.09518447463177,13.992853413577533,9.547836743305956,0.16013023013495467,0.6561876999208581
eat_all,4,model.blocks.3,600,768,45.822470929278246,16.868125912745484,9.346876882511738,0.15848799939067293,0.5903019915737014
eat_all,5,model.blocks.4,600,768,61.70127355736868,21.701695753193313,9.418792990461796,0.1437169222724819,0.5241309319619368
eat_all,6,model.blocks.5,600,768,76.4386106625738,26.983249401154872,9.16591046889205,0.12827269815529366,0.4739862346993662
eat_all,7,model.blocks.6,600,768,87.08750624433915,29.406035918449145,8.830200725055882,0.12428796192551955,0.45075494004381195
eat_all,8,model.blocks.7,600,768,65.5276156669544,20.89902803660079,8.175823824373193,0.15894854660444496,0.524177589174531
eat_all,9,model.blocks.8,600,768,69.88856364539738,22.954777019754804,8.051009482621177,0.15136215338652467,0.5025705129629764
eat_all,10,model.blocks.9,600,768,58.75801687175305,17.896736211962878,7.960372294308599,0.1903943623068241,0.5341093988296388
eat_all,11,model.blocks.10,600,768,40.55727870708803,9.64342374710432,7.891006976786683,0.2958490313296886,0.6067565588901656
eat_all,12,model.blocks.11,600,768,16.537823252792606,4.349322272352453,9.195634255744789,0.4609398431892083,0.7552766846900337
eat_bio,0,model.pos_drop,600,768,2.9240071191402577,1.6827379830179174,8.711137319469717,0.7624010829663163,0.9679552608524531
eat_bio,1,model.blocks.0,600,768,9.115182266924721,4.598330651714269,9.510506475981439,0.3843825286495746,0.8899997144942977
eat_bio,2,model.blocks.1,600,768,15.674392057358375,7.3377348502086415,8.710656829908638,0.2836448471788429,0.8136441467797296
eat_bio,3,model.blocks.2,600,768,18.961436791703505,8.563393447437225,8.940043163123585,0.2497066170593156,0.7853893209259862
eat_bio,4,model.blocks.3,600,768,25.45333210338718,10.319972427786034,8.681579831006257,0.2187297288735519,0.7239360186644664
