model,layer_idx,top1_share,top1_vs_bioaxis_abs_cos,cohens_d_top1,cohens_d_bioaxis
eat_all,0,0.3609601992301594,0.25754713593526807,0.43616553247683637,0.6245187585536106
eat_all,1,0.11342604608479588,0.019241443386904904,0.04874065555877607,1.028265338453915
eat_all,2,0.048674431955531124,0.13173098621204804,0.3907215559202694,1.2089389111275926
eat_all,3,0.046954551794283206,0.07654171363750674,-0.1209721447656729,1.3823233399794022
eat_all,4,0.04537323558980601,0.049207783960964493,-0.10465862830124158,1.5853993071065624
eat_all,5,0.04317655741034184,0.02145192261960794,-0.03830679959499462,1.6591057475134794
eat_all,6,0.0419480829676331,0.031394898335334306,0.04075911736290833,1.7676932827185037
eat_all,7,0.03830746774827027,0.011416617452598386,-0.017069781942738515,1.9102422409494921
eat_all,8,0.050624269854475684,0.0950716121036052,0.28934007867015143,1.7406976297815884
eat_all,9,0.048165726625610895,0.11400700030576959,-0.4726210685946403,1.9177756441043718
eat_all,10,0.053123145018650175,0.11390776884989215,0.44531845871295633,1.9383902422502337
eat_all,11,0.05704853386654509,0.08699154687788953,0.24638490027417878,1.7131892424012105
eat_all,12,0.2753658852748588,0.04783846990406789,-0.024313714016046904,1.7844784709832153
eat_bio,0,0.2106751637395121,0.10759441998735363,-0.2607752826019258,0.6164531346388626
eat_bio,1,0.09004187911129267,0.6484850096664379,-0.6346588125178028,0.9382932714895889
eat_bio,2,0.07175983374303005,0.022896653009700913,0.09754118139855061,1.1647475372048868
eat_bio,3,0.056983960774390725,0.05700341915617231,-0.2782311121302742,1.2183965406893775
eat_bio,4,0.051083761865426444,0.1673248630142995,-0.5239254448110816,1.289147386995306
eat_bio,5,0.0455156308520285,0.18076573925504222,0.47771268383222165,1.4051972489828315
eat_bio,6,0.04813309528185474,0.1927990306443178,0.5221681159477547,1.4923615655008293
eat_bio,7,0.04741218936776749,0.15213768888975646,0.6448006661752665,1.6253700540171336
eat_bio,8,0.05764692674545793,0.12153446643956328,0.4947301974609724,1.554409288580072
eat_bio,9,0.05425874708233201,0.13259586748094757,0.5524641299529793,1.5298461240710381
eat_bio,10,0.05241157961257857,0.07440806977821368,0.30527463947315814,1.480766224403825
eat_bio,11,0.060826576763296676,0.3085760240454309,0.4010498140424662,1.2162858083665544
eat_bio,12,0.1616914808275554,0.25446085050799955,0.19272810840396476,1.0219878367096134
sl_eat_all_ssl_all,0,0.16324166599937462,0.838464609708176,0.4591926745112097,0.5905623466607879
sl_eat_all_ssl_all,1,0.07839354728648311,0.5292191941085007,-0.4009719535762402,0.8975022466756813
sl_eat_all_ssl_all,2,0.05948754853931554,0.40162348058868025,-0.40046847004038927,1.0983989750137753
sl_eat_all_ssl_all,3,0.04977301989838214,0.21510645362602582,0.2522275970663097,1.140177569393927
sl_eat_all_ssl_all,4,0.05684011739212122,0.0851389705076488,0.07051656316569478,1.2129271151079677
sl_eat_all_ssl_all,5,0.061088627925160184,0.026492096321140118,0.020339698058023443,1.3451487955685815
sl_eat_all_ssl_all,6,0.05890084325011113,0.07379177442515276,0.0607941901557169,1.406441031095587
sl_eat_all_ssl_all,7,0.05562980905494247,0.13387874824723964,-0.11253603475853981,1.5942130846387694
sl_eat_all_ssl_all,8,0.05953578921090239,0.1497775656094754,-0.12463262496647994,1.5754651763382816
sl_eat_all_ssl_all,9,0.04657995577463783,0.3624104179029788,-0.38367068098272666,1.631595664352774
sl_eat_all_ssl_all,10,0.06973086197043153,0.17488876265194114,0.5095784899356498,1.732322841795881
sl_eat_all_ssl_all,11,0.2689718237054873,0.15481262242033647,0.11158567935066849,1.8891725003388895
sl_eat_all_ssl_all,12,0.6249421464616427,0.7413441495145103,0.5206902957961014,0.8163758070273598
sl_eat_bio_ssl_all,0,0.29906002043841845,0.4674069249020877,0.5642072124155264,0.6064475248229402
sl_eat_bio_ssl_all,1,0.08784374300323368,0.012045807459422046,-0.04239799345608739,0.9583136365630658
sl_eat_bio_ssl_all,2,0.052726823724624325,0.5220797490700888,0.5921245270605663,1.1415008919450076
sl_eat_bio_ssl_all,3,0.04657383687781616,0.17434849403428904,-0.2206392945712534,1.3057679160109332
sl_eat_bio_ssl_all,4,0.04113715075127211,0.16269832807332707,-0.19715095094712234,1.418146877684023
sl_eat_bio_ssl_all,5,0.035992443099833724,0.0005513946360713555,-0.0016349096155509717,1.6645186882212615
sl_eat_bio_ssl_all,6,0.03252756986356144,0.23099757257037978,-0.3750664387183781,2.2311683182028967
sl_eat_bio_ssl_all,7,0.03018691063193866,0.2089083556680177,-0.33136544640880955,2.967560947293913
sl_eat_bio_ssl_all,8,0.039117481229327,0.08694225571214287,-0.1649246116907977,3.300801950754061
sl_eat_bio_ssl_all,9,0.04237094419989446,0.0906969667240089,-0.1853347046610321,3.5226918376415033
sl_eat_bio_ssl_all,10,0.056322335784994036,0.32201589724968704,0.6313889310399572,3.752591128742689
sl_eat_bio_ssl_all,11,0.09988514507448595,0.30000071728990907,0.3728773490404491,3.251545823862911
sl_eat_bio_ssl_all,12,0.08302730668944612,0.04053816814207979,-0.060583925609158935,2.7654969753069727
random_init_eat_seed42,0,0.5957701901608671,0.9383870888076458,0.264753807072583,0.29953515585348406
random_init_eat_seed42,1,0.5789284534341598,0.9138904930482463,0.22630872513251268,0.27565144117002305
random_init_eat_seed42,2,0.5539882270321426,0.8826019930283076,0.2197899591362074,0.296006303253241
random_init_eat_seed42,3,0.533488087485953,0.84354286962433,0.2082280607810027,0.3155541215919169
random_init_eat_seed42,4,0.5184424784600673,0.7817919076766596,0.17487322181573953,0.3159574711281565
random_init_eat_seed42,5,0.5107320879370946,0.7079078696272677,0.15958053562214,0.353533942704135
random_init_eat_seed42,6,0.5074095804200343,0.612762625620403,-0.1275101737084644,0.36907253687988595
random_init_eat_seed42,7,0.5019458321867496,0.5220148594664736,-0.10848741674036845,0.4058921912725213
random_init_eat_seed42,8,0.5027952577648377,0.3518068911418284,-0.06598089751492531,0.42922928078236666
random_init_eat_seed42,9,0.5160717368907676,0.23638541733772103,-0.043986031466975516,0.4589795085897258
random_init_eat_seed42,10,0.5287965086407803,0.12915060841046772,-0.023589814739991388,0.46345733765606434
random_init_eat_seed42,11,0.5481596407627215,0.015186777241091381,-0.0025971890115751824,0.4416668117297995
random_init_eat_seed42,12,0.5654366430721435,0.06066318910812494,-0.01073705262544737,0.4571679182495955
