model,layer,iter,class_acc,class_chance
random_init_eat_seed13,9,25,0.4215,0.2
random_init_eat_seed13,9,26,0.41983333333333334,0.2
random_init_eat_seed13,9,27,0.4175,0.2
random_init_eat_seed13,9,28,0.41633333333333333,0.2
random_init_eat_seed13,9,29,0.415,0.2
random_init_eat_seed13,9,30,0.4136666666666667,0.2
random_init_eat_seed13,9,31,0.412,0.2
random_init_eat_seed13,9,32,0.4058333333333333,0.2
random_init_eat_seed13,9,33,0.4083333333333333,0.2
random_init_eat_seed13,9,34,0.406,0.2
random_init_eat_seed13,9,35,0.4056666666666667,0.2
random_init_eat_seed13,9,36,0.4028333333333333,0.2
random_init_eat_seed13,9,37,0.40066666666666667,0.2
random_init_eat_seed13,9,38,0.3988333333333333,0.2
random_init_eat_seed13,9,39,0.3973333333333333,0.2
random_init_eat_seed13,9,40,0.3965,0.2
random_init_eat_seed13,9,41,0.3925,0.2
random_init_eat_seed13,9,42,0.3975,0.2
random_init_eat_seed13,9,43,0.3993333333333333,0.2
random_init_eat_seed13,9,44,0.3985,0.2
random_init_eat_seed13,9,45,0.3998333333333333,0.2
random_init_eat_seed13,9,46,0.39866666666666667,0.2
random_init_eat_seed13,9,47,0.4,0.2
random_init_eat_seed13,9,48,0.3998333333333333,0.2
random_init_eat_seed13,9,49,0.39966666666666667,0.2
random_init_eat_seed13,9,50,0.399,0.2
random_init_eat_seed13,9,51,0.398,0.2
random_init_eat_seed13,9,52,0.39916666666666667,0.2
random_init_eat_seed13,9,53,0.39566666666666667,0.2
random_init_eat_seed13,9,54,0.39866666666666667,0.2
random_init_eat_seed13,9,55,0.39866666666666667,0.2
random_init_eat_seed13,9,56,0.3963333333333333,0.2
random_init_eat_seed13,9,57,0.3963333333333333,0.2
random_init_eat_seed13,9,58,0.3973333333333333,0.2
random_init_eat_seed13,9,59,0.3955,0.2
random_init_eat_seed13,9,60,0.3948333333333333,0.2
random_init_eat_seed13,9,61,0.3935,0.2
random_init_eat_seed13,9,62,0.3935,0.2
random_init_eat_seed13,9,63,0.3948333333333333,0.2
random_init_eat_seed13,9,64,0.394,0.2
random_init_eat_seed13,9,65,0.3925,0.2
random_init_eat_seed13,9,66,0.3913333333333333,0.2
random_init_eat_seed13,9,67,0.3918333333333333,0.2
random_init_eat_seed13,9,68,0.389,0.2
random_init_eat_seed13,9,69,0.3908333333333333,0.2
random_init_eat_seed13,9,70,0.39066666666666666,0.2
random_init_eat_seed13,9,71,0.3883333333333333,0.2
random_init_eat_seed13,9,72,0.39166666666666666,0.2
random_init_eat_seed13,9,73,0.3873333333333333,0.2
random_init_eat_seed13,9,74,0.3868333333333333,0.2
random_init_eat_seed13,9,75,0.38316666666666666,0.2
random_init_eat_seed13,9,76,0.3795,0.2
random_init_eat_seed13,9,77,0.37833333333333335,0.2
random_init_eat_seed13,9,78,0.37583333333333335,0.2
random_init_eat_seed13,9,79,0.37766666666666665,0.2
