model,layer,pre_class_acc,post_class_acc,class_chance,pre_order_acc,post_order_acc,order_majority,order_survival_ratio,n_inlp_iters
random_init_eat_seed07,9,0.4013333333333333,0.35333333333333333,0.2,0.68125,0.7285,0.75,-21499.999999999964,80
random_init_eat_seed13,9,0.39316666666666666,0.3685,0.2,0.678,0.7385,0.75,-11499.999999999955,80
