bio_idx,nonbio_idx,alpha,bio_file,nonbio_file,bio_source,nonbio_source,valid_token_count,bio_axis_projection,energy_in_bio_top10,energy_in_nonbio_top10,energy_ratio_bio_over_total,cos_to_bio_centroid,cos_to_nonbio_centroid
0,0,0.0,9777100K.flac,YHOtQseh7MIM.flac,Watkins,WavCaps,505,-1.0808445658627164,8.069272843693394,10.29693942701843,0.43935421875534336,0.46659394425632406,0.5151315346062582
0,0,0.25,9777100K.flac,YHOtQseh7MIM.flac,Watkins,WavCaps,505,-0.3573983055978064,1.3781704708461104,2.881073484229959,0.32357162101589376,0.45264585766769616,0.4590704182123616
0,0,0.5,9777100K.flac,YHOtQseh7MIM.flac,Watkins,WavCaps,505,-0.34825938821370683,1.4215429651662745,2.942123804022143,0.3257679929190977,0.44530060607370514,0.45007917988971197
0,0,0.75,9777100K.flac,YHOtQseh7MIM.flac,Watkins,WavCaps,505,-0.3601367986939608,1.4033800920406567,2.9595778275475864,0.3216579480952458,0.43455648749612114,0.44216529166477586
0,0,1.0,9777100K.flac,YHOtQseh7MIM.flac,Watkins,WavCaps,505,-0.3626058283567204,1.4024035597812976,3.012640933204257,0.3176419993070013,0.4291395920730473,0.43721536008410694
0,1,0.0,9777100K.flac,YDTngmSh5wnI.wav,Watkins,NatureLM,505,-1.0808445658627164,8.069272843693394,10.29693942701843,0.43935421875534336,0.46659394425632406,0.5151315346062582
0,1,0.25,9777100K.flac,YDTngmSh5wnI.wav,Watkins,NatureLM,505,-0.2772859470248863,0.5153889161343153,0.8112002519496623,0.3885068026589596,0.23352471447470383,0.2531787526868782
0,1,0.5,9777100K.flac,YDTngmSh5wnI.wav,Watkins,NatureLM,505,-0.2748887677351527,0.6201872524228301,0.8986469075081899,0.40833111921251286,0.2382306743550487,0.2562986539460133
0,1,0.75,9777100K.flac,YDTngmSh5wnI.wav,Watkins,NatureLM,505,-0.2781709540441514,0.6588138974742145,0.920342610973845,0.4171935422168345,0.23966142055631323,0.258246651093451
0,1,1.0,9777100K.flac,YDTngmSh5wnI.wav,Watkins,NatureLM,505,-0.2778584430923902,0.6992217801869686,0.9380858870263664,0.4270558271903961,0.23980260196811204,0.25836297955337273
0,2,0.0,9777100K.flac,ICLISTENHF1251_20140702T183216.535Z_054.wav,Watkins,NatureLM,505,-1.0808445658627164,8.069272843693394,10.29693942701843,0.43935421875534336,0.46659394425632406,0.5151315346062582
0,2,0.25,9777100K.flac,ICLISTENHF1251_20140702T183216.535Z_054.wav,Watkins,NatureLM,505,-1.080277860287675,8.176632514182355,10.400520083828997,0.4401445523496237,0.46809558035093235,0.5162839827611024
0,2,0.5,9777100K.flac,ICLISTENHF1251_20140702T183216.535Z_054.wav,Watkins,NatureLM,505,-1.0940496690682295,8.2523108674484,10.579703692057992,0.4382064829746342,0.4674197117112059,0.517797213825273
0,2,0.75,9777100K.flac,ICLISTENHF1251_20140702T183216.535Z_054.wav,Watkins,NatureLM,505,-1.2786817188863973,8.118208816640307,11.700067114996454,0.4096324445498744,0.47040458911105315,0.5448141878747705
0,2,1.0,9777100K.flac,ICLISTENHF1251_20140702T183216.535Z_054.wav,Watkins,NatureLM,505,-2.0935344054051375,4.193858274765531,11.97656811406518,0.2593535985954165,0.42845735500705817,0.6247100310651627
0,3,0.0,9777100K.flac,YGPZhcnRhI-I.flac,Watkins,WavCaps,505,-1.0808445658627164,8.069272843693394,10.29693942701843,0.43935421875534336,0.46659394425632406,0.5151315346062582
0,3,0.25,9777100K.flac,YGPZhcnRhI-I.flac,Watkins,WavCaps,505,-0.007470936323824617,1.689650077957128,1.984494831767239,0.45987573148928546,0.5143980293239243,0.4514294044974022
0,3,0.5,9777100K.flac,YGPZhcnRhI-I.flac,Watkins,WavCaps,505,-0.008683979419963017,1.523700635364937,1.8986520776575366,0.4452202222076843,0.47958009434886906,0.4211269165810356
0,3,0.75,9777100K.flac,YGPZhcnRhI-I.flac,Watkins,WavCaps,505,-0.01713732554771566,1.4950036340515493,1.901320325271926,0.44018287182161026,0.4703833657783635,0.4145521102898453
0,3,1.0,9777100K.flac,YGPZhcnRhI-I.flac,Watkins,WavCaps,505,-0.017907597276691778,1.4885363427381555,1.9098647068996737,0.4380107941929897,0.4644649664702251,0.4094856226879346
0,4,0.0,9777100K.flac,568042.flac,Watkins,WavCaps,505,-1.0808445658627164,8.069272843693394,10.29693942701843,0.43935421875534336,0.46659394425632406,0.5151315346062582
0,4,0.25,9777100K.flac,568042.flac,Watkins,WavCaps,505,-1.7205378188457094,7.99845924761529,14.138700996159445,0.3613136987552215,0.4608310503472419,0.5816411256686037
0,4,0.5,9777100K.flac,568042.flac,Watkins,WavCaps,505,-1.7249556143548097,8.470686758455587,15.037901695338732,0.36032306980508677,0.46668389234069135,0.5820753429536241
0,4,0.75,9777100K.flac,568042.flac,Watkins,WavCaps,505,-1.781221057048893,8.50947153245723,15.87931448609518,0.3489091882631683,0.48299282501144136,0.6026275838407642
0,4,1.0,9777100K.flac,568042.flac,Watkins,WavCaps,505,-1.848853675307593,8.426651038232388,16.076422285537877,0.34390180067974374,0.4827583061020694,0.6111852820520066
1,0,0.0,83035019.flac,YHOtQseh7MIM.flac,Watkins,WavCaps,505,-0.7154005229954801,5.625545267461356,7.01205671485379,0.44514341212309516,0.4110252337840285,0.4330016590572876
1,0,0.25,83035019.flac,YHOtQseh7MIM.flac,Watkins,WavCaps,505,-0.34993645132656037,1.4282660082323702,2.9850063250364527,0.3236297015857351,0.4784071166416178,0.48329514483249725
1,0,0.5,83035019.flac,YHOtQseh7MIM.flac,Watkins,WavCaps,505,-0.3323548794257538,1.442241741746513,2.926518328232709,0.3301261041221182,0.4661559621573626,0.4672531565722822
1,0,0.75,83035019.flac,YHOtQseh7MIM.flac,Watkins,WavCaps,505,-0.34215283523007683,1.3663780317587517,2.9168104948142877,0.319009547042279,0.4425126398638974,0.44687178735183053
1,0,1.0,83035019.flac,YHOtQseh7MIM.flac,Watkins,WavCaps,505,-0.3626058283567204,1.4024035597812976,3.012640933204257,0.3176419993070013,0.4291395920730473,0.43721536008410694
