bio_idx,nonbio_idx,alpha,bio_file,nonbio_file,bio_source,nonbio_source,valid_token_count,bio_axis_projection,energy_in_bio_top10,energy_in_nonbio_top10,energy_ratio_bio_over_total,cos_to_bio_centroid,cos_to_nonbio_centroid
0,0,0.0,9777100K.flac,YHOtQseh7MIM.flac,Watkins,WavCaps,505,0.2838842762175418,9.851541877482152,10.405659483291398,0.4863229476781958,0.5608059500374499,0.4761649236752752
0,0,0.25,9777100K.flac,YHOtQseh7MIM.flac,Watkins,WavCaps,505,-1.682324115980352,2.1744588884732106,3.244746258250763,0.4012505209897282,0.3612891790808205,0.5252919240453598
0,0,0.5,9777100K.flac,YHOtQseh7MIM.flac,Watkins,WavCaps,505,-1.4870322390987163,2.206819972143562,3.0307456809656768,0.42134459371091626,0.36863267253644516,0.5080689181765183
0,0,0.75,9777100K.flac,YHOtQseh7MIM.flac,Watkins,WavCaps,505,-1.4565203543660434,2.2375500649478637,3.0049662487444873,0.4268084124228385,0.3708232348435437,0.5069095860136946
0,0,1.0,9777100K.flac,YHOtQseh7MIM.flac,Watkins,WavCaps,505,-1.4923628187820945,2.639290416011463,3.500570940114765,0.42986156574659995,0.37895420676217684,0.5145389848537438
0,1,0.0,9777100K.flac,YDTngmSh5wnI.wav,Watkins,NatureLM,505,0.2838842762175418,9.851541877482152,10.405659483291398,0.4863229476781958,0.5608059500374499,0.4761649236752752
0,1,0.25,9777100K.flac,YDTngmSh5wnI.wav,Watkins,NatureLM,505,-1.5444387523225898,4.731953971661795,7.718187845060682,0.38007229486382593,0.5477038463173295,0.6827217331137897
0,1,0.5,9777100K.flac,YDTngmSh5wnI.wav,Watkins,NatureLM,505,-1.5050643212207988,4.547026193146987,7.505769864046764,0.37725903363585744,0.5422935530565307,0.6734722325125059
0,1,0.75,9777100K.flac,YDTngmSh5wnI.wav,Watkins,NatureLM,505,-1.5213208116635566,4.437198476073482,7.444564593806451,0.3734461333707036,0.5365882526721315,0.6700784282699535
0,1,1.0,9777100K.flac,YDTngmSh5wnI.wav,Watkins,NatureLM,505,-1.5193798563184433,4.532156042474486,7.525572436559348,0.3758714628841634,0.5371522997026127,0.6697479363865543
0,2,0.0,9777100K.flac,ICLISTENHF1251_20140702T183216.535Z_054.wav,Watkins,NatureLM,505,0.2838842762175418,9.851541877482152,10.405659483291398,0.4863229476781958,0.5608059500374499,0.4761649236752752
0,2,0.25,9777100K.flac,ICLISTENHF1251_20140702T183216.535Z_054.wav,Watkins,NatureLM,505,0.3210726039000227,9.970752861513223,10.343333091109686,0.49082951035883654,0.5595536597579891,0.47145759651904434
0,2,0.5,9777100K.flac,ICLISTENHF1251_20140702T183216.535Z_054.wav,Watkins,NatureLM,505,0.31454979763396684,10.003610795474646,10.085756654518875,0.49795548915990745,0.555973976246604,0.4688138752320609
0,2,0.75,9777100K.flac,ICLISTENHF1251_20140702T183216.535Z_054.wav,Watkins,NatureLM,505,-0.11811696731480768,8.870673840243631,9.372229959042272,0.48625339133734086,0.5229911388867268,0.4815719758709207
0,2,1.0,9777100K.flac,ICLISTENHF1251_20140702T183216.535Z_054.wav,Watkins,NatureLM,505,-1.141253014303588,4.9325715958887395,14.279670981260498,0.2567410637296173,0.5120984705481877,0.5927059637769745
0,3,0.0,9777100K.flac,YGPZhcnRhI-I.flac,Watkins,WavCaps,505,0.2838842762175418,9.851541877482152,10.405659483291398,0.4863229476781958,0.5608059500374499,0.4761649236752752
0,3,0.25,9777100K.flac,YGPZhcnRhI-I.flac,Watkins,WavCaps,505,-1.4780220494533047,3.8842397195610365,6.6390995711149,0.3691071448207144,0.4521764241743955,0.5793921678066708
0,3,0.5,9777100K.flac,YGPZhcnRhI-I.flac,Watkins,WavCaps,505,-1.5532799566833697,3.7886493609214043,6.935631524087209,0.3532777070598297,0.4355791283086033,0.5690272256126063
0,3,0.75,9777100K.flac,YGPZhcnRhI-I.flac,Watkins,WavCaps,505,-1.6299288318251568,3.859341453925839,7.295981129941727,0.3459641283262469,0.4336886506711707,0.5743132640760367
0,3,1.0,9777100K.flac,YGPZhcnRhI-I.flac,Watkins,WavCaps,505,-1.6559197258124319,3.7565373052845965,7.248323929260424,0.3413525373216489,0.42976777917440334,0.5736027066941876
0,4,0.0,9777100K.flac,568042.flac,Watkins,WavCaps,505,0.2838842762175418,9.851541877482152,10.405659483291398,0.4863229476781958,0.5608059500374499,0.4761649236752752
0,4,0.25,9777100K.flac,568042.flac,Watkins,WavCaps,505,-0.5336079635928013,10.355493058677244,12.11020075193449,0.46094695075857384,0.5747461310692492,0.5697848597100292
0,4,0.5,9777100K.flac,568042.flac,Watkins,WavCaps,505,-0.6426002040912879,13.416465126294693,14.865089294274656,0.4743892406612847,0.6037089736964196,0.605978880158187
0,4,0.75,9777100K.flac,568042.flac,Watkins,WavCaps,505,-0.8714461134718758,13.530878916186415,16.755390118329352,0.4467661203420579,0.5985294315889462,0.6225749619213434
0,4,1.0,9777100K.flac,568042.flac,Watkins,WavCaps,505,-0.9658046218117107,13.238171852410884,16.589472894200107,0.4438222315194699,0.5914019718248302,0.6253480403187968
1,0,0.0,83035019.flac,YHOtQseh7MIM.flac,Watkins,WavCaps,505,0.02211135428764094,5.676582820330672,6.197946286943656,0.4780469835097041,0.4833682935166407,0.4317792814416245
1,0,0.25,83035019.flac,YHOtQseh7MIM.flac,Watkins,WavCaps,505,-1.8309690715989149,2.1372900085301887,3.958256710638798,0.3506313882902317,0.36297082984358714,0.5534288358111383
1,0,0.5,83035019.flac,YHOtQseh7MIM.flac,Watkins,WavCaps,505,-1.613185753651211,2.4632933304279794,3.748096821428774,0.3965768161724045,0.37512367417256476,0.529707950697498
1,0,0.75,83035019.flac,YHOtQseh7MIM.flac,Watkins,WavCaps,505,-1.5066434622972174,2.5931250340855927,3.5434247027224215,0.422570523389,0.37929955724906317,0.517873800767396
