layer_idx,eff_rank_pooled,pr_pooled,twonn_pooled,eff_rank_frame,pr_frame,twonn_frame,eff_rank_ratio_frame_over_pooled,twonn_ratio_frame_over_pooled
0,2.8091418041274814,1.7130066389332437,8.486620207315703,17.46525978515167,6.533456398395942,5.051570172801218,6.217293751241003,0.5952393354950212
1,11.769218992516311,5.460668658043972,10.394958175959484,61.89061258507913,29.947390255740938,6.067544447653579,5.258684762721596,0.5837007080688449
2,20.24006986071785,8.543698041751925,9.9629399047029,103.01875117641336,56.28206086941367,8.809750202182178,5.089841679665014,0.8842520668044609
3,31.248518166758608,12.041586740229915,9.728365707321874,134.5539461144895,72.22850958452118,10.159235492128522,4.305930457132032,1.0442900480686454
4,48.176173428297474,17.539753889869292,9.875786557941389,193.86154743434858,96.6340579026116,2.631867244545853,4.024012984818739,0.2664969751122757
5,77.7903298942058,28.37801906019426,10.55622970072028,257.3208427711694,121.20472271326885,7.356559010844005,3.307876996036957,0.6968926614340389
6,106.19100937558504,41.67581710112377,10.366872988946191,317.2800204071892,150.7304996163095,5.718721566773229,2.9878237552579177,0.5516341883295848
7,132.22256491941843,54.984468056483294,10.758321306749476,347.94337566505624,166.89083644453882,4.785964185222835,2.6314977014483607,0.44486161444353334
8,136.15934470722695,56.21899682725989,9.507152499104311,305.08998276182564,127.54789472430224,4.274073237170942,2.2406833950166063,0.4495639717122042
9,148.14654065598805,61.603027551631946,9.13577447005731,315.09796493616795,134.04733418609032,3.044459222555974,2.12693434177352,0.3332458821673249
10,144.74892025274937,54.856785209506896,9.07013689873238,283.2788196038412,106.1972439852688,2.8584081856681527,1.9570358045448744,0.31514498817185843
11,127.59970726472692,33.41179971865619,9.30653133311074,253.92788932546569,64.03402897186209,2.8774839757336235,1.9900350460730278,0.30918973705016417
12,107.51989838183152,43.16761173612712,8.716375372377325,188.65911920616287,67.76647075621999,2.872303252560114,1.7546437640424897,0.3295295498244146
