bio_idx,nonbio_idx,alpha,bio_file,nonbio_file,bio_source,nonbio_source,valid_token_count,bio_axis_projection,energy_in_bio_top10,energy_in_nonbio_top10,energy_ratio_bio_over_total,cos_to_bio_centroid,cos_to_nonbio_centroid
0,0,0.0,9777100K.flac,YHOtQseh7MIM.flac,Watkins,WavCaps,505,-1.4586993693138126,2.8369838963227068,4.841747978493879,0.3694599502330547,0.6366080714661195,0.7094144303632451
0,0,0.25,9777100K.flac,YHOtQseh7MIM.flac,Watkins,WavCaps,505,-0.48747134072719195,0.6466496334848282,1.4874488904426835,0.30300833173098274,0.792704905851384,0.8170278584836626
0,0,0.5,9777100K.flac,YHOtQseh7MIM.flac,Watkins,WavCaps,505,-0.45125839137711077,0.6101619890171545,1.4923337892673207,0.29020842530062735,0.7898370354531228,0.8116282217553548
0,0,0.75,9777100K.flac,YHOtQseh7MIM.flac,Watkins,WavCaps,505,-0.42124063787371824,0.591967447943559,1.4859620628281722,0.28488331527844063,0.7923676282548844,0.8119654889095207
0,0,1.0,9777100K.flac,YHOtQseh7MIM.flac,Watkins,WavCaps,505,-0.41049862547586535,0.5817481593640811,1.4879100457167471,0.281084170292438,0.7924536930104511,0.8113067683263115
0,1,0.0,9777100K.flac,YDTngmSh5wnI.wav,Watkins,NatureLM,505,-1.4586993693138126,2.8369838963227068,4.841747978493879,0.3694599502330547,0.6366080714661195,0.7094144303632451
0,1,0.25,9777100K.flac,YDTngmSh5wnI.wav,Watkins,NatureLM,505,-0.18164700465943803,1.007812329042689,0.9893986541041289,0.5046098472054132,0.8104035440316963,0.8135868886366671
0,1,0.5,9777100K.flac,YDTngmSh5wnI.wav,Watkins,NatureLM,505,-0.17104159314165135,0.981512173265554,0.9687821991163065,0.503263603261517,0.8102278712493107,0.812729404557101
0,1,0.75,9777100K.flac,YDTngmSh5wnI.wav,Watkins,NatureLM,505,-0.1678547552129942,0.9672774999389607,0.9541140431331147,0.5034255008702702,0.809628775752252,0.8119431220408544
0,1,1.0,9777100K.flac,YDTngmSh5wnI.wav,Watkins,NatureLM,505,-0.16019092344464828,0.9491406429352159,0.9408930745171138,0.5021818574827382,0.8081862877148371,0.8100118451426492
0,2,0.0,9777100K.flac,ICLISTENHF1251_20140702T183216.535Z_054.wav,Watkins,NatureLM,505,-1.4586993693138126,2.8369838963227068,4.841747978493879,0.3694599502330547,0.6366080714661195,0.7094144303632451
0,2,0.25,9777100K.flac,ICLISTENHF1251_20140702T183216.535Z_054.wav,Watkins,NatureLM,505,-1.4520949410680628,2.815106875246262,4.869194267643774,0.36634520471012033,0.6384331980272048,0.7110354664492089
0,2,0.5,9777100K.flac,ICLISTENHF1251_20140702T183216.535Z_054.wav,Watkins,NatureLM,505,-1.5615464526139564,3.262835639927215,5.933292937116084,0.354805352338415,0.6564840485465234,0.736116746867676
0,2,0.75,9777100K.flac,ICLISTENHF1251_20140702T183216.535Z_054.wav,Watkins,NatureLM,505,-1.5860459011824974,3.2502252481748206,6.076850276941736,0.3484720628049385,0.6734675399240638,0.7565059814060836
0,2,1.0,9777100K.flac,ICLISTENHF1251_20140702T183216.535Z_054.wav,Watkins,NatureLM,505,-1.240906258107096,2.897396150499634,4.636319302835383,0.3845906005405365,0.7242750500116931,0.7906322327912774
0,3,0.0,9777100K.flac,YGPZhcnRhI-I.flac,Watkins,WavCaps,505,-1.4586993693138126,2.8369838963227068,4.841747978493879,0.3694599502330547,0.6366080714661195,0.7094144303632451
0,3,0.25,9777100K.flac,YGPZhcnRhI-I.flac,Watkins,WavCaps,505,0.053370064736665584,1.0474900106225704,1.5013697751955652,0.41096415599273384,0.8799792147731749,0.8662560875596192
0,3,0.5,9777100K.flac,YGPZhcnRhI-I.flac,Watkins,WavCaps,505,0.0349538961356147,1.0013751595035705,1.4715251048938514,0.4049395658694623,0.8777655015273059,0.8652878773493141
0,3,0.75,9777100K.flac,YGPZhcnRhI-I.flac,Watkins,WavCaps,505,0.029022668458148826,0.9869322931958895,1.4481212274113453,0.40530209494113134,0.8771380370674908,0.8650660495214788
0,3,1.0,9777100K.flac,YGPZhcnRhI-I.flac,Watkins,WavCaps,505,0.02427621181248399,0.9746804281726633,1.4279785262338212,0.40566740709708143,0.8768335203401831,0.8650854817212753
0,4,0.0,9777100K.flac,568042.flac,Watkins,WavCaps,505,-1.4586993693138126,2.8369838963227068,4.841747978493879,0.3694599502330547,0.6366080714661195,0.7094144303632451
0,4,0.25,9777100K.flac,568042.flac,Watkins,WavCaps,505,-1.402399958949549,2.5884197792501777,4.192769501029252,0.38170587374365667,0.6704839709029318,0.7412965928102042
