model,layer_idx,metric,n_bootstraps,p05,p50,p95,mean,std
eat_all,5,cos_class_aves_vs_mammalia,30,0.6325377517615661,0.6643059588905986,0.6983884730485667,0.6631325205055455,0.019953145369191197
eat_all,5,cos_order_passer_vs_other_aves,30,0.8775187255562911,0.919233400359489,0.9404888301983867,0.9147246338647428,0.021365541857152136
eat_all,5,abs_cos_veitch_class_vs_passer_subord,30,0.21328935623605236,0.2928397873490198,0.43374763245105913,0.3102930257283211,0.06596890972985546
eat_all,5,species_separability_ratio,30,0.06721304431364918,0.07334640909506902,0.07831420811931947,0.07320653324387177,0.004608314948582415
eat_all,5,top1_share,30,0.04425209373944553,0.045110813000808284,0.04647185548708608,0.045253802945634934,0.0007338237876230159
eat_all,5,top10_share,30,0.2691942774501895,0.2712659012901776,0.2736960259188374,0.2713705193484496,0.0015840317718776563
eat_all,5,mean_l2_norm,30,8.257849038557767,8.260617862999739,8.26403294184874,8.260611536110995,0.0019612069410563635
eat_all,7,cos_class_aves_vs_mammalia,30,0.4895671273656324,0.5189556797429216,0.5501240826856217,0.5196876740988454,0.020485657739926253
eat_all,7,cos_order_passer_vs_other_aves,30,0.8045501598775154,0.8449568717062295,0.8734174374839841,0.8417044934687503,0.024429952287933262
eat_all,7,abs_cos_veitch_class_vs_passer_subord,30,0.16902962177946354,0.30318309178642605,0.39005429980873785,0.28863130644303864,0.07424416528969356
eat_all,7,species_separability_ratio,30,0.08404752345703058,0.09277820432148787,0.10167952275160543,0.09231765069261234,0.006509312588071991
eat_all,7,top1_share,30,0.038539054034934246,0.03946417350337688,0.040643591437481905,0.03957062052572516,0.0007108791931986564
eat_all,7,top10_share,30,0.23118064842701955,0.23354481549223438,0.23510632022728453,0.23343594806480283,0.00131694665650899
eat_all,7,mean_l2_norm,30,9.148922059299874,9.150907996787707,9.153659470850902,9.150903749284344,0.001700825832963391
eat_all,9,cos_class_aves_vs_mammalia,30,0.5742004059971275,0.6157579760667964,0.6462308974125076,0.6121030150309985,0.023309408292076325
eat_all,9,cos_order_passer_vs_other_aves,30,0.8191306423555137,0.8697043670882452,0.8970526540352639,0.8637651979186421,0.025608123081607318
eat_all,9,abs_cos_veitch_class_vs_passer_subord,30,0.1807027136141665,0.2553014534440642,0.43745729989140847,0.2833538997575281,0.0819578555139218
eat_all,9,species_separability_ratio,30,0.07558253084885186,0.08377152020743078,0.09584903149486158,0.08468429211262621,0.007217032732973859
eat_all,9,top1_share,30,0.04880490252885148,0.04999975544698624,0.05113484498366628,0.050000533681288775,0.0007039681409254962
eat_all,9,top10_share,30,0.28809008920448903,0.29050375301140596,0.2929961577151785,0.290402211218702,0.0015322039726877834
eat_all,9,mean_l2_norm,30,7.293250554978316,7.298026489466764,7.30098047837703,7.297376820271716,0.002775123571606535
