cos_class_aves_vs_mammalia,cos_order_passer_vs_other_aves,abs_cos_veitch_class_vs_passer_subord,species_separability_ratio,species_n_with_data,top1_share,top10_share,mean_l2_norm,model,layer_idx,bootstrap,seed
0.6616219562533145,0.9413595047802665,0.39409990123867816,0.07377944205154335,12,0.04571061510089037,0.27126242558087904,8.264108177218116,eat_all,5,0,47
0.6903219329004032,0.8785833488838783,0.31837828940899376,0.06997844843793333,12,0.045650873866651696,0.2725884937767338,8.26211898027321,eat_all,5,1,1047
0.6649881627838974,0.8883287269947818,0.26406797156281486,0.07709536363789798,12,0.04650607495592874,0.2734870005197041,8.264536183046756,eat_all,5,2,2047
0.6636237549972999,0.8905426907520464,0.3861622540540039,0.07235516559569165,12,0.04371347744346812,0.2673238079297007,8.25773566852545,eat_all,5,3,3047
0.6544828364561956,0.9394246723760891,0.20819313554947014,0.06844931933952549,12,0.04544824629929923,0.2736204101290414,8.260513124457413,eat_all,5,4,4047
0.649223727709792,0.9028697935276109,0.2618469925667999,0.07729235661091001,12,0.044908090925272016,0.27151531679579083,8.258255495498211,eat_all,5,5,5047
0.6617651599337664,0.8981261570394414,0.42051987859037027,0.06362983823699539,12,0.0462053907819897,0.27375789338321593,8.258441617550385,eat_all,5,6,6047
0.618529471951291,0.926035540413374,0.3360475255526897,0.07600564691927103,12,0.04611298380909846,0.2696676297660356,8.262542338962648,eat_all,5,7,7047
0.6676162049924247,0.8773368644778705,0.36225572226261343,0.07063602425076367,12,0.0455706276871491,0.27173973207676505,8.26394098750839,eat_all,5,8,8047
0.6739594672763999,0.9351830000609003,0.3730865699720486,0.08794104237989192,12,0.0447739321890239,0.26893961582142567,8.261100041304912,eat_all,5,9,9047
0.6320867647212423,0.9294232267199891,0.2944318463989983,0.07140472862371394,12,0.04490298389551523,0.271636676797193,8.261664837516033,eat_all,5,10,10047
0.6411251490562475,0.8688430234722142,0.4445703401552592,0.0752548923520734,12,0.04643003169183394,0.27126937699947606,8.257987601930598,eat_all,5,11,11047
0.6480223217595924,0.9179985179045254,0.3231252256127796,0.07765359801890709,12,0.044567045402074505,0.26960334276894365,8.259706214798829,eat_all,5,12,12047
0.6330889581441842,0.9279743579651614,0.37922609209898867,0.07420273241266412,12,0.04441962592481744,0.27113664072414134,8.260046485023222,eat_all,5,13,13047
0.7049883695334277,0.9126737785927161,0.27733461616018895,0.07488517148359823,12,0.044715033029605444,0.27416997860753983,8.259302749001442,eat_all,5,14,14047
0.6723113508469916,0.9164411224176046,0.28394483205195875,0.07749279209563562,12,0.045122290539793136,0.2704652679169834,8.258503251648216,eat_all,5,15,15047
0.6653090409832447,0.877741000207694,0.2889492267459061,0.07228411468371536,12,0.04520607911789333,0.27106546400533293,8.261924159709707,eat_all,5,16,16047
0.6413806810195511,0.9131238806241739,0.27932518498547854,0.0749521944828982,12,0.04484913053066244,0.2706189895780599,8.258416370710828,eat_all,5,17,17047
0.6806194013528448,0.9249237905293116,0.3206932060052939,0.06723914407237075,11,0.045099335461823424,0.27124971758364125,8.261647968751257,eat_all,5,18,18047
