model,layer_idx,source_a,source_b,is_bio_a,is_bio_b,same_bio_class,mean_cos_principal_angles,k
eat_all,4,WavCaps,Xeno-canto,False,True,False,0.7730342454380572,10
eat_all,4,WavCaps,iNaturalist,False,True,False,0.7692681904078681,10
eat_all,4,Xeno-canto,iNaturalist,True,True,True,0.866655173465972,10
eat_all,5,Animal Sound Archive,NatureLM,True,False,False,0.7322030356403093,10
eat_all,5,Animal Sound Archive,Watkins,True,True,True,0.5763045841776918,10
eat_all,5,Animal Sound Archive,WavCaps,True,False,False,0.7982350226778767,10
eat_all,5,Animal Sound Archive,Xeno-canto,True,True,True,0.8770589652474738,10
eat_all,5,Animal Sound Archive,iNaturalist,True,True,True,0.8750441936571534,10
eat_all,5,NatureLM,Watkins,False,True,False,0.6043059780574285,10
eat_all,5,NatureLM,WavCaps,False,False,True,0.8077771065049898,10
eat_all,5,NatureLM,Xeno-canto,False,True,False,0.7027484224301319,10
eat_all,5,NatureLM,iNaturalist,False,True,False,0.7091605682925518,10
eat_all,5,Watkins,WavCaps,True,False,False,0.6510553874662588,10
eat_all,5,Watkins,Xeno-canto,True,True,True,0.5969466017137386,10
eat_all,5,Watkins,iNaturalist,True,True,True,0.5957417009277206,10
eat_all,5,WavCaps,Xeno-canto,False,True,False,0.820390097718699,10
eat_all,5,WavCaps,iNaturalist,False,True,False,0.7997391359192159,10
eat_all,5,Xeno-canto,iNaturalist,True,True,True,0.9100599952855107,10
eat_all,6,Animal Sound Archive,NatureLM,True,False,False,0.640582504665484,10
eat_all,6,Animal Sound Archive,Watkins,True,True,True,0.4725188639950183,10
eat_all,6,Animal Sound Archive,WavCaps,True,False,False,0.7769634251889371,10
eat_all,6,Animal Sound Archive,Xeno-canto,True,True,True,0.8012521596444131,10
eat_all,6,Animal Sound Archive,iNaturalist,True,True,True,0.823934510175586,10
eat_all,6,NatureLM,Watkins,False,True,False,0.49419574604272015,10
eat_all,6,NatureLM,WavCaps,False,False,True,0.7329149779984708,10
eat_all,6,NatureLM,Xeno-canto,False,True,False,0.6495566960349131,10
eat_all,6,NatureLM,iNaturalist,False,True,False,0.6670594339201028,10
eat_all,6,Watkins,WavCaps,True,False,False,0.5417659376125663,10
eat_all,6,Watkins,Xeno-canto,True,True,True,0.4907807700771364,10
eat_all,6,Watkins,iNaturalist,True,True,True,0.462154379609469,10
