seed,layer_idx,layer_name,n_rows,embedding_dim,effective_rank,participation_ratio,twonn_id,mle_id_k20,var_explained_top1,var_explained_top10
13,0,layer_00,30000,768,9.164955940102603,2.5838359058344467,5.1102019395875375,9.504370750309937,0.6141528063983467,0.8265801409898369
13,1,layer_01,30000,768,10.11084656034195,2.7816660249814227,7.604859192801288,14.786573676997275,0.590943826844713,0.8231916343363339
13,2,layer_02,30000,768,10.471575155370571,2.9431351535998824,7.98041721765138,13.989749583818664,0.5718382797709349,0.8271884188915778
13,3,layer_03,30000,768,10.599868647204707,3.072672817917702,8.136854447552112,13.373741497964884,0.5556986874307289,0.8311630269442549
13,4,layer_04,30000,768,10.790143589078726,3.2159646129050063,8.174621291342866,12.872465734424377,0.5378175142638197,0.8328701969488177
13,5,layer_05,30000,768,10.916252875513663,3.347559161632387,8.176794028218728,12.495125913665047,0.5208087189602425,0.8344844844450368
13,6,layer_06,30000,768,10.625242764138422,3.4036588638000276,8.106283247170074,12.060403150180166,0.5091471449282219,0.8404448641883453
13,7,layer_07,30000,768,10.46049011482213,3.416318649497504,8.04946011420179,11.807242516649726,0.5037488187082159,0.842592262270492
13,8,layer_08,30000,768,10.127523777700295,3.429539394792183,7.980126832161445,11.51596947644544,0.4955641219096663,0.8481316963284506
13,9,layer_09,30000,768,9.861458058908033,3.3999169277140786,7.892154247994515,11.311088059511556,0.49450793983380004,0.8511735027430257
13,10,layer_10,30000,768,9.492430644358762,3.3418918955972567,7.764001735260722,11.051078649010265,0.4969486948365987,0.8560816056883684
13,11,layer_11,30000,768,9.270348032710823,3.311980376208239,7.654256618595007,10.811419170215393,0.4973703013151694,0.8591973731536755
13,12,layer_12,30000,768,9.146844887344933,3.2782179874667663,7.57653353460707,10.63728442832188,0.500588423012857,0.8605995424024316
