layer_idx,effective_rank_min,effective_rank_mean,effective_rank_max,effective_rank_std,metric,twonn_id_min,twonn_id_mean,twonn_id_max,twonn_id_std,mle_id_k20_min,mle_id_k20_mean,mle_id_k20_max,mle_id_k20_std,participation_ratio_min,participation_ratio_mean,participation_ratio_max,participation_ratio_std
0,9.164955940102605,9.810714356839577,10.140013314306843,0.5592800396657045,effective_rank,,,,,,,,,,,,
1,10.11084656034195,10.719765239898342,11.037017706561825,0.5274942017027567,effective_rank,,,,,,,,,,,,
2,10.471575155370571,11.143927152175317,11.501528115908986,0.5826679456130601,effective_rank,,,,,,,,,,,,
3,10.599868647204708,11.3129798374827,11.781259378670148,0.6275969386440693,effective_rank,,,,,,,,,,,,
4,10.790143589078726,11.43503703028813,11.764135144934135,0.5585337088563898,effective_rank,,,,,,,,,,,,
5,10.916252875513663,11.451658389892161,11.808575888632786,0.4721795937249487,effective_rank,,,,,,,,,,,,
6,10.625242764138422,11.237111200431888,11.620256125884715,0.5354892443568453,effective_rank,,,,,,,,,,,,
7,10.46049011482213,11.040741277731215,11.38191917925464,0.5050988996497854,effective_rank,,,,,,,,,,,,
8,10.127523777700295,10.774616687931434,11.209493083412193,0.5713504016584484,effective_rank,,,,,,,,,,,,
9,9.861458058908031,10.515738013481192,10.920433631293122,0.5719060863415336,effective_rank,,,,,,,,,,,,
10,9.492430644358762,10.195505264600643,10.786934208474513,0.6544336766746099,effective_rank,,,,,,,,,,,,
11,9.270348032710825,9.994035504585986,10.535953315054584,0.6520884449443947,effective_rank,,,,,,,,,,,,
12,9.146844887344932,9.702339903732831,10.195369210511588,0.5270458117903548,effective_rank,,,,,,,,,,,,
0,,,,,twonn_id,5.1102019395875375,5.122877077633969,5.136453012305129,0.013148698818719941,,,,,,,,
1,,,,,twonn_id,7.449930314764319,7.533413042788232,7.604859192801288,0.07816264274003992,,,,,,,,
2,,,,,twonn_id,7.9157613154291795,7.959349639224748,7.981870384593686,0.03775558769269897,,,,,,,,
3,,,,,twonn_id,8.062417783877706,8.114233631428899,8.143428662856879,0.044994073163081946,,,,,,,,
4,,,,,twonn_id,8.120875471821025,8.165093963417672,8.199785127089124,0.04030832304472905,,,,,,,,
5,,,,,twonn_id,8.154725022353729,8.189892332014885,8.2381579454722,0.043231207903266886,,,,,,,,
6,,,,,twonn_id,8.098177227913089,8.132776359829846,8.19386860440637,0.0530624504484784,,,,,,,,
7,,,,,twonn_id,8.04946011420179,8.100284429876261,8.168327022241598,0.0612755028203648,,,,,,,,
8,,,,,twonn_id,7.980126832161445,8.038162513990173,8.107217270677502,0.06425776138806509,,,,,,,,
9,,,,,twonn_id,7.892154247994515,7.964840120749163,8.017894373111924,0.06512829765581005,,,,,,,,
10,,,,,twonn_id,7.764001735260722,7.8533024661624795,7.898028928113491,0.07733673897552476,,,,,,,,
11,,,,,twonn_id,2.529330760972476,6.002778836379871,7.824749129572131,3.009301924614466,,,,,,,,
12,,,,,twonn_id,7.57653353460707,7.654882788331462,7.719216747308926,0.07236674762529555,,,,,,,,
0,,,,,mle_id_k20,,,,,9.450472506336297,9.49307428687637,9.524379603982874,0.03822659199058475,,,,
1,,,,,mle_id_k20,,,,,14.786573676997277,14.876725017198174,15.02149184426275,0.12662454296802,,,,
2,,,,,mle_id_k20,,,,,13.989749583818664,14.157758035975553,14.344640821196302,0.178196879681749,,,,
3,,,,,mle_id_k20,,,,,13.373741497964884,13.567760331496544,13.751793033470404,0.18922350010539812,,,,
4,,,,,mle_id_k20,,,,,12.872465734424376,13.118243314949424,13.253198474764387,0.21319137316208683,,,,
5,,,,,mle_id_k20,,,,,12.495125913665047,12.721275099363112,12.857179836632056,0.19717709334037173,,,,
6,,,,,mle_id_k20,,,,,12.060403150180166,12.344486611963319,12.513795798722322,0.2475299458520257,,,,
7,,,,,mle_id_k20,,,,,11.807242516649726,12.069124809920694,12.254280463707447,0.23318654427796956,,,,
8,,,,,mle_id_k20,,,,,11.51596947644544,11.80301972614348,12.023886797629928,0.26034623311745353,,,,
9,,,,,mle_id_k20,,,,,11.311088059511556,11.567089953108592,11.747435986087025,0.2277997699540838,,,,
10,,,,,mle_id_k20,,,,,11.051078649010265,11.311254537617762,11.505065211141332,0.23415637078403004,,,,
11,,,,,mle_id_k20,,,,,10.811419170215393,11.112545691137493,11.311936090731688,0.26531486147201383,,,,
12,,,,,mle_id_k20,,,,,10.63728442832188,10.892629259502627,11.086925382394972,0.23095336213768689,,,,
0,,,,,participation_ratio,,,,,,,,,2.5838359058344467,2.6895019700874716,2.759786040699179,0.09315860988258175
1,,,,,participation_ratio,,,,,,,,,2.7816660249814227,2.8782421924459425,2.941789820296109,0.08501806148276712
2,,,,,participation_ratio,,,,,,,,,2.9431351535998824,3.044003565227156,3.1097353225455544,0.08868394685735222
3,,,,,participation_ratio,,,,,,,,,3.072672817917702,3.189382782747994,3.2601642301362985,0.10183481207202759
4,,,,,participation_ratio,,,,,,,,,3.2159646129050063,3.31101503630536,3.372086463542903,0.08342324134690925
5,,,,,participation_ratio,,,,,,,,,3.347559161632387,3.4087323836929926,3.4836128224974354,0.06905480071539062
6,,,,,participation_ratio,,,,,,,,,3.403658863800028,3.4721539590614037,3.5570186322845254,0.07797933674627486
7,,,,,participation_ratio,,,,,,,,,3.416318649497504,3.498402342519244,3.580342610487519,0.08201207455474441
8,,,,,participation_ratio,,,,,,,,,3.429539394792183,3.510620801374916,3.5942907611924677,0.0824061808275165
9,,,,,participation_ratio,,,,,,,,,3.3999169277140786,3.4951989467026294,3.5743301984939917,0.08832119064431898
10,,,,,participation_ratio,,,,,,,,,3.3418918955972567,3.4491469853499646,3.576925141995993,0.11885307709189974
11,,,,,participation_ratio,,,,,,,,,3.311980376208239,3.4094623488073403,3.5170276095922937,0.10289483225649843
12,,,,,participation_ratio,,,,,,,,,3.2782179874667663,3.3483831297452813,3.44522080776726,0.08663748391614051
