seed,layer_idx,layer_name,n_rows,embedding_dim,effective_rank,participation_ratio,twonn_id,mle_id_k20,var_explained_top1,var_explained_top10
7,0,layer_00,30000,768,10.127173816109282,2.724883963728789,5.121976281009242,9.524379603982874,0.5976775527244506,0.8136441777075949
7,1,layer_01,30000,768,11.037017706561825,2.9112707320602964,7.449930314764319,15.02149184426275,0.5773181084980014,0.8107903002224519
7,2,layer_02,30000,768,11.501528115908986,3.079140219536032,7.9157613154291795,14.344640821196302,0.559032254607356,0.8133007729059554
7,3,layer_03,30000,768,11.781259378670148,3.2601642301362985,8.062417783877706,13.751793033470404,0.5387046144814394,0.8167065871353338
7,4,layer_04,30000,768,11.764135144934135,3.372086463542903,8.120875471821025,13.253198474764387,0.5245754403352577,0.8209907472261425
7,5,layer_05,30000,768,11.808575888632786,3.4836128224974354,8.154725022353729,12.857179836632056,0.5102654696224681,0.8234281985623264
7,6,layer_06,30000,768,11.620256125884715,3.5570186322845254,8.098177227913089,12.513795798722322,0.4975245565385713,0.8274058406245796
7,7,layer_07,30000,768,11.38191917925464,3.580342610487519,8.083066153185397,12.254280463707447,0.4899102921869629,0.8308456039604253
7,8,layer_08,30000,768,11.209493083412193,3.5942907611924677,8.02714343913157,12.023886797629928,0.4836556790904888,0.8327764142846327
7,9,layer_09,30000,768,10.920433631293122,3.5743301984939917,7.984471741141052,11.747435986087025,0.4812002510736888,0.8366742694777293
7,10,layer_10,30000,768,10.786934208474513,3.576925141995993,7.897876735113226,11.505065211141332,0.4765773501140374,0.8383747114655835
7,11,layer_11,30000,768,10.535953315054584,3.5170276095922937,7.824749129572131,11.311936090731688,0.481738731561333,0.8413556453666964
7,12,layer_12,30000,768,10.195369210511588,3.44522080776726,7.719216747308926,11.086925382394972,0.4872488444015472,0.845214509003896
13,0,layer_00,30000,768,9.164955940102605,2.5838359058344467,5.1102019395875375,9.504370750309937,0.6141528063983467,0.8265801409898369
13,1,layer_01,30000,768,10.11084656034195,2.7816660249814227,7.604859192801288,14.786573676997277,0.590943826844713,0.8231916343363339
13,2,layer_02,30000,768,10.471575155370571,2.9431351535998824,7.98041721765138,13.989749583818664,0.5718382797709349,0.8271884188915778
13,3,layer_03,30000,768,10.599868647204708,3.072672817917702,8.136854447552112,13.373741497964884,0.5556986874307289,0.8311630269442549
13,4,layer_04,30000,768,10.790143589078726,3.2159646129050063,8.174621291342866,12.872465734424376,0.5378175142638197,0.8328701969488177
13,5,layer_05,30000,768,10.916252875513663,3.347559161632387,8.176794028218728,12.495125913665047,0.5208087189602425,0.8344844844450368
13,6,layer_06,30000,768,10.625242764138422,3.403658863800028,8.106283247170074,12.060403150180166,0.5091471449282219,0.8404448641883453
13,7,layer_07,30000,768,10.46049011482213,3.416318649497504,8.04946011420179,11.807242516649726,0.5037488187082159,0.842592262270492
13,8,layer_08,30000,768,10.127523777700295,3.429539394792183,7.980126832161445,11.51596947644544,0.4955641219096663,0.8481316963284506
13,9,layer_09,30000,768,9.861458058908031,3.3999169277140786,7.892154247994515,11.311088059511556,0.4945079398338,0.8511735027430257
13,10,layer_10,30000,768,9.492430644358762,3.3418918955972567,7.764001735260722,11.051078649010265,0.4969486948365987,0.8560816056883684
13,11,layer_11,30000,768,9.270348032710825,3.311980376208239,7.654256618595007,10.811419170215393,0.4973703013151694,0.8591973731536755
13,12,layer_12,30000,768,9.146844887344932,3.2782179874667663,7.57653353460707,10.63728442832188,0.500588423012857,0.8605995424024316
42,0,layer_00,30000,768,10.140013314306843,2.759786040699179,5.136453012305129,9.450472506336297,0.5932335324283537,0.8164733381346915
42,1,layer_01,30000,768,11.011431452791252,2.941789820296109,7.545449620799089,14.82210953033449,0.5737897838809315,0.8144113127573133
42,2,layer_02,30000,768,11.458678185246395,3.1097353225455544,7.981870384593686,14.138883702911691,0.5557070555821582,0.8172516862588232
42,3,layer_03,30000,768,11.557811486573241,3.235311300189982,8.143428662856879,13.577746463054341,0.5409339546776581,0.8213029337174987
42,4,layer_04,30000,768,11.750832356851532,3.344994032468171,8.199785127089124,13.22906573565951,0.5283394580811149,0.8219265885663161
42,5,layer_05,30000,768,11.630146405530038,3.3950251669491545,8.2381579454722,12.811519547792235,0.5206712817248554,0.8252424882618348
42,6,layer_06,30000,768,11.465834711272525,3.455784381099657,8.19386860440637,12.459260886987465,0.5105378530026901,0.8289197190452731
42,7,layer_07,30000,768,11.279814539116874,3.4985457675727094,8.168327022241598,12.145851449404914,0.50174088225663,0.8322551085166079
42,8,layer_08,30000,768,10.986833202681815,3.508032248140097,8.107217270677502,11.869202904355076,0.49551810955917996,0.8361963895100647
42,9,layer_09,30000,768,10.765322350242421,3.511349713899818,8.017894373111924,11.642745813727192,0.4907732601856953,0.8391329153159442
42,10,layer_10,30000,768,10.307150940968652,3.428623918456644,7.898028928113491,11.377619752701687,0.4955082865844898,0.8444137298855507
42,11,layer_11,30000,768,10.175805165992546,3.3993790606214893,2.529330760972476,11.214281812465403,0.49733443417461837,0.8456812463734746
42,12,layer_12,30000,768,9.764805613341974,3.3217105940018175,7.66889808307839,10.953677967791029,0.502943070633882,0.8503827207942949
