layer_idx,mean_cos_principal_angles_frame_min,mean_cos_principal_angles_frame_mean,mean_cos_principal_angles_frame_max,mean_cos_principal_angles_frame_std,metric
0,0.9763199618302768,0.9832059518251713,0.9866807850137567,0.0059635272555556675,mean_cos_principal_angles_frame
1,0.9858817978035048,0.9890277269646749,0.9922469857807137,0.003183227517004366,mean_cos_principal_angles_frame
2,0.9895421197417672,0.990656375058975,0.9912747164966873,0.000966913031609915,mean_cos_principal_angles_frame
3,0.9910295406861349,0.9915467634750281,0.9925349652362074,0.0008561201219700498,mean_cos_principal_angles_frame
4,0.9904643835268658,0.9912910387995822,0.9928059658014184,0.0013137885548876263,mean_cos_principal_angles_frame
5,0.9906072424260656,0.9918257314765707,0.9932269395949398,0.0013193722020236227,mean_cos_principal_angles_frame
6,0.9901866032817488,0.9911292194662664,0.9920885697983448,0.0009510936764241664,mean_cos_principal_angles_frame
7,0.9793486746048832,0.9863700272157185,0.9910168360350204,0.00618589859708097,mean_cos_principal_angles_frame
8,0.923400714412708,0.937844667550717,0.9494110053374294,0.013241763896085529,mean_cos_principal_angles_frame
9,0.8980022877897211,0.9102970486834826,0.9242733381498864,0.013216000738197791,mean_cos_principal_angles_frame
10,0.8998879066422922,0.9124241484752641,0.9194260509943172,0.010881473012020434,mean_cos_principal_angles_frame
11,0.9406546753507036,0.9511438601263441,0.9611750878499424,0.010267868609446945,mean_cos_principal_angles_frame
12,0.8996578729726223,0.9419265015164862,0.9688880852581876,0.03706662634645433,mean_cos_principal_angles_frame
