seed,layer_idx,layer_name,mean_cos_principal_angles_frame,min_cos_principal_angles_frame,max_cos_principal_angles_frame,k,n_bio_frames,n_nonbio_frames
7,0,layer_00,0.9763199618302767,0.8067823395393835,0.9999712418719501,10,20000,10000
7,1,layer_01,0.9858817978035047,0.9021716362608593,0.9999276515237301,10,20000,10000
7,2,layer_02,0.9895421197417672,0.9389664687486141,0.999890691771237,10,20000,10000
7,3,layer_03,0.9925349652362074,0.9705415376341737,0.9998493750457744,10,20000,10000
7,4,layer_04,0.9928059658014184,0.9755325526496643,0.9998070348114487,10,20000,10000
7,5,layer_05,0.9932269395949398,0.9798641075512944,0.9997605585699308,10,20000,10000
7,6,layer_06,0.9920885697983447,0.9723974004137885,0.9997233985424837,10,20000,10000
7,7,layer_07,0.9910168360350203,0.9723758428094119,0.9996951804532953,10,20000,10000
7,8,layer_08,0.9494110053374294,0.5520516136614496,0.9996963755211715,10,20000,10000
7,9,layer_09,0.9242733381498865,0.3065352320689557,0.9996785176992842,10,20000,10000
7,10,layer_10,0.9194260509943172,0.2634941828463744,0.9996617271752094,10,20000,10000
7,11,layer_11,0.9611750878499425,0.6885200118430137,0.9996668581154478,10,20000,10000
7,12,layer_12,0.9688880852581876,0.7809593149410958,0.9996676958881232,10,20000,10000
