seed,layer_idx,layer_name,mean_cos_principal_angles_frame,min_cos_principal_angles_frame,max_cos_principal_angles_frame,k,n_bio_frames,n_nonbio_frames
7,0,layer_00,0.9763199618302768,0.8067823395393835,0.99997124187195,10,20000,10000
7,1,layer_01,0.9858817978035048,0.9021716362608592,0.99992765152373,10,20000,10000
7,2,layer_02,0.9895421197417672,0.938966468748614,0.999890691771237,10,20000,10000
7,3,layer_03,0.9925349652362074,0.9705415376341736,0.9998493750457744,10,20000,10000
7,4,layer_04,0.9928059658014184,0.9755325526496644,0.9998070348114488,10,20000,10000
7,5,layer_05,0.9932269395949398,0.9798641075512944,0.9997605585699308,10,20000,10000
7,6,layer_06,0.9920885697983448,0.9723974004137884,0.9997233985424836,10,20000,10000
7,7,layer_07,0.9910168360350204,0.972375842809412,0.9996951804532952,10,20000,10000
7,8,layer_08,0.9494110053374294,0.5520516136614496,0.9996963755211716,10,20000,10000
7,9,layer_09,0.9242733381498864,0.3065352320689557,0.9996785176992842,10,20000,10000
7,10,layer_10,0.9194260509943172,0.2634941828463744,0.9996617271752094,10,20000,10000
7,11,layer_11,0.9611750878499424,0.6885200118430137,0.9996668581154478,10,20000,10000
7,12,layer_12,0.9688880852581876,0.7809593149410958,0.9996676958881232,10,20000,10000
13,0,layer_00,0.9866171086314806,0.9111512189777212,0.9999769429179184,10,20000,10000
13,1,layer_01,0.9889543973098064,0.9357091236498328,0.9999481704183264,10,20000,10000
13,2,layer_02,0.9911522889384704,0.968335929393234,0.999907593135645,10,20000,10000
13,3,layer_03,0.991075784502742,0.9660340636587648,0.9998751541030092,10,20000,10000
13,4,layer_04,0.9904643835268658,0.961694177405476,0.9998221267962216,10,20000,10000
13,5,layer_05,0.9906072424260656,0.963986399971386,0.9997732425059332,10,20000,10000
13,6,layer_06,0.9901866032817488,0.9577033507141356,0.99973857780279,10,20000,10000
13,7,layer_07,0.9793486746048832,0.8508779039339834,0.9997113822849758,10,20000,10000
13,8,layer_08,0.923400714412708,0.2941803262597838,0.9997401267884172,10,20000,10000
13,9,layer_09,0.8980022877897211,0.0506624650396946,0.9997423413186782,10,20000,10000
13,10,layer_10,0.8998879066422922,0.0754289174341448,0.999735016482764,10,20000,10000
13,11,layer_11,0.9406546753507036,0.5306023924280769,0.9997688549486786,10,20000,10000
13,12,layer_12,0.8996578729726223,0.1387801857713819,0.9997638647559092,10,20000,10000
42,0,layer_00,0.9866807850137567,0.9107966853131675,0.9999736527008367,10,20000,10000
42,1,layer_01,0.9922469857807137,0.9673060541646532,0.9999375357590702,10,20000,10000
42,2,layer_02,0.9912747164966873,0.9551937804265531,0.9998956601967852,10,20000,10000
42,3,layer_03,0.9910295406861349,0.9561861647560945,0.9998609924454325,10,20000,10000
42,4,layer_04,0.9906027670704626,0.9578749703955706,0.9998214888827504,10,20000,10000
42,5,layer_05,0.9916430124087066,0.9710904139385822,0.9997881989264136,10,20000,10000
42,6,layer_06,0.9911124853187058,0.9705395219732178,0.9997486872852515,10,20000,10000
42,7,layer_07,0.988744571007252,0.9451543953426992,0.9997091705374687,10,20000,10000
42,8,layer_08,0.9407222829020137,0.4674263077421128,0.9997469736347813,10,20000,10000
42,9,layer_09,0.9086155201108405,0.161826571147756,0.9997479949383746,10,20000,10000
42,10,layer_10,0.9179584877891825,0.2599575043732707,0.9997294568283662,10,20000,10000
42,11,layer_11,0.9516018171783862,0.6248311483969478,0.9997259449332591,10,20000,10000
42,12,layer_12,0.9572335463186485,0.7645040122991851,0.9997646305622243,10,20000,10000
