model,layer,iter,class_acc,class_majority_baseline
eat_bio,5,1,0.9073333333333333,0.6666666666666666
eat_bio,5,2,0.9043333333333333,0.6666666666666666
eat_bio,5,3,0.8881666666666667,0.6666666666666666
eat_bio,5,4,0.8963333333333333,0.6666666666666666
eat_bio,5,5,0.899,0.6666666666666666
eat_bio,5,6,0.8908333333333334,0.6666666666666666
eat_bio,5,7,0.8811666666666667,0.6666666666666666
eat_bio,5,8,0.8848333333333334,0.6666666666666666
eat_bio,5,9,0.8873333333333333,0.6666666666666666
eat_bio,5,10,0.8838333333333334,0.6666666666666666
eat_bio,5,11,0.8793333333333333,0.6666666666666666
eat_bio,5,12,0.8775,0.6666666666666666
eat_bio,5,13,0.8798333333333334,0.6666666666666666
eat_bio,5,14,0.8665,0.6666666666666666
eat_bio,7,0,0.9323333333333333,0.6666666666666666
eat_bio,7,1,0.9083333333333333,0.6666666666666666
eat_bio,7,2,0.9008333333333334,0.6666666666666666
eat_bio,7,3,0.888,0.6666666666666666
eat_bio,7,4,0.8845,0.6666666666666666
eat_bio,7,5,0.8765,0.6666666666666666
eat_bio,7,6,0.875,0.6666666666666666
eat_bio,7,7,0.8668333333333333,0.6666666666666666
eat_bio,7,8,0.8695,0.6666666666666666
eat_bio,7,9,0.864,0.6666666666666666
eat_bio,7,10,0.8491666666666666,0.6666666666666666
eat_bio,7,11,0.847,0.6666666666666666
eat_bio,7,12,0.8358333333333333,0.6666666666666666
eat_bio,7,13,0.8291666666666667,0.6666666666666666
eat_bio,7,14,0.8088333333333333,0.6666666666666666
eat_bio,9,0,0.913,0.6666666666666666
eat_bio,9,1,0.8955,0.6666666666666666
eat_bio,9,2,0.888,0.6666666666666666
eat_bio,9,3,0.878,0.6666666666666666
eat_bio,9,4,0.8708333333333333,0.6666666666666666
eat_bio,9,5,0.8655,0.6666666666666666
eat_bio,9,6,0.8641666666666666,0.6666666666666666
eat_bio,9,7,0.858,0.6666666666666666
eat_bio,9,8,0.8563333333333333,0.6666666666666666
eat_bio,9,9,0.8565,0.6666666666666666
eat_bio,9,10,0.8538333333333333,0.6666666666666666
eat_bio,9,11,0.8511666666666666,0.6666666666666666
eat_bio,9,12,0.8425,0.6666666666666666
eat_bio,9,13,0.8348333333333333,0.6666666666666666
eat_bio,9,14,0.8211666666666667,0.6666666666666666
eat_bio,12,0,0.8845,0.6666666666666666
eat_bio,12,1,0.8648333333333333,0.6666666666666666
eat_bio,12,2,0.8566666666666667,0.6666666666666666
eat_bio,12,3,0.8536666666666667,0.6666666666666666
eat_bio,12,4,0.8533333333333334,0.6666666666666666
eat_bio,12,5,0.8486666666666667,0.6666666666666666
eat_bio,12,6,0.8408333333333333,0.6666666666666666
eat_bio,12,7,0.8381666666666666,0.6666666666666666
eat_bio,12,8,0.8321666666666667,0.6666666666666666
eat_bio,12,9,0.831,0.6666666666666666
eat_bio,12,10,0.8338333333333333,0.6666666666666666
eat_bio,12,11,0.8245,0.6666666666666666
eat_bio,12,12,0.8213333333333334,0.6666666666666666
eat_bio,12,13,0.8246666666666667,0.6666666666666666
eat_bio,12,14,0.8065,0.6666666666666666
sl_eat_all_ssl_all,5,0,0.89,0.6666666666666666
sl_eat_all_ssl_all,5,1,0.8811666666666667,0.6666666666666666
sl_eat_all_ssl_all,5,2,0.8678333333333333,0.6666666666666666
sl_eat_all_ssl_all,5,3,0.8631666666666666,0.6666666666666666
sl_eat_all_ssl_all,5,4,0.8671666666666666,0.6666666666666666
sl_eat_all_ssl_all,5,5,0.8621666666666666,0.6666666666666666
sl_eat_all_ssl_all,5,6,0.8556666666666667,0.6666666666666666
sl_eat_all_ssl_all,5,7,0.8473333333333334,0.6666666666666666
sl_eat_all_ssl_all,5,8,0.8471666666666666,0.6666666666666666
sl_eat_all_ssl_all,5,9,0.85,0.6666666666666666
sl_eat_all_ssl_all,5,10,0.8466666666666667,0.6666666666666666
sl_eat_all_ssl_all,5,11,0.8415,0.6666666666666666
sl_eat_all_ssl_all,5,12,0.837,0.6666666666666666
sl_eat_all_ssl_all,5,13,0.832,0.6666666666666666
sl_eat_all_ssl_all,5,14,0.8171666666666667,0.6666666666666666
sl_eat_all_ssl_all,7,0,0.9353333333333333,0.6666666666666666
sl_eat_all_ssl_all,7,1,0.9198333333333333,0.6666666666666666
sl_eat_all_ssl_all,7,2,0.9116666666666666,0.6666666666666666
sl_eat_all_ssl_all,7,3,0.8836666666666667,0.6666666666666666
sl_eat_all_ssl_all,7,4,0.8888333333333334,0.6666666666666666
sl_eat_all_ssl_all,7,5,0.8795,0.6666666666666666
sl_eat_all_ssl_all,7,6,0.8768333333333334,0.6666666666666666
sl_eat_all_ssl_all,7,7,0.8673333333333333,0.6666666666666666
sl_eat_all_ssl_all,7,8,0.8625,0.6666666666666666
sl_eat_all_ssl_all,7,9,0.8676666666666667,0.6666666666666666
sl_eat_all_ssl_all,7,10,0.8545,0.6666666666666666
sl_eat_all_ssl_all,7,11,0.8483333333333334,0.6666666666666666
sl_eat_all_ssl_all,7,12,0.8355,0.6666666666666666
sl_eat_all_ssl_all,7,13,0.8386666666666667,0.6666666666666666
sl_eat_all_ssl_all,7,14,0.8258333333333333,0.6666666666666666
sl_eat_all_ssl_all,9,0,0.9408333333333333,0.6666666666666666
sl_eat_all_ssl_all,9,1,0.9061666666666667,0.6666666666666666
sl_eat_all_ssl_all,9,2,0.8961666666666667,0.6666666666666666
sl_eat_all_ssl_all,9,3,0.8903333333333333,0.6666666666666666
sl_eat_all_ssl_all,9,4,0.8833333333333333,0.6666666666666666
sl_eat_all_ssl_all,9,5,0.87,0.6666666666666666
sl_eat_all_ssl_all,9,6,0.8678333333333333,0.6666666666666666
sl_eat_all_ssl_all,9,7,0.8656666666666667,0.6666666666666666
sl_eat_all_ssl_all,9,8,0.8526666666666667,0.6666666666666666
sl_eat_all_ssl_all,9,9,0.857,0.6666666666666666
sl_eat_all_ssl_all,9,10,0.8491666666666666,0.6666666666666666
sl_eat_all_ssl_all,9,11,0.847,0.6666666666666666
sl_eat_all_ssl_all,9,12,0.8356666666666667,0.6666666666666666
sl_eat_all_ssl_all,9,13,0.8195,0.6666666666666666
sl_eat_all_ssl_all,9,14,0.8145,0.6666666666666666
sl_eat_all_ssl_all,12,0,0.9345,0.6666666666666666
sl_eat_all_ssl_all,12,1,0.914,0.6666666666666666
sl_eat_all_ssl_all,12,2,0.9138333333333334,0.6666666666666666
sl_eat_all_ssl_all,12,3,0.8965,0.6666666666666666
sl_eat_all_ssl_all,12,4,0.8966666666666666,0.6666666666666666
sl_eat_all_ssl_all,12,5,0.8946666666666667,0.6666666666666666
sl_eat_all_ssl_all,12,6,0.8873333333333333,0.6666666666666666
sl_eat_all_ssl_all,12,7,0.881,0.6666666666666666
sl_eat_all_ssl_all,12,8,0.8788333333333334,0.6666666666666666
sl_eat_all_ssl_all,12,9,0.8768333333333334,0.6666666666666666
sl_eat_all_ssl_all,12,10,0.8708333333333333,0.6666666666666666
sl_eat_all_ssl_all,12,11,0.8718333333333333,0.6666666666666666
sl_eat_all_ssl_all,12,12,0.862,0.6666666666666666
sl_eat_all_ssl_all,12,13,0.8593333333333333,0.6666666666666666
sl_eat_all_ssl_all,12,14,0.8453333333333334,0.6666666666666666
sl_eat_bio_ssl_all,5,0,0.9168333333333333,0.6666666666666666
sl_eat_bio_ssl_all,5,1,0.9065,0.6666666666666666
sl_eat_bio_ssl_all,5,2,0.8946666666666667,0.6666666666666666
sl_eat_bio_ssl_all,5,3,0.8901666666666667,0.6666666666666666
sl_eat_bio_ssl_all,5,4,0.8865,0.6666666666666666
sl_eat_bio_ssl_all,5,5,0.8806666666666667,0.6666666666666666
sl_eat_bio_ssl_all,5,6,0.8723333333333333,0.6666666666666666
sl_eat_bio_ssl_all,5,7,0.8646666666666667,0.6666666666666666
sl_eat_bio_ssl_all,5,8,0.848,0.6666666666666666
sl_eat_bio_ssl_all,5,9,0.8543333333333333,0.6666666666666666
sl_eat_bio_ssl_all,5,10,0.8438333333333333,0.6666666666666666
sl_eat_bio_ssl_all,5,11,0.8278333333333333,0.6666666666666666
sl_eat_bio_ssl_all,5,12,0.8148333333333333,0.6666666666666666
sl_eat_bio_ssl_all,5,13,0.8025,0.6666666666666666
sl_eat_bio_ssl_all,5,14,0.8038333333333333,0.6666666666666666
sl_eat_bio_ssl_all,7,0,0.9563333333333334,0.6666666666666666
sl_eat_bio_ssl_all,7,1,0.9226666666666666,0.6666666666666666
sl_eat_bio_ssl_all,7,2,0.9181666666666667,0.6666666666666666
sl_eat_bio_ssl_all,7,3,0.9105,0.6666666666666666
sl_eat_bio_ssl_all,7,4,0.8963333333333333,0.6666666666666666
sl_eat_bio_ssl_all,7,5,0.8853333333333333,0.6666666666666666
sl_eat_bio_ssl_all,7,6,0.8806666666666667,0.6666666666666666
sl_eat_bio_ssl_all,7,7,0.8745,0.6666666666666666
sl_eat_bio_ssl_all,7,8,0.8603333333333333,0.6666666666666666
sl_eat_bio_ssl_all,7,9,0.8615,0.6666666666666666
sl_eat_bio_ssl_all,7,10,0.8326666666666667,0.6666666666666666
sl_eat_bio_ssl_all,7,11,0.8246666666666667,0.6666666666666666
sl_eat_bio_ssl_all,7,12,0.7901666666666667,0.6666666666666666
sl_eat_bio_ssl_all,7,13,0.7765,0.6666666666666666
sl_eat_bio_ssl_all,7,14,0.768,0.6666666666666666
sl_eat_bio_ssl_all,9,0,0.9806666666666667,0.6666666666666666
sl_eat_bio_ssl_all,9,1,0.9516666666666667,0.6666666666666666
sl_eat_bio_ssl_all,9,2,0.9216666666666666,0.6666666666666666
sl_eat_bio_ssl_all,9,3,0.9186666666666666,0.6666666666666666
sl_eat_bio_ssl_all,9,4,0.9093333333333333,0.6666666666666666
sl_eat_bio_ssl_all,9,5,0.8935,0.6666666666666666
sl_eat_bio_ssl_all,9,6,0.8918333333333334,0.6666666666666666
sl_eat_bio_ssl_all,9,7,0.8795,0.6666666666666666
sl_eat_bio_ssl_all,9,8,0.869,0.6666666666666666
sl_eat_bio_ssl_all,9,9,0.8763333333333333,0.6666666666666666
sl_eat_bio_ssl_all,9,10,0.8545,0.6666666666666666
sl_eat_bio_ssl_all,9,11,0.8428333333333333,0.6666666666666666
sl_eat_bio_ssl_all,9,12,0.8333333333333334,0.6666666666666666
sl_eat_bio_ssl_all,9,13,0.8143333333333334,0.6666666666666666
sl_eat_bio_ssl_all,9,14,0.8185,0.6666666666666666
sl_eat_bio_ssl_all,12,0,0.9718333333333333,0.6666666666666666
sl_eat_bio_ssl_all,12,1,0.9396666666666667,0.6666666666666666
sl_eat_bio_ssl_all,12,2,0.9188333333333333,0.6666666666666666
sl_eat_bio_ssl_all,12,3,0.9076666666666666,0.6666666666666666
sl_eat_bio_ssl_all,12,4,0.8953333333333333,0.6666666666666666
sl_eat_bio_ssl_all,12,5,0.88,0.6666666666666666
sl_eat_bio_ssl_all,12,6,0.8745,0.6666666666666666
sl_eat_bio_ssl_all,12,7,0.8663333333333333,0.6666666666666666
sl_eat_bio_ssl_all,12,8,0.8621666666666666,0.6666666666666666
sl_eat_bio_ssl_all,12,9,0.8411666666666666,0.6666666666666666
sl_eat_bio_ssl_all,12,10,0.8418333333333333,0.6666666666666666
sl_eat_bio_ssl_all,12,11,0.8383333333333334,0.6666666666666666
sl_eat_bio_ssl_all,12,12,0.8236666666666667,0.6666666666666666
sl_eat_bio_ssl_all,12,13,0.8245,0.6666666666666666
sl_eat_bio_ssl_all,12,14,0.8035,0.6666666666666666
random_init_eat_seed42,5,0,0.8518333333333333,0.6666666666666666
random_init_eat_seed42,5,1,0.837,0.6666666666666666
random_init_eat_seed42,5,2,0.8503333333333334,0.6666666666666666
random_init_eat_seed42,5,3,0.8431666666666666,0.6666666666666666
random_init_eat_seed42,5,4,0.8385,0.6666666666666666
random_init_eat_seed42,5,5,0.8356666666666667,0.6666666666666666
random_init_eat_seed42,5,6,0.8375,0.6666666666666666
random_init_eat_seed42,5,7,0.8281666666666667,0.6666666666666666
random_init_eat_seed42,5,8,0.8315,0.6666666666666666
random_init_eat_seed42,5,9,0.8346666666666667,0.6666666666666666
random_init_eat_seed42,5,10,0.8311666666666667,0.6666666666666666
random_init_eat_seed42,5,11,0.8376666666666667,0.6666666666666666
random_init_eat_seed42,5,12,0.8251666666666667,0.6666666666666666
random_init_eat_seed42,5,13,0.8343333333333334,0.6666666666666666
random_init_eat_seed42,5,14,0.8185,0.6666666666666666
random_init_eat_seed42,7,0,0.8511666666666666,0.6666666666666666
random_init_eat_seed42,7,1,0.8371666666666666,0.6666666666666666
random_init_eat_seed42,7,2,0.8501666666666666,0.6666666666666666
random_init_eat_seed42,7,3,0.8436666666666667,0.6666666666666666
random_init_eat_seed42,7,4,0.8376666666666667,0.6666666666666666
random_init_eat_seed42,7,5,0.84,0.6666666666666666
random_init_eat_seed42,7,6,0.8391666666666666,0.6666666666666666
random_init_eat_seed42,7,7,0.8343333333333334,0.6666666666666666
random_init_eat_seed42,7,8,0.8371666666666666,0.6666666666666666
random_init_eat_seed42,7,9,0.8413333333333334,0.6666666666666666
random_init_eat_seed42,7,10,0.8388333333333333,0.6666666666666666
random_init_eat_seed42,7,11,0.8418333333333333,0.6666666666666666
random_init_eat_seed42,7,12,0.8295,0.6666666666666666
random_init_eat_seed42,7,13,0.838,0.6666666666666666
random_init_eat_seed42,7,14,0.8211666666666667,0.6666666666666666
random_init_eat_seed42,9,0,0.8573333333333333,0.6666666666666666
random_init_eat_seed42,9,1,0.8425,0.6666666666666666
random_init_eat_seed42,9,2,0.8508333333333333,0.6666666666666666
random_init_eat_seed42,9,3,0.8366666666666667,0.6666666666666666
random_init_eat_seed42,9,4,0.8433333333333334,0.6666666666666666
random_init_eat_seed42,9,5,0.8371666666666666,0.6666666666666666
random_init_eat_seed42,9,6,0.837,0.6666666666666666
random_init_eat_seed42,9,7,0.8326666666666667,0.6666666666666666
random_init_eat_seed42,9,8,0.837,0.6666666666666666
random_init_eat_seed42,9,9,0.8456666666666667,0.6666666666666666
random_init_eat_seed42,9,10,0.838,0.6666666666666666
random_init_eat_seed42,9,11,0.8413333333333334,0.6666666666666666
random_init_eat_seed42,9,12,0.8295,0.6666666666666666
random_init_eat_seed42,9,13,0.838,0.6666666666666666
random_init_eat_seed42,9,14,0.8215,0.6666666666666666
random_init_eat_seed42,12,0,0.864,0.6666666666666666
random_init_eat_seed42,12,1,0.8468333333333333,0.6666666666666666
random_init_eat_seed42,12,2,0.8553333333333333,0.6666666666666666
random_init_eat_seed42,12,3,0.8428333333333333,0.6666666666666666
random_init_eat_seed42,12,4,0.8446666666666667,0.6666666666666666
random_init_eat_seed42,12,5,0.8385,0.6666666666666666
random_init_eat_seed42,12,6,0.8356666666666667,0.6666666666666666
random_init_eat_seed42,12,7,0.8335,0.6666666666666666
random_init_eat_seed42,12,8,0.8363333333333334,0.6666666666666666
random_init_eat_seed42,12,9,0.841,0.6666666666666666
random_init_eat_seed42,12,10,0.8395,0.6666666666666666
random_init_eat_seed42,12,11,0.8455,0.6666666666666666
random_init_eat_seed42,12,12,0.8353333333333334,0.6666666666666666
random_init_eat_seed42,12,13,0.8416666666666667,0.6666666666666666
random_init_eat_seed42,12,14,0.823,0.6666666666666666
