model,layer_idx,top1_share,top1_vs_bioaxis_abs_cos,cohens_d_top1,cohens_d_bioaxis
eat_all,0,0.35312585669192076,0.15848796227652104,0.17905695722678058,0.45266878513304654
eat_all,1,0.11067976976542575,0.09044222943818472,0.17568752018654105,0.8957609080058194
eat_all,2,0.0498344809942677,0.263702507849334,0.3495977558207955,1.0867919487111206
eat_all,3,0.04789607802054678,0.023227675465728168,-0.031916184384451256,1.2592259096259653
eat_all,4,0.04593971333917724,0.043416037819884984,0.07633881157893277,1.3308207823231044
eat_all,5,0.04512085607131352,0.06129054564186834,-0.10261146279299267,1.5618319800230194
eat_all,6,0.04278470285305735,0.10700825329429393,0.14968736313635686,1.6964421544628758
eat_all,7,0.039414041046109044,0.08593159910867604,0.13989696041966668,1.8904142849454892
eat_all,8,0.052529231480357326,0.014129177089288389,0.032936849736760025,1.7043725331658566
eat_all,9,0.04945219170066254,0.023719440824083934,0.07293425572777214,1.9141219622913885
eat_all,10,0.05419459441798488,0.09372410039602241,-0.28679389367059943,1.9558570113349238
eat_all,11,0.057658825109424154,0.07978938849375695,0.19099089500316774,1.7871585318493168
eat_all,12,0.26990943424805264,0.18048282075778652,0.08060669002834575,1.481788987334293
eat_bio,0,0.20971502063238115,0.30022214689876126,-0.27534303138107236,0.4430454724493389
eat_bio,1,0.09982823326482002,0.43308621014100335,-0.3342151727978327,0.8136246014108759
eat_bio,2,0.07029429480181926,0.004378549384566076,0.014541104951474395,1.0142379716612373
eat_bio,3,0.05498120916879421,0.027253638081465737,-0.10745762825365039,1.0807988470514331
eat_bio,4,0.050009768381445385,0.08683908341145842,0.25654535859734245,1.1929017511505866
eat_bio,5,0.04482138469839487,0.0966467497323948,-0.2603242906323542,1.3312682081978418
eat_bio,6,0.047017652520272984,0.11113853612798172,-0.3421846211721717,1.4280089918888237
eat_bio,7,0.04641775143519192,0.0714185428161154,0.2552116529588491,1.575336548862642
eat_bio,8,0.0568748830244637,0.025458733250185404,0.10597130866218898,1.5000169009990938
eat_bio,9,0.053585727140068894,0.02683750292275977,0.11800162514943853,1.5080837563399483
eat_bio,10,0.05240656996367406,0.11910000436833683,-0.28815447037740316,1.4603306419412536
eat_bio,11,0.06011662650573313,0.25090322956648964,-0.32265565904334437,1.2914870910969247
eat_bio,12,0.1595955713880236,0.3222182539052132,-0.2039841901609206,0.9445282822199631
sl_eat_all_ssl_all,0,0.16127250770419202,0.6649327997830198,0.21740518177189788,0.4423426455609094
sl_eat_all_ssl_all,1,0.08434055705771556,0.337257526458556,0.18209147026124972,0.7744643017390392
sl_eat_all_ssl_all,2,0.06122593644552145,0.1990116580313674,-0.1562604319656175,1.0304875925395893
sl_eat_all_ssl_all,3,0.05025090970286946,0.2692808129273817,0.25967631072952163,1.007584970610646
sl_eat_all_ssl_all,4,0.05399078988822171,0.07404555564595079,0.04887744533470715,1.0587309916981835
sl_eat_all_ssl_all,5,0.0580914557431382,0.08526237916325413,-0.05529888703689749,1.2343096200255634
sl_eat_all_ssl_all,6,0.05481731254790632,0.15147867399635576,0.10666609007442057,1.3155603868948007
sl_eat_all_ssl_all,7,0.05152819088913833,0.08403070200729099,0.05957553027078593,1.5388097888455003
sl_eat_all_ssl_all,8,0.05697139250918477,0.09473503146325174,-0.06872465169707624,1.5455112320767765
sl_eat_all_ssl_all,9,0.044543205693775345,0.25790164553581796,0.2943563792799452,1.4692251673248071
sl_eat_all_ssl_all,10,0.06625418278803491,0.12423533397148412,0.30865332191971445,1.5852488543793914
