model_a,model_b,same_layer_cka_mean,same_layer_cka_min,same_layer_cka_min_layer,same_layer_cka_max,same_layer_cka_max_layer
eat_all,eat_bio,0.9201349600623472,0.7404656645269438,12,0.9932968586606192,0
eat_all,sl_eat_all_ssl_all,0.8037810928026683,0.554225474151322,12,0.9779120477783686,0
eat_all,sl_eat_bio_ssl_all,0.8087390039395156,0.43486305577479817,12,0.9962240153040637,0
eat_bio,sl_eat_all_ssl_all,0.821633032295281,0.5755986312432858,12,0.9875374096166548,0
eat_bio,sl_eat_bio_ssl_all,0.7711826594792941,0.43780073706664796,12,0.9982505034058367,0
sl_eat_all_ssl_all,sl_eat_bio_ssl_all,0.725841754813994,0.41240855432330903,12,0.9901555926132457,0
