model,layer,perm_b,abs_cos
eat_all,7,0,0.0393861020118717
eat_all,7,1,0.11372774491882545
eat_all,7,2,0.08139016204088238
eat_all,7,3,0.11493198040401094
eat_all,7,4,0.01295427617678422
eat_all,7,5,0.033224813081328956
eat_all,7,6,0.2635340314760395
eat_all,7,7,0.13297999717218187
eat_all,7,8,0.19588023132294652
eat_all,7,9,0.2249072505325168
eat_all,7,10,0.16639540766020242
eat_all,7,11,0.0474147106771999
eat_all,7,12,0.28282722810302247
eat_all,7,13,0.013840050040813916
eat_all,7,14,0.2136369046454766
eat_all,7,15,0.2631758459235556
eat_all,7,16,0.19412707309479485
eat_all,7,17,0.01564484901551029
eat_all,7,18,0.06003198154688342
eat_all,7,19,0.1554945681002135
eat_all,7,20,0.10058355823244747
eat_all,7,21,0.0665869171052241
eat_all,7,22,0.03451086043586173
eat_all,7,23,0.013084911647024224
eat_all,7,24,0.04335343511379723
eat_all,7,25,0.08986120733927576
eat_all,7,26,0.1056803401186169
eat_all,7,27,0.017875451551545185
eat_all,7,28,0.18765247012318903
eat_all,7,29,0.1110504617375007
eat_all,7,30,0.020897137676025634
eat_all,7,31,0.11084105204721327
eat_all,7,32,0.13889962880205198
eat_all,7,33,0.06403008067900218
eat_all,7,34,0.033910011160260496
eat_all,7,35,0.08615593112826636
eat_all,7,36,0.18279880071814275
eat_all,7,37,0.23289497264390058
eat_all,7,38,0.1922440223498702
eat_all,7,39,0.2602285163363403
eat_all,7,40,0.21455133342475546
eat_all,7,41,0.17309911830854155
eat_all,7,42,0.04194454666197017
eat_all,7,43,0.02921023342864011
eat_all,7,44,0.008905332116577043
eat_all,7,45,0.011079886018992855
eat_all,7,46,0.3446542353540729
eat_all,7,47,0.1020783042829015
eat_all,7,48,0.11335970713694518
eat_all,7,49,0.19857698165886517
eat_all,7,50,0.09132640975298205
eat_all,7,51,0.1343387680931726
eat_all,7,52,0.011423045662679043
eat_all,7,53,0.22635503018792785
eat_all,7,54,0.13363542176418083
eat_all,7,55,0.12923190249881258
eat_all,7,56,0.046843106104787875
eat_all,7,57,0.009706127617401077
eat_all,7,58,0.24119462462407407
eat_all,7,59,0.04397351979920482
eat_all,7,60,0.3213372038001299
eat_all,7,61,0.041322735998416175
eat_all,7,62,0.4542236916720512
eat_all,7,63,0.06371403923052488
eat_all,7,64,0.014377856193477702
eat_all,7,65,0.07777219542989373
eat_all,7,66,0.02363946272108015
eat_all,7,67,0.14960221721123854
eat_all,7,68,0.13583581497385555
eat_all,7,69,0.04927954346933784
eat_all,7,70,0.07140767321537171
eat_all,7,71,0.014366834438798597
eat_all,7,72,0.07001626796775068
eat_all,7,73,0.07038079570034823
eat_all,7,74,0.05380008470927838
eat_all,7,75,0.493470056628538
eat_all,7,76,0.37118201774355913
eat_all,7,77,0.3444427304532785
eat_all,7,78,0.13134065605524936
eat_all,7,79,0.23798292095631873
eat_all,7,80,0.12427560559123696
eat_all,7,81,0.08959045043872688
eat_all,7,82,0.12290720285716174
eat_all,7,83,0.042408459756909024
eat_all,7,84,0.018969467225319638
eat_all,7,85,0.2080900385997901
eat_all,7,86,0.0948411639560244
eat_all,7,87,0.007680741517481116
eat_all,7,88,0.208278002415001
eat_all,7,89,0.14252741771275648
eat_all,7,90,0.24088162784356806
eat_all,7,91,0.2322827260481653
eat_all,7,92,0.19373708335685214
eat_all,7,93,0.14579629868301106
eat_all,7,94,0.019207512477931756
eat_all,7,95,0.0704479909445348
eat_all,7,96,0.14634443118900228
eat_all,7,97,0.007618490489804236
eat_all,7,98,0.1450004047333276
eat_all,7,99,0.1226976786024905
eat_all,7,100,0.060811610367838984
eat_all,7,101,0.12547723446376005
eat_all,7,102,0.01783148998885458
eat_all,7,103,0.10811251754589721
eat_all,7,104,0.12809074677363694
eat_all,7,105,0.03704639107912576
eat_all,7,106,0.11380573460162823
eat_all,7,107,0.16793274441549874
eat_all,7,108,0.27471574184341696
eat_all,7,109,0.03722642206149055
eat_all,7,110,0.0689493947141718
eat_all,7,111,0.1502142084581202
eat_all,7,112,0.11497916153079903
eat_all,7,113,0.1667289720161437
eat_all,7,114,0.22826456899514014
eat_all,7,115,0.03162932577507357
eat_all,7,116,0.07054147266354978
eat_all,7,117,0.08342433019892091
eat_all,7,118,0.016679349901223935
eat_all,7,119,0.2027915990940509
eat_all,7,120,0.23553879394980562
eat_all,7,121,0.11981219286258714
eat_all,7,122,0.10333498565832473
eat_all,7,123,0.07453282484096319
eat_all,7,124,0.2708086621299241
eat_all,7,125,0.15693449072012094
eat_all,7,126,0.34159488749655303
eat_all,7,127,0.013292895848322607
eat_all,7,128,0.021829703703190664
eat_all,7,129,0.17519396170236506
eat_all,7,130,0.002612916181660042
eat_all,7,131,0.1455608450270081
eat_all,7,132,0.17220791835107324
eat_all,7,133,0.1316305135693487
eat_all,7,134,0.0005858983445577198
eat_all,7,135,0.2905200384350725
eat_all,7,136,0.03722866555921022
eat_all,7,137,0.08138168333998061
eat_all,7,138,0.2657184819730742
eat_all,7,139,0.2879245457840638
eat_all,7,140,0.26390113311424673
eat_all,7,141,0.02771115477840949
eat_all,7,142,0.07792412526719476
eat_all,7,143,0.04604555130047224
eat_all,7,144,0.18439278524268712
eat_all,7,145,0.034007603574319895
eat_all,7,146,0.09993754681254315
eat_all,7,147,0.06990637764141751
eat_all,7,148,0.09279318708862797
eat_all,7,149,0.011557998812019094
eat_all,7,150,0.19356196586614433
eat_all,7,151,0.20089295391761
eat_all,7,152,0.34288753121100707
eat_all,7,153,0.19340308299354372
eat_all,7,154,0.12929407462876716
eat_all,7,155,0.35502208238610033
eat_all,7,156,0.06872434637416028
eat_all,7,157,0.12317879269646911
eat_all,7,158,0.019252689017527833
eat_all,7,159,0.010015141523106567
eat_all,7,160,0.10191838375752942
eat_all,7,161,0.15522251854054098
eat_all,7,162,0.07964189277069196
eat_all,7,163,0.06557009829703234
eat_all,7,164,0.039346041451075224
eat_all,7,165,0.15139974998786734
eat_all,7,166,0.11693960313111235
eat_all,7,167,0.1805756750828301
eat_all,7,168,0.25854384803843966
eat_all,7,169,0.13241552638300583
eat_all,7,170,0.13608310775032043
eat_all,7,171,0.01780979880275106
eat_all,7,172,0.04026317332963829
eat_all,7,173,0.14583621159390303
eat_all,7,174,0.0584243090542631
eat_all,7,175,0.15607424320310365
eat_all,7,176,0.06864024333208114
eat_all,7,177,0.14402752275551176
