model,layer_idx,level,group_a,group_b,k,mean_cos_principal_angles
sl_eat_bio_ssl_all,0,order,Passeriformes,other-Aves,10,0.9105582688277349
sl_eat_bio_ssl_all,1,class,Aves,Mammalia,10,0.713940144318119
sl_eat_bio_ssl_all,1,order,Passeriformes,other-Aves,10,0.9585748606947492
sl_eat_bio_ssl_all,2,class,Aves,Mammalia,10,0.7214569131508689
sl_eat_bio_ssl_all,2,order,Passeriformes,other-Aves,10,0.9026737808335984
sl_eat_bio_ssl_all,3,class,Aves,Mammalia,10,0.655097445419622
sl_eat_bio_ssl_all,3,order,Passeriformes,other-Aves,10,0.8755501146254712
sl_eat_bio_ssl_all,4,class,Aves,Mammalia,10,0.6773475723335447
sl_eat_bio_ssl_all,4,order,Passeriformes,other-Aves,10,0.8763039360834881
sl_eat_bio_ssl_all,5,class,Aves,Mammalia,10,0.5944988089176689
sl_eat_bio_ssl_all,5,order,Passeriformes,other-Aves,10,0.819002431453937
sl_eat_bio_ssl_all,6,class,Aves,Mammalia,10,0.4680904076473814
sl_eat_bio_ssl_all,6,order,Passeriformes,other-Aves,10,0.8184326867541809
sl_eat_bio_ssl_all,7,class,Aves,Mammalia,10,0.37896098183341914
sl_eat_bio_ssl_all,7,order,Passeriformes,other-Aves,10,0.7692557565477872
sl_eat_bio_ssl_all,8,class,Aves,Mammalia,10,0.4476105769394533
sl_eat_bio_ssl_all,8,order,Passeriformes,other-Aves,10,0.8205721201000207
sl_eat_bio_ssl_all,9,class,Aves,Mammalia,10,0.39800790555757776
sl_eat_bio_ssl_all,9,order,Passeriformes,other-Aves,10,0.7286478729690312
sl_eat_bio_ssl_all,10,class,Aves,Mammalia,10,0.49954261036841824
sl_eat_bio_ssl_all,10,order,Passeriformes,other-Aves,10,0.7664001229341025
sl_eat_bio_ssl_all,11,class,Aves,Mammalia,10,0.5761199004755093
sl_eat_bio_ssl_all,11,order,Passeriformes,other-Aves,10,0.7935049777306339
sl_eat_bio_ssl_all,12,class,Aves,Mammalia,10,0.6238494053005739
sl_eat_bio_ssl_all,12,order,Passeriformes,other-Aves,10,0.741769165511403
random_init_eat_seed42,0,class,Aves,Mammalia,10,0.8673690013622093
random_init_eat_seed42,0,order,Passeriformes,other-Aves,10,0.9882264098745382
random_init_eat_seed42,1,class,Aves,Mammalia,10,0.9096066633344824
random_init_eat_seed42,1,order,Passeriformes,other-Aves,10,0.983548775161146
random_init_eat_seed42,2,class,Aves,Mammalia,10,0.9066595169015785
random_init_eat_seed42,2,order,Passeriformes,other-Aves,10,0.9814870932948251
random_init_eat_seed42,3,class,Aves,Mammalia,10,0.9146905669688534
random_init_eat_seed42,3,order,Passeriformes,other-Aves,10,0.9686471821159219
random_init_eat_seed42,4,class,Aves,Mammalia,10,0.912314721457237
random_init_eat_seed42,4,order,Passeriformes,other-Aves,10,0.9826937972019534
random_init_eat_seed42,5,class,Aves,Mammalia,10,0.9105647099669684
random_init_eat_seed42,5,order,Passeriformes,other-Aves,10,0.9601471145658934
random_init_eat_seed42,6,class,Aves,Mammalia,10,0.8978527269379434
random_init_eat_seed42,6,order,Passeriformes,other-Aves,10,0.981236060937199
random_init_eat_seed42,7,class,Aves,Mammalia,10,0.8978189706362757
random_init_eat_seed42,7,order,Passeriformes,other-Aves,10,0.9716676113310114
random_init_eat_seed42,8,class,Aves,Mammalia,10,0.9070322603181445
random_init_eat_seed42,8,order,Passeriformes,other-Aves,10,0.9539447537313028
random_init_eat_seed42,9,class,Aves,Mammalia,10,0.907154675118386
random_init_eat_seed42,9,order,Passeriformes,other-Aves,10,0.975639505690113
random_init_eat_seed42,10,class,Aves,Mammalia,10,0.8966647374609205
random_init_eat_seed42,10,order,Passeriformes,other-Aves,10,0.9843104664183944
random_init_eat_seed42,11,class,Aves,Mammalia,10,0.9278378672862994
random_init_eat_seed42,11,order,Passeriformes,other-Aves,10,0.976224578933748
random_init_eat_seed42,12,class,Aves,Mammalia,10,0.9141887782611301
random_init_eat_seed42,12,order,Passeriformes,other-Aves,10,0.9735070893101728
