model,layer_idx,level,group,n_clips,effective_rank,participation_ratio,mle_id_k20,n_frames
eat_all,0,class,Aves,271,9.986252465938026,4.0553061190253095,15.305095428204407,13550
eat_all,0,class,Mammalia,119,10.243623684484001,4.225606233394759,2.9975685815112447,5950
eat_all,0,order,Passeriformes,207,9.881433161364662,4.033308092393111,14.632852582616092,10350
eat_all,0,order,other-Aves,64,10.229645711653047,4.111023432902779,9.047534879171947,3200
eat_all,1,class,Aves,271,49.04331031574076,22.991274074958106,8.874441598613055,13550
eat_all,1,class,Mammalia,119,42.947940415789255,16.750488614552733,2.5131150718900876,5950
eat_all,1,order,Passeriformes,207,48.625167324601065,22.91084286187644,8.604538733979425,10350
eat_all,1,order,other-Aves,64,49.13893354597955,22.90297332621685,10.49276148481318,3200
eat_all,2,class,Aves,271,88.60534840382985,47.30965188022318,14.838146580054143,13550
eat_all,2,class,Mammalia,119,86.29118139311787,43.58764152338491,2.7345947725097832,5950
eat_all,2,order,Passeriformes,207,87.09437399882759,46.34969121041402,14.60354115011072,10350
eat_all,2,order,other-Aves,64,88.94313507240071,48.52712914180692,14.481065837883856,3200
eat_all,3,class,Aves,271,106.49523065997417,55.25674144628249,14.910594326034355,13550
eat_all,3,class,Mammalia,119,104.64588507552907,51.64081349496913,2.569576445308577,5950
eat_all,3,order,Passeriformes,207,104.04097889561552,53.66569706490159,14.454261537140926,10350
eat_all,3,order,other-Aves,64,106.64605074214894,57.07131911744345,13.901402630973918,3200
eat_all,4,class,Aves,271,149.63190982883975,69.7941641486345,16.881847311712924,13550
eat_all,4,class,Mammalia,119,139.05917593657946,64.73544473285277,2.508992739144417,5950
eat_all,4,order,Passeriformes,207,145.071588941663,66.97218832369879,16.290710169330893,10350
eat_all,4,order,other-Aves,64,147.81888941875613,72.57210885061737,13.863643973101231,3200
eat_all,5,class,Aves,271,173.3079896598806,74.06972096989564,15.124938783246652,13550
eat_all,5,class,Mammalia,119,154.42617661188567,68.7850460502019,2.4086018410407815,5950
eat_all,5,order,Passeriformes,207,166.5786462207103,70.5641733805963,14.325164972285878,10350
eat_all,5,order,other-Aves,64,167.68911155318776,76.85739232012813,12.28079919703926,3200
eat_all,6,class,Aves,271,213.10332008148114,86.41541018166347,13.797693747716089,13550
eat_all,6,class,Mammalia,119,171.53087270438633,75.62264692462726,2.3288610119763966,5950
eat_all,6,order,Passeriformes,207,204.03326404606665,81.50639625995679,12.367439304754605,10350
eat_all,6,order,other-Aves,64,198.6427446158735,88.79580598004223,10.413240533120643,3200
eat_all,7,class,Aves,271,230.52034470599884,92.8624448051597,13.384704515320816,13550
eat_all,7,class,Mammalia,119,178.8135554510301,77.90515966111914,2.258921829123446,5950
eat_all,7,order,Passeriformes,207,220.1188988413682,87.15912897786428,11.971664771435986,10350
eat_all,7,order,other-Aves,64,210.9005179530759,94.71111073238069,10.318719001159003,3200
eat_all,8,class,Aves,271,167.97614482772337,62.91710559380216,13.482809415510644,13550
eat_all,8,class,Mammalia,119,145.8831823896991,61.96859502389212,2.1768700411064086,5950
eat_all,8,order,Passeriformes,207,160.69654562223627,59.726138526081336,12.322945113286751,10350
eat_all,8,order,other-Aves,64,158.4155211458422,65.35259472503397,10.73855700020383,3200
eat_all,9,class,Aves,271,170.35143776815565,66.10433657420144,10.938288695682774,13550
eat_all,9,class,Mammalia,119,135.36695699347416,57.46120447295401,2.055395474790043,5950
eat_all,9,order,Passeriformes,207,162.69070965544523,62.45904704100251,9.855405281883273,10350
eat_all,9,order,other-Aves,64,156.31499890616158,67.3093002012677,8.41457334480046,3200
eat_all,10,class,Aves,271,166.32790809876477,65.91223645996868,10.584025133526017,13550
eat_all,10,class,Mammalia,119,127.29796762202115,53.03789671278012,2.0505393847449973,5950
eat_all,10,order,Passeriformes,207,158.68559636190236,62.12721727580902,9.661229641548106,10350
eat_all,10,order,other-Aves,64,153.19884345721078,66.9137924648098,8.15847681681722,3200
eat_all,11,class,Aves,271,214.34595597877274,77.30300203543128,11.562215118197926,13550
eat_all,11,class,Mammalia,119,144.21825373534614,55.71082403436156,2.073805472637937,5950
eat_all,11,order,Passeriformes,207,205.23225645415786,72.8754857034231,10.411511013048061,10350
eat_all,11,order,other-Aves,64,195.1124806630373,78.33252927681748,8.993805838109015,3200
eat_all,12,class,Aves,271,64.27522468291978,11.565640745797667,15.891062238563155,13550
eat_all,12,class,Mammalia,119,42.85918076350106,9.088597269928469,2.5284416436753268,5950
eat_all,12,order,Passeriformes,207,63.45991132275093,11.637875031846903,14.412685524979372,10350
eat_all,12,order,other-Aves,64,57.56541211509605,11.086932974411129,13.41070800256911,3200
eat_bio,0,class,Aves,271,26.132997381958994,9.618355807191715,15.054707660594167,13550
eat_bio,0,class,Mammalia,119,25.3986370705775,9.955864970392016,2.935716773439029,5950
eat_bio,0,order,Passeriformes,207,25.78912938791512,9.484928934557278,14.489397754627761,10350
eat_bio,0,order,other-Aves,64,26.887864647510852,9.993288545981235,9.153378248945018,3200
eat_bio,1,class,Aves,271,70.61076548962778,37.24427290348515,14.652708193563507,13550
eat_bio,1,class,Mammalia,119,60.07190463813399,28.99484255653748,2.6426277954021313,5950
eat_bio,1,order,Passeriformes,207,70.08367876531585,36.84741061324004,14.256235156429817,10350
eat_bio,1,order,other-Aves,64,70.02581380834314,37.42165105976291,13.095874178100422,3200
eat_bio,2,class,Aves,271,52.95256090850012,31.80464198978947,8.155495028585614,13550
eat_bio,2,class,Mammalia,119,46.428099023187784,23.457548409390327,2.4867717563156155,5950
eat_bio,2,order,Passeriformes,207,52.561974101551904,31.62610808426313,8.049014010737448,10350
eat_bio,2,order,other-Aves,64,52.600579802713966,31.69259703203392,8.206459976896232,3200
eat_bio,3,class,Aves,271,70.67635534939944,41.087650066341254,11.067394378446876,13550
eat_bio,3,class,Mammalia,119,62.700978566435865,31.321311642698628,2.4899148164541685,5950
eat_bio,3,order,Passeriformes,207,69.92066213666862,40.66004843694865,10.806534362266556,10350
eat_bio,3,order,other-Aves,64,69.9054402886416,40.89092456414292,10.45028109735773,3200
eat_bio,4,class,Aves,271,113.98076863382667,57.34661408594903,14.7045869650523,13550
eat_bio,4,class,Mammalia,119,101.8726216873339,49.46970029990021,2.424877915606719,5950
eat_bio,4,order,Passeriformes,207,111.49697871960711,55.721334155990405,14.36964961329997,10350
