model,layer_idx,n_aves,n_mammalia,n_passer,n_other_aves,parent_axis_norm,passer_subord_axis_norm,abs_cos_parent_vs_passer_subord,other_aves_subord_axis_norm,abs_cos_parent_vs_other_aves_subord,abs_cos_passer_vs_other_aves
eat_all,0,271,119,207,64,0.12745035819406333,0.006726662464113871,0.6905507700802899,0.021756630399470265,0.6905506115426078,0.9999999361229617
eat_all,1,271,119,207,64,0.8312591863205508,0.036505003707751435,0.4495386999776476,0.11807067755979622,0.44954691436868816,0.9999999992767397
eat_all,2,271,119,207,64,0.9017722573484553,0.05290225558066894,0.3669484245374369,0.1711064057711852,0.36694869091305377,0.9999999989915552
eat_all,3,271,119,207,64,1.1038762566823683,0.06721277821920187,0.3853354956429982,0.21739252706919013,0.38533687407687944,0.9999999990895798
eat_all,4,271,119,207,64,1.5763718718555264,0.09659884579903746,0.44598938732191024,0.31243481761901537,0.4459896697546306,0.9999999989639831
eat_all,5,271,119,207,64,1.8160873502512898,0.12932193714260512,0.34891317264698773,0.41827680198933953,0.34891478709972507,0.9999999996214969
eat_all,6,271,119,207,64,1.7733337260091497,0.12107763233714686,0.3412116214427752,0.391608753978339,0.341211527241441,0.9999999991955812
eat_all,7,271,119,207,64,2.058332600415318,0.15724644448088804,0.34024631182546533,0.5085955987600053,0.3402487565508421,0.9999999992215458
eat_all,8,271,119,207,64,1.9112120984222916,0.13545690733554705,0.3266840813706993,0.4381216024473418,0.3266867019441893,0.9999999986955951
eat_all,9,271,119,207,64,1.5979380971372346,0.11737039925671956,0.3073209025749238,0.3796178734305389,0.3073182434206678,0.9999999992835942
eat_all,10,271,119,207,64,1.3993952283505073,0.09344811941554124,0.34343034169110276,0.3022459144867226,0.3434313625823367,0.9999999993869612
eat_all,11,271,119,207,64,1.6423338468155473,0.0831417078080305,0.4112872240120057,0.2689117362057752,0.4112871100860959,0.9999999971085833
eat_all,12,271,119,207,64,1.225152857416137,0.05007011361079935,0.521020057840276,0.16195528560673142,0.5210298839220378,0.9999999852396166
eat_bio,0,271,119,207,64,0.12611970042184936,0.00738910840987863,0.7037194677889236,0.02389919705055753,0.7037173768368975,0.9999999942703715
eat_bio,1,271,119,207,64,0.605272156078359,0.021725363624818,0.4197243566385498,0.07026775950977414,0.41972555122471383,0.9999999991403076
eat_bio,2,271,119,207,64,0.9456546806224777,0.043534490883670625,0.3855449995547981,0.14080579466865667,0.3855487664827769,0.999999996385357
eat_bio,3,271,119,207,64,0.9853647026388713,0.054655206303920685,0.39285400982308216,0.1767759072898873,0.3928584577829278,0.9999999988834367
eat_bio,4,271,119,207,64,1.2955034873411033,0.06886248262906867,0.4632310598057611,0.22272803291102625,0.4632309533752542,0.9999999990185824
eat_bio,5,271,119,207,64,1.5662836378337817,0.09182226861030884,0.4209307796061322,0.29698702366997404,0.4209294456402468,0.9999999995835667
eat_bio,6,271,119,207,64,1.464891498866819,0.08865525793009,0.4057701109976419,0.2867427261310972,0.4057664670418609,0.9999999991982378
eat_bio,7,271,119,207,64,1.6083064142884032,0.1103984834265558,0.35782120300427817,0.3570687850779332,0.3578212570324353,0.9999999993787905
eat_bio,8,271,119,207,64,1.542998650205731,0.0964024761715033,0.3649067437786208,0.31179987521465174,0.364909792216965,0.9999999992468426
eat_bio,9,271,119,207,64,1.3070171693680133,0.08097354421619532,0.3754319792906679,0.2618988240410663,0.3754338466064272,0.9999999990709508
eat_bio,10,271,119,207,64,1.4016983414424395,0.07416971866365092,0.40256269603385647,0.23989376095345744,0.40256177171147267,0.9999999988650281
eat_bio,11,271,119,207,64,1.3347897292793172,0.06407219969506338,0.43946795310913495,0.20723629803215673,0.4394640916032202,0.9999999986793878
eat_bio,12,271,119,207,64,0.9412461345228598,0.05749776482693034,0.49461579725184474,0.1859689882175166,0.49461899246041535,0.9999999986783699
sl_eat_all_ssl_all,0,271,119,207,64,0.2177700751760175,0.014512582331642685,0.7263017606892623,0.04693919931701818,0.7263007796283849,0.9999999994003744
sl_eat_all_ssl_all,1,271,119,207,64,1.0778339611024133,0.04672635424342967,0.5722753631672413,0.1511293765517671,0.5722883908390152,0.9999999986393884
sl_eat_all_ssl_all,2,271,119,207,64,1.3737401749182314,0.06759644725816552,0.5948735373298953,0.21863091561246634,0.5948761628332971,0.9999999996754334
sl_eat_all_ssl_all,3,271,119,207,64,1.6170067103492285,0.08273974162980097,0.6418426816510012,0.2676091293433805,0.6418429831803435,0.9999999994180996
sl_eat_all_ssl_all,4,271,119,207,64,2.5180344630543017,0.13166368300553083,0.6644222245831238,0.4258490776945896,0.6644240606171208,0.9999999997855262
sl_eat_all_ssl_all,5,271,119,207,64,2.8004847323293958,0.15254484296996976,0.5969346437940403,0.4933887791429482,0.596936825433554,0.9999999997992783
sl_eat_all_ssl_all,6,271,119,207,64,2.694693319232511,0.14218042067720982,0.517653302713619,0.45986267147965026,0.5176500776376808,0.9999999998629893
sl_eat_all_ssl_all,7,271,119,207,64,2.949959644864493,0.18634564405031184,0.4388909363276883,0.6027123207880156,0.4388910059029069,0.9999999999289909
sl_eat_all_ssl_all,8,271,119,207,64,2.857714529258666,0.17291430231708638,0.4866900797408284,0.559271121815015,0.4866880685871735,0.9999999998496493
sl_eat_all_ssl_all,9,271,119,207,64,2.1451941019175997,0.12116088273420927,0.3809576874087613,0.39187928609853756,0.3809570828963358,0.9999999999663665
sl_eat_all_ssl_all,10,271,119,207,64,1.543618502471433,0.09362033988661629,0.372469501776648,0.30280428568807943,0.37247280391521587,0.9999999998818488
sl_eat_all_ssl_all,11,271,119,207,64,1.3397956487992568,0.06955661664915763,0.6682843617479923,0.2249717797464697,0.6682806924413857,0.9999999996347578
sl_eat_all_ssl_all,12,271,119,207,64,5.110110599706563,0.22142590106606963,0.6125364631268563,0.7161738833532965,0.6125361649334554,0.9999999998609901
sl_eat_bio_ssl_all,0,271,119,207,64,0.15283079033389768,0.008919299309573761,0.71327953022175,0.0288483633861822,0.7132800060965654,0.9999999752529961
sl_eat_bio_ssl_all,1,271,119,207,64,1.0616881835305099,0.04419798646690175,0.5187741535578959,0.14295299209088186,0.5187818703269896,0.9999999761514365
sl_eat_bio_ssl_all,2,271,119,207,64,1.1324967512694288,0.06779020354102987,0.486043650169137,0.21925639461692517,0.4860573267739302,0.9999999980446704
sl_eat_bio_ssl_all,3,271,119,207,64,1.2649532279474627,0.0806582965920287,0.4593170434835501,0.26087749443899094,0.4593162779427011,0.9999999994170405
sl_eat_bio_ssl_all,4,271,119,207,64,1.7459980411846323,0.12243629244246802,0.46317073339800374,0.3960039509468959,0.463173180940495,0.9999999996301119
sl_eat_bio_ssl_all,5,271,119,207,64,1.976557780143374,0.15230848429606184,0.3874510517820607,0.49262507431183805,0.38745446350277396,0.9999999993975626
sl_eat_bio_ssl_all,6,271,119,207,64,2.11696094131504,0.15550330673744084,0.300885755254951,0.5029568806207453,0.3008864529511982,0.9999999998762086
sl_eat_bio_ssl_all,7,271,119,207,64,2.645655676124103,0.2217799598443105,0.22886794188568904,0.7173188727580333,0.22886765655545602,0.9999999999166188
