layer_idx,layer_name,model_a,model_b,mean_cos_principal_angles,k
11,model.blocks.10,eat_all,sl_eat_all_ssl_all,0.2925313080832087,10
11,model.blocks.10,eat_all,sl_eat_bio_ssl_all,0.30523967316454653,10
11,model.blocks.10,eat_bio,sl_eat_all_ssl_all,0.1448805447672003,10
11,model.blocks.10,eat_bio,sl_eat_bio_ssl_all,0.11730835554441268,10
11,model.blocks.10,sl_eat_all_ssl_all,sl_eat_bio_ssl_all,0.23917096832842538,10
12,model.blocks.11,eat_all,eat_bio,0.10450261254733448,10
12,model.blocks.11,eat_all,sl_eat_all_ssl_all,0.16042227602345815,10
12,model.blocks.11,eat_all,sl_eat_bio_ssl_all,0.21995629577766626,10
12,model.blocks.11,eat_bio,sl_eat_all_ssl_all,0.12498804127916611,10
12,model.blocks.11,eat_bio,sl_eat_bio_ssl_all,0.10277279087624254,10
12,model.blocks.11,sl_eat_all_ssl_all,sl_eat_bio_ssl_all,0.21887416368650597,10
