model,layer_idx,layer_name,n,norm_mean,norm_std,norm_p05,norm_p50,norm_p95,norm_min,norm_max
eat_all,0,model.pos_drop,600,0.2090124934911728,0.0695289820432663,0.13323964178562164,0.19009950757026672,0.35896575450897217,0.10332196205854416,0.4351862370967865
eat_all,1,model.blocks.0,600,1.8691927194595337,0.3820202052593231,1.541191816329956,1.7381608486175537,2.6524853706359863,1.4712127447128296,4.073195934295654
eat_all,2,model.blocks.1,600,2.2964437007904053,0.34405991435050964,1.9795080423355103,2.187138795852661,3.077347993850708,1.8998409509658813,3.830191135406494
eat_all,3,model.blocks.2,600,2.612258195877075,0.32352617383003235,2.257253885269165,2.5268921852111816,3.25673246383667,2.1883130073547363,3.9507954120635986
eat_all,4,model.blocks.3,600,3.402535915374756,0.48132190108299255,2.838571548461914,3.2750840187072754,4.365696430206299,2.6530840396881104,5.095724582672119
eat_all,5,model.blocks.4,600,3.7315056324005127,0.5357548594474792,3.0929746627807617,3.600436210632324,4.768162250518799,2.918647527694702,5.682339668273926
eat_all,6,model.blocks.5,600,4.029150485992432,0.48813068866729736,3.4372191429138184,3.930619716644287,4.957969665527344,3.237335443496704,5.999434947967529
eat_all,7,model.blocks.6,600,4.912472248077393,0.48853379487991333,4.31566858291626,4.797654151916504,5.796585559844971,4.086723804473877,6.934126377105713
eat_all,8,model.blocks.7,600,4.645510196685791,0.4240562617778778,4.179366588592529,4.515774726867676,5.452092170715332,3.9979426860809326,6.361968994140625
eat_all,9,model.blocks.8,600,4.015223979949951,0.3547428846359253,3.646599531173706,3.8936495780944824,4.712419033050537,3.4939303398132324,5.512467384338379
eat_all,10,model.blocks.9,600,3.038221836090088,0.29669857025146484,2.729640483856201,2.939899444580078,3.6446495056152344,2.607189655303955,4.285211563110352
eat_all,11,model.blocks.10,600,3.250995635986328,0.3916075825691223,2.880981922149658,3.0879085063934326,4.069881916046143,2.7396891117095947,4.873027801513672
eat_all,12,model.blocks.11,600,5.2862701416015625,0.4672280550003052,4.385605812072754,5.406035900115967,5.894168376922607,3.390974998474121,6.3275322914123535
eat_bio,0,model.pos_drop,600,0.27174195647239685,0.07873338460922241,0.19425813853740692,0.24676644802093506,0.45237764716148376,0.16735871136188507,0.5421324372291565
eat_bio,1,model.blocks.0,600,1.1140942573547363,0.3351905345916748,0.8338142037391663,0.9742546081542969,1.9049150943756104,0.7882103323936462,2.3956351280212402
